ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,15,PATZCUARO,97,263,270,5561,7705,6170,6813,6782,10282,20721,8345,1198,1813,1611,77001,71,5552,82624,156364,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_15_PATZCUARO.pdf
16,MICHOACAN,16,MORELIA,77,255,258,18124,9087,2974,3789,5698,6720,28412,2319,875,1793,2109,81900,84,4030,86014,160481,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_16_MORELIA.pdf
16,MICHOACAN,17,MORELIA,100,284,289,28600,24401,2098,3344,4521,5950,25672,1373,945,1154,1010,99068,57,4657,103782,168499,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_17_MORELIA.pdf
16,MICHOACAN,18,HUETAMO,177,285,289,2178,9307,20030,4547,7584,3481,25134,2114,559,160,1352,76446,11,4637,81094,142362,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_18_HUETAMO.pdf
16,MICHOACAN,19,TACAMBARO,136,269,271,12193,9976,2032,15235,8476,8718,15252,1138,1531,632,596,75779,17,4742,80538,146534,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_19_TACAMBARO.pdf
16,MICHOACAN,20,URUAPAN,75,216,219,4788,1856,604,2702,1918,2533,10748,234,268,360,374,26385,37,3216,29638,134805,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_20_URUAPAN.pdf
16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,107,236,240,4551,6666,4808,2754,16385,4608,14563,2317,3143,272,935,61002,51,3103,64156,132545,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_21_COALCOMAN.pdf
16,MICHOACAN,22,MUGICA,122,257,259,3972,7696,2150,22979,5546,2555,29869,639,1122,369,338,77235,6,4236,81477,137027,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_22_MUGICA.pdf
16,MICHOACAN,23,APATZINGAN,109,247,250,6734,4337,3758,3348,3882,8577,25123,1381,208,319,285,57952,17,2676,60645,139646,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DRP_23_APATZINGAN.pdf
16,MICHOACAN,24,LAZARO CARDENAS,70,241,245,6236,4188,3049,5800,4671,5133,35519,1147,835,429,845,67852,19,4215,72086,146214,https://www.iem.org.mx/iemweb/ligas/_lib/file/docpelo24/Actas_de_Computo_Diputaciones/Diputaciones_RP/AC_DIP_DRP_24_LAZARO%20CARDENAS.pdf
