CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,675,2,2,40,189,194,48,17,9,140,1,3,4,0,0,0,4,1,1,1,2,7,0,0,661,0,46,707,1118
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,676,1,1,30,116,120,20,6,8,100,3,0,2,0,0,0,4,0,0,1,2,8,0,0,420,0,10,430,680
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,677,1,1,18,93,56,41,12,8,112,2,1,1,3,0,0,5,0,3,3,4,15,1,3,381,0,23,404,721
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,678,3,3,41,179,203,165,24,24,218,7,1,1,8,0,0,30,47,14,5,3,22,1,0,993,0,38,1031,1600
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,679,2,2,15,54,119,105,8,5,106,4,1,2,0,0,0,21,3,6,3,2,2,0,0,456,0,18,474,784
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,680,1,1,9,84,66,47,6,6,70,1,1,0,2,0,0,5,0,2,0,2,5,0,1,307,0,16,323,593
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,681,2,2,27,65,95,43,12,13,78,3,0,3,4,0,0,12,1,4,1,0,9,1,0,371,0,27,398,804
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,682,2,2,30,193,173,53,8,14,197,1,6,0,4,0,0,12,3,5,3,8,14,0,0,724,0,40,764,1251
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,683,2,2,37,176,141,81,25,17,217,3,4,0,0,0,0,16,7,3,1,2,8,1,1,740,0,43,783,1340
5,16,MICHOACAN,1,LA PIEDAD,42,IXTLAN,684,1,1,9,111,39,42,9,8,33,0,1,0,1,0,0,5,7,1,3,3,7,1,0,280,0,17,297,541
