ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,32,CHIMALHUACAN,176,770,771,7016,81075,5879,12238,8927,16728,124906,2352,0,0,0,0,0,0,0,0,0,259121,448,10198,269767,513126,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN32.pdf
15,MEXICO,33,DONATO GUERRA,16,44,44,1175,2239,615,3622,3369,288,5888,1568,0,0,0,0,0,0,0,0,0,18764,3,1095,19862,27361,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN33.pdf
15,MEXICO,34,ECATEPEC DE MORELOS,754,2114,2119,40933,77970,21441,68347,62479,80305,347232,54579,0,0,0,0,0,0,0,0,0,753286,1375,46467,801128,1293604,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN34.pdf
15,MEXICO,35,ECATZINGO,4,13,13,218,2195,29,2661,0,92,533,7,0,0,0,0,0,0,0,0,0,5735,4,206,5945,7904,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN35.pdf
15,MEXICO,36,HUEHUETOCA,64,190,191,12295,2473,510,7008,1357,5468,16853,1343,0,11360,0,0,0,0,0,0,0,58667,6645,2388,67700,116992,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN36.pdf
15,MEXICO,37,HUEYPOXTLA,16,52,52,263,5890,181,6763,979,3075,6534,382,0,0,0,0,0,0,0,0,0,24067,13,1004,25084,34763,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN37.pdf
15,MEXICO,38,HUIXQUILUCAN,92,340,341,77326,0,5127,7887,3255,10157,41895,964,0,0,0,0,0,0,0,0,0,146611,164,6903,153678,219842,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN38.pdf
15,MEXICO,39,ISIDRO FABELA,5,18,18,684,936,817,1035,72,726,524,970,0,0,947,0,0,0,0,0,0,6711,0,211,6922,9323,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN39.pdf
15,MEXICO,40,IXTAPALUCA,235,618,619,12366,23554,6477,43828,7460,18726,83026,16488,0,0,0,0,0,0,0,0,0,211925,210,11752,223887,377797,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN40.pdf
15,MEXICO,41,IXTAPAN DE LA SAL,19,51,51,1405,5625,334,566,464,2004,7262,176,0,0,0,0,0,0,0,0,0,17836,16,719,18571,29202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN41.pdf
15,MEXICO,42,IXTAPAN DEL ORO,5,9,9,33,149,884,103,847,26,2133,153,0,0,0,0,0,0,0,0,0,4328,12,141,4481,5627,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN42.pdf
15,MEXICO,43,IXTLAHUACA,51,190,190,2016,27870,588,2827,2752,5338,39381,378,0,0,0,0,0,0,0,0,0,81150,49,3818,85017,121828,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN43.pdf
15,MEXICO,44,XALATLACO,7,33,33,374,714,196,820,3314,916,5097,500,0,0,0,0,0,0,0,0,0,11931,20,495,12446,20718,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN44.pdf
15,MEXICO,45,JALTENCO,14,35,36,353,673,185,432,2962,1946,7148,471,0,0,0,0,0,0,0,0,0,14170,12,541,14723,21116,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN45.pdf
