ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,32,CHIMALHUACAN,176,770,771,7016,81075,5879,8312,5298,16728,120570,2352,0,0,0,0,0,0,0,0,0,0,0,8063,533,1943,1352,0,0,0,0,0,0,0,0,0,0,259121,448,10198,269767,513126,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN32.pdf
15,MEXICO,33,DONATO GUERRA,16,44,44,0,0,0,3622,3369,288,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597,0,0,0,0,0,0,0,0,0,18764,3,1095,19862,27361,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN33.pdf
15,MEXICO,34,ECATEPEC DE MORELOS,754,2114,2119,0,0,0,68347,62479,80305,347232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194923,0,0,0,0,0,0,0,0,0,753286,1375,46467,801128,1293604,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN34.pdf
15,MEXICO,35,ECATZINGO,4,13,13,191,2166,11,2661,0,92,533,6,7,45,0,0,0,19,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5735,4,206,5945,7904,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN35.pdf
15,MEXICO,36,HUEHUETOCA,64,190,191,12039,2238,324,6365,854,5468,16192,1273,170,372,11,10,2,115,21,23,4,8,11,1203,84,400,120,0,0,11360,0,0,0,0,0,0,0,58667,6645,2388,67700,116992,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN36.pdf
15,MEXICO,37,HUEYPOXTLA,16,52,52,263,5890,181,6763,979,3075,6534,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24067,13,1004,25084,34763,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN37.pdf
15,MEXICO,38,HUIXQUILUCAN,92,340,341,77326,0,5127,7887,3255,10157,41895,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146611,164,6903,153678,219842,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN38.pdf
15,MEXICO,39,ISIDRO FABELA,5,18,18,684,936,817,992,43,726,482,970,0,0,0,0,0,0,0,0,0,0,0,75,6,30,3,0,0,0,947,0,0,0,0,0,0,6711,0,211,6922,9323,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN39.pdf
15,MEXICO,40,IXTAPALUCA,235,618,619,0,0,0,43828,7460,18726,83026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58885,0,0,0,0,0,0,0,0,0,211925,210,11752,223887,377797,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN40.pdf
15,MEXICO,41,IXTAPAN DE LA SAL,19,51,51,1281,5497,238,441,353,2004,7121,147,75,191,9,0,4,67,6,3,9,2,11,232,21,75,49,0,0,0,0,0,0,0,0,0,0,17836,16,719,18571,29202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN41.pdf
