ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PVEM_PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,76,SAN MARTIN DE LAS PIRAMIDES,14,37,37,1187,3537,31,,,3993,,2222,,4749,,,,,,,,,,,15719,17,431,16167,22627,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN76.pdf
15,MEXICO,77,SAN MATEO ATENCO,22,113,113,,,,6135,3134,3824,19254,,20128,,,,,,,,,,,,52475,32,1930,54437,75745,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN77.pdf
15,MEXICO,78,SAN SIMON DE GUERRERO,4,11,11,,,,,,1275,,,1367,1491,,,,,,,,,,,4133,1,180,4314,5548,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN78.pdf
15,MEXICO,79,SANTO TOMAS,10,20,21,,,,,,981,,,2608,1932,,,,,,,,,,,5521,0,254,5775,7971,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN79.pdf
15,MEXICO,80,SOYANIQUILPAN DE JUAREZ,7,21,21,,,,168,119,66,4586,,4507,,,,,,,,,,,,9446,3,253,9702,11734,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN80.pdf
15,MEXICO,81,SULTEPEC,23,40,40,,,,,,1744,,,,5314,4760,,,,,,,,,,11818,4,770,12592,20093,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN81.pdf
15,MEXICO,82,TECAMAC,197,599,601,,,,9807,5741,14539,117566,,93196,,,,,,,,,,,,240849,250,10212,251311,380698,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN82.pdf
15,MEXICO,83,TEJUPILCO,46,114,115,,,,,,6538,,,,13273,15755,,,,,,,,,,35566,18,1567,37151,61374,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN83.pdf
15,MEXICO,84,TEMAMATLA,5,18,18,60,276,53,3069,329,1728,1437,44,,,,,,,,,932,,,,7928,4,397,8329,12100,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN84.pdf
15,MEXICO,85,TEMASCALAPA,16,51,52,,,,,,386,,,,8879,4732,,,,,,,8002,,,21999,15,644,22658,32551,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN85.pdf
15,MEXICO,86,TEMASCALCINGO,35,93,94,,,,5176,4474,3407,10424,,9855,,,,,,,,,,,,33336,44,1833,35213,53687,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN86.pdf
15,MEXICO,87,TEMASCALTEPEC,23,50,50,,,,,,4650,,,5903,5922,,,,,,,,,,,16475,8,664,17147,26714,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN87.pdf
15,MEXICO,88,TEMOAYA,29,121,121,,,,,,6787,,,,22082,15230,,,,,,,,,,44099,61,1523,45683,78778,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN88.pdf
15,MEXICO,89,TENANCINGO,38,123,124,,,,10854,3877,11174,11928,,5918,,,,,,,,,,,,43751,22,1989,45762,77818,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN89.pdf
15,MEXICO,90,TENANGO DEL AIRE,5,16,16,2105,203,162,2189,1132,176,925,0,,,,,,,,,,,,,6892,0,211,7103,9620,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN90.pdf
15,MEXICO,91,TENANGO DEL VALLE,27,102,103,,,,8796,7682,4817,10647,,,,7440,,,,,,,,,,39382,18,1733,41133,66715,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN91.pdf
15,MEXICO,92,TEOLOYUCAN,25,107,107,,,,4382,709,3013,17426,,16862,,,,,,,,,,,,42392,34,1595,44021,71358,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN92.pdf
15,MEXICO,93,TEOTIHUACAN,23,77,78,708,17269,192,,,1072,,827,,12307,,,,,,,,,,,32375,33,1077,33485,49994,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN93.pdf
15,MEXICO,94,TEPETLAOXTOC,12,38,38,,,,205,1810,3808,5541,,4337,,,,,,,,,,,,15701,561,566,16828,24445,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN94.pdf
15,MEXICO,95,TEPETLIXPA,8,24,24,1233,294,19,2716,56,4428,1157,131,,,,,,,,,,,,,10034,2,537,10573,15757,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN95.pdf
