CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1048,3,3,0,0,0,230,26,39,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,1038,0,58,1096,2013
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1049,5,5,0,0,0,423,35,99,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,1586,1,98,1685,3021
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1050,6,6,0,0,0,442,77,122,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,1918,0,148,2066,4110
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1051,3,3,0,0,0,264,39,53,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,994,3,92,1089,2018
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1052,24,24,0,0,0,1620,192,748,4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,0,0,0,0,0,8654,4,413,9071,16451
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1053,4,4,0,0,0,371,33,84,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,1569,0,101,1670,2779
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1055,11,11,0,0,0,823,95,396,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,4331,7,209,4547,7374
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1056,3,3,0,0,0,231,27,69,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,984,3,87,1074,2115
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1057,4,4,0,0,0,240,30,63,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,1153,0,92,1245,2804
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1058,4,4,0,0,0,208,27,74,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,994,1,80,1075,2282
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1059,3,3,0,0,0,203,19,54,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,811,0,50,861,1587
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1060,5,5,0,0,0,216,41,83,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,1368,0,127,1495,3235
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1062,5,5,0,0,0,564,33,107,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,1905,1,98,2004,3163
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1063,4,4,0,0,0,473,30,100,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,1520,0,99,1619,2940
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1064,5,5,0,0,0,494,62,121,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,1765,0,108,1873,3379
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1065,13,13,0,0,0,804,130,347,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0,0,0,0,0,0,0,0,4789,1,249,5039,9081
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1066,3,3,0,0,0,126,17,82,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,892,0,50,942,1518
