CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_MR,PAN_PRI_PRD,7,CINDY RUVALCABA DE LOERA,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MORENA,1,MARTHA CECILIA MARQUEZ ALVARADO,2,,,MORENA
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MC,2,GUSTAVO ADOLFO GRANADOS CORZO,1,,,MC
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MORENA,3,GILBERTO GUTIERREZ LARA,1,,,MORENA
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MORENA,4,LIZETTE IVON GONZALEZ MARTINEZ,2,,,MORENA
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MC,5,KARLA ARELY ESPINOZA ESPARZA,2,,,MC
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MORENA,6,ABDEL ALEJANDRO LUEVANO NUNEZ,1,,,MORENA
2,1,AGUASCALIENTES,,,1,AGUASCALIENTES,,,REG_RP,MC,7,JUAN CARLOS ESPINOZA ESPARZA,1,,,MC
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,PRES_MUN,PAN_PRI_PRD,1,JOSE MANUEL GONZALEZ MOTA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,SIND_MR,PAN_PRI_PRD,1,EVA MACIAS MACIAS,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_MR,PAN_PRI_PRD,1,FERNANDO MEDINA MEDINA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_MR,PAN_PRI_PRD,2,DIANA KARINA VAZQUEZ LOPEZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_MR,PAN_PRI_PRD,3,ABEL VELAZQUEZ CALVILLO,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_MR,PAN_PRI_PRD,4,ALMA ARACELY RANGEL PADILLA,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_RP,MORENA,1,MA. DE JESUS TORRES RAMIREZ,2,,,MORENA
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_RP,MC,2,MERCEDES MONSERRAT MORFIN NEGRETE,2,,,MC
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_RP,MORENA,3,LUIS ARTURO ORTEGA HERNANDEZ,1,,,MORENA
2,1,AGUASCALIENTES,,,2,ASIENTOS,,,REG_RP,MORENA,4,DULCE MARIA DEL ROSARIO GUARDADO RAMIREZ,2,,,MORENA
2,1,AGUASCALIENTES,,,3,CALVILLO,,,PRES_MUN,PAN_PRI_PRD,1,DANIEL ROMO URRUTIA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,3,CALVILLO,,,SIND_MR,PAN_PRI_PRD,1,ZENAIDA MUNOZ MEDINA,2,CANDIDATURAS DE DISCAPACIDAD,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_MR,PAN_PRI_PRD,1,JOSE ALFREDO DE LARA HERNANDEZ,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_MR,PAN_PRI_PRD,2,ANA ISABEL DIAZ MARTINEZ,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_MR,PAN_PRI_PRD,3,JORGE ALBERTO GALLARDO CARBAJAL,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_MR,PAN_PRI_PRD,4,GABRIELA SERNA MARTINEZ,2,CANDIDATURAS DE DISCAPACIDAD,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_RP,MORENA,1,ESMERALDA PERALTA RAMIREZ,2,,,MORENA
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_RP,PVEM,2,MARIA CRISTINA VELASCO VALLE,2,,,PVEM
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_RP,MC,3,MARTHA XIMENA DE LEON BELLOSO,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MC
2,1,AGUASCALIENTES,,,3,CALVILLO,,,REG_RP,MORENA,4,OMAR ALEJANDRO MORALES LOPEZ,1,,,MORENA
2,1,AGUASCALIENTES,,,4,COSIO,,,PRES_MUN,CAND_IND1,1,FRANCISCO JAVIER DOMINGUEZ  LOPEZ,1,,,CAND_IND1
2,1,AGUASCALIENTES,,,4,COSIO,,,SIND_MR,CAND_IND1,1,CLAUDIA GUADALUPE ESPARZA  CORTES,2,,,CAND_IND1
2,1,AGUASCALIENTES,,,4,COSIO,,,REG_MR,CAND_IND1,1,JULIO CESAR LOPEZ  JACOBO,1,,,CAND_IND1
2,1,AGUASCALIENTES,,,4,COSIO,,,REG_MR,CAND_IND1,2,YEIMI ESMITH MARTINEZ  LOPEZ,2,,,CAND_IND1
2,1,AGUASCALIENTES,,,4,COSIO,,,REG_MR,CAND_IND1,3,MIGUEL CARDONA  RODRIGUEZ,1,,,CAND_IND1
2,1,AGUASCALIENTES,,,4,COSIO,,,REG_RP,MC,1,LUZ MARIA PADILLA DE LUNA,2,,,MC
2,1,AGUASCALIENTES,,,4,COSIO,,,REG_RP,PAN,2,GRICELDA DIAZ LUEVANO,2,,,PAN
2,1,AGUASCALIENTES,,,4,COSIO,,,REG_RP,PRI,3,JULIA ESMERALDA CARDONA NAVA,2,,,PRI
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,PRES_MUN,PAN_PRI_PRD,1,CESAR FERNANDO MEDINA CERVANTES,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,SIND_MR,PAN_PRI_PRD,1,BEATRIZ LOPEZ JIMENEZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_MR,PAN_PRI_PRD,1,BENJAMIN DE LUNA MARTINEZ,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_MR,PAN_PRI_PRD,2,LAURA ALEJANDRA VALADEZ PONCE,2,CANDIDATURAS DE DISCAPACIDAD,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_MR,PAN_PRI_PRD,3,GERARDO ALFONSO GUTIERREZ GOMEZ,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_MR,PAN_PRI_PRD,4,MARIA DOLORES ADAME MACIAS,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_RP,MORENA,1,MARIA DEL CARMEN GONZALEZ POSADAS,2,,,MORENA
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_RP,MC,2,WALTER SCHADTLER CONTRERAS,1,CANDIDATURAS DE PERSONAS MAYORES,,MC
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_RP,PVEM,3,OMAR ISRAEL CAMARILLO ,1,CANDIDATURAS DE DISCAPACIDAD,,PVEM
2,1,AGUASCALIENTES,,,5,JESUS MARIA,,,REG_RP,MORENA,4,GUDELIA MARES RAMIREZ,2,,,MORENA
