ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,310,SAN PEDRO JICAYAN,7,15,15,36,64,1241,1299,482,201,1785,57,381,28,40,5,0,2,0,0,0,0,0,2,18,1,1,0,0,0,0,5643,0,262,5905,8302,
20,OAXACA,311,SAN PEDRO JOCOTIPAC,1,1,1,10,34,4,14,21,4,254,1,2,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,351,0,13,364,631,
20,OAXACA,312,SAN PEDRO JUCHATENGO,1,2,2,18,253,15,43,43,17,265,7,4,7,8,2,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,689,0,41,730,1318,
20,OAXACA,313,SAN PEDRO MARTIR,1,2,2,22,56,7,62,88,25,219,14,26,1,8,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,536,0,51,587,1458,
20,OAXACA,314,SAN PEDRO MARTIR QUIECHAPA,1,1,1,3,11,3,28,58,9,143,7,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,270,0,21,291,548,
20,OAXACA,315,SAN PEDRO MARTIR YUCUXACO,2,2,2,8,15,3,23,72,11,247,30,1,9,5,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,431,0,22,453,1091,
20,OAXACA,316,SAN PEDRO MIXTEPEC,18,66,69,891,4272,299,1148,3909,462,9472,163,150,147,342,164,48,9,6,0,0,0,0,38,110,2,22,0,0,0,14,21668,4,1206,22878,39996,
20,OAXACA,317,SAN PEDRO MIXTEPEC,1,1,1,1,9,2,15,13,1,219,13,0,2,8,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,286,1,11,298,713,
20,OAXACA,318,SAN PEDRO MOLINOS,1,1,1,3,9,3,24,85,4,101,4,5,1,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,250,0,8,258,531,
20,OAXACA,319,SAN PEDRO NOPALA,1,2,2,0,16,2,16,6,1,238,3,2,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,294,0,8,302,529,
20,OAXACA,320,SAN PEDRO OCOPETATILLO,1,1,1,6,65,9,7,55,6,83,2,7,5,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,20,277,582,
20,OAXACA,321,SAN PEDRO OCOTEPEC,1,3,3,13,10,7,23,23,6,243,2,3,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,339,0,41,380,1381,
20,OAXACA,322,SAN PEDRO POCHUTLA,19,62,65,572,839,1580,1623,3887,3536,5545,643,2123,253,275,42,9,14,16,0,0,0,0,8,48,3,8,0,0,0,0,21024,10,1749,22783,36729,
20,OAXACA,323,SAN PEDRO QUIATONI,6,17,17,65,325,58,354,418,1697,1233,39,37,35,28,0,1,1,1,0,0,0,0,0,14,1,0,0,0,0,0,4307,0,318,4625,8455,
20,OAXACA,324,SAN PEDRO SOCHIAPAM,3,7,7,42,166,20,77,105,35,700,53,3,5,21,4,1,2,1,0,0,0,0,0,5,0,0,0,0,0,0,1240,0,84,1324,3461,
20,OAXACA,325,SAN PEDRO TAPANATEPEC,9,20,20,158,198,18,366,143,112,4001,17,20,41,519,13,3,1,0,0,0,0,0,6,65,4,2,0,0,0,0,5687,0,277,5964,10781,
20,OAXACA,326,SAN PEDRO TAVICHE,1,2,2,9,12,3,176,13,7,141,5,1,1,2,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,377,0,40,417,946,
20,OAXACA,327,SAN PEDRO TEOZACOALCO,1,2,2,4,17,9,40,17,8,425,8,6,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,547,0,26,573,979,
20,OAXACA,328,SAN PEDRO TEUTILA,3,7,7,31,152,21,139,68,50,1032,25,7,11,16,8,0,0,1,0,0,0,0,4,35,0,1,0,0,0,0,1601,5,122,1728,3189,
20,OAXACA,329,SAN PEDRO TIDAA,2,2,2,5,7,16,13,41,5,202,15,0,4,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,315,0,26,341,684,
20,OAXACA,330,SAN PEDRO TOPILTEPEC,1,2,2,5,12,27,8,17,1,123,8,1,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,208,0,16,224,292,
20,OAXACA,331,SAN PEDRO TOTOLAPAM,3,4,4,35,26,18,106,212,40,565,7,10,4,17,1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1053,1,60,1114,2479,
20,OAXACA,332,VILLA DE TUTUTEPEC,21,64,64,231,2155,216,462,5742,199,7296,561,539,117,119,72,28,5,5,0,0,0,0,57,75,5,12,0,0,0,36,17932,3,1159,19094,36377,
20,OAXACA,333,SAN PEDRO Y SAN PABLO AYUTLA,4,9,11,72,126,33,132,245,62,943,17,14,16,71,7,1,0,2,0,0,0,0,0,12,0,0,0,0,0,0,1753,1,211,1965,3999,
20,OAXACA,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA,5,8,8,40,103,26,198,110,65,1025,252,239,98,24,3,2,0,0,0,0,0,0,5,15,1,0,0,0,0,0,2206,2,152,2360,3433,
20,OAXACA,335,SAN PEDRO Y SAN PABLO TEQUIXTEPEC,7,7,7,42,61,13,57,39,34,500,6,16,3,11,5,1,0,0,0,0,0,0,2,9,0,2,0,0,0,0,801,0,56,857,1460,
20,OAXACA,336,SAN PEDRO YANERI,1,2,2,2,6,5,5,119,9,166,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,29,353,717,
20,OAXACA,337,SAN PEDRO YOLOX,2,5,5,10,8,9,92,101,9,704,7,4,5,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,961,0,55,1016,1551,
20,OAXACA,338,SAN PEDRO YUCUNAMA,1,1,1,4,20,0,7,4,3,49,3,3,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,7,107,194,
20,OAXACA,339,SAN RAYMUNDO JALPAN,1,3,3,45,72,19,94,74,80,499,21,153,11,22,6,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1106,0,60,1166,2166,
20,OAXACA,340,SAN SEBASTIAN ABASOLO,1,3,3,32,32,6,91,104,26,320,12,8,4,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,646,0,42,688,1554,
20,OAXACA,341,SAN SEBASTIAN COATLAN,2,5,5,43,178,6,61,21,39,368,191,3,0,9,4,4,0,0,0,0,0,0,1,10,0,1,0,0,0,0,939,0,65,1004,2134,
20,OAXACA,342,SAN SEBASTIAN IXCAPA,4,7,7,15,67,209,816,321,30,745,12,13,21,12,3,0,0,1,0,0,0,0,1,7,2,1,0,0,0,0,2276,0,90,2366,3181,
20,OAXACA,343,SAN SEBASTIAN NICANANDUTA,1,2,2,7,6,0,49,21,7,425,8,3,3,7,1,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,548,0,40,588,1281,
20,OAXACA,344,SAN SEBASTIAN RIO HONDO,3,6,6,36,192,9,238,90,25,529,279,17,7,33,5,1,0,0,0,0,0,0,2,18,0,0,0,0,0,0,1481,0,85,1566,3043,
20,OAXACA,345,SAN SEBASTIAN TECOMAXTLAHUACA,9,13,13,47,110,54,231,669,96,1330,32,46,23,166,4,3,0,0,0,0,0,0,3,27,2,2,0,0,0,0,2845,4,242,3091,6214,
20,OAXACA,346,SAN SEBASTIAN TEITIPAC,1,4,4,15,42,8,82,58,47,472,8,9,5,17,1,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,773,0,64,837,1764,
20,OAXACA,347,SAN SEBASTIAN TUTLA,7,20,20,756,860,87,466,372,1159,3203,103,143,87,352,54,22,4,2,0,0,0,0,13,54,0,5,0,0,0,0,7742,11,392,8145,12843,
20,OAXACA,348,SAN SIMON ALMOLONGAS,2,4,4,33,42,3,54,32,16,613,77,5,1,19,2,2,0,0,0,0,0,0,3,7,0,0,0,0,0,0,909,0,85,994,2272,
20,OAXACA,349,SAN SIMON ZAHUATLAN,1,5,5,19,423,29,43,45,16,292,5,1,5,6,8,6,1,1,0,0,0,0,1,7,0,1,0,0,0,0,909,1,113,1023,3008,
20,OAXACA,350,SAN VICENTE COATLAN,2,5,5,21,44,17,84,53,16,291,6,3,3,9,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,555,3,81,639,2888,
20,OAXACA,351,SAN VICENTE LACHIXIO,1,4,4,17,44,20,99,112,16,467,10,31,8,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,842,0,54,896,2193,
20,OAXACA,352,SAN VICENTE NUÑU,1,1,1,24,37,1,13,7,3,118,2,0,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,212,0,10,222,363,
20,OAXACA,353,SANTA ANA,1,3,3,15,30,5,58,60,21,453,40,8,2,7,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,707,0,48,755,1737,
20,OAXACA,354,SANTA ANA ATEIXTLAHUACA,1,1,1,7,22,5,5,63,4,62,3,2,1,3,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,183,0,20,203,334,
20,OAXACA,355,SANTA ANA CUAUHTEMOC,1,1,1,5,42,4,40,12,4,138,7,0,2,2,2,1,0,0,0,0,0,0,0,9,0,1,0,0,0,0,269,0,25,294,477,
20,OAXACA,356,SANTA ANA DEL VALLE,2,3,3,14,13,6,51,81,31,426,8,8,5,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,664,1,41,706,1724,
20,OAXACA,357,SANTA ANA TAVELA,1,1,1,5,19,2,48,88,2,128,2,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,302,0,12,314,654,
20,OAXACA,358,SANTA ANA TLAPACOYAN,2,3,3,19,18,7,59,186,29,348,8,9,5,13,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,707,1,71,779,1695,
20,OAXACA,359,SANTA ANA YARENI,1,1,1,3,2,5,24,16,7,228,7,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,13,315,606,
20,OAXACA,360,SANTA ANA ZEGACHE,2,5,5,44,68,22,140,639,74,553,26,141,156,19,0,0,0,0,0,0,0,0,2,5,2,3,0,0,0,0,1894,1,172,2067,3139,
20,OAXACA,361,SANTA CATALINA QUIERI,1,1,1,5,4,3,19,17,6,243,61,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,9,379,665,
20,OAXACA,362,SANTA CATARINA CUIXTLA,1,2,2,15,20,3,36,60,83,272,36,4,3,10,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,548,1,44,593,1088,
20,OAXACA,363,SANTA CATARINA IXTEPEJI,4,6,6,19,83,6,70,134,22,526,75,3,5,14,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,963,0,54,1017,2120,
20,OAXACA,364,SANTA CATARINA JUQUILA,8,26,27,318,1938,228,871,791,134,3554,47,32,50,159,71,9,6,4,0,0,0,0,5,23,1,1,0,0,0,1,8243,2,366,8611,12816,
20,OAXACA,365,SANTA CATARINA LACHATAO,3,3,3,7,25,4,97,88,9,315,18,5,3,45,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,629,0,38,667,989,
20,OAXACA,366,SANTA CATARINA LOXICHA,3,5,5,19,67,8,43,42,8,477,91,6,11,8,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,785,0,76,861,2486,
20,OAXACA,367,SANTA CATARINA MECHOACAN,2,6,6,33,260,159,73,42,34,611,17,88,11,19,13,7,1,1,0,0,0,0,0,7,0,0,0,0,0,0,1376,0,86,1462,3243,
20,OAXACA,368,SANTA CATARINA MINAS,2,4,4,10,28,14,125,134,38,273,10,17,13,21,1,2,0,1,0,0,0,0,0,7,0,1,0,0,0,0,695,8,59,762,1548,
20,OAXACA,369,SANTA CATARINA QUIANE,1,3,3,30,32,9,82,90,49,542,8,9,6,12,2,2,1,0,0,0,0,0,0,13,0,0,0,0,0,0,887,0,46,933,1694,
20,OAXACA,370,SANTA CATARINA QUIOQUITANI,1,1,1,2,2,2,7,23,4,148,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,6,212,366,
20,OAXACA,371,SANTA CATARINA TAYATA,1,2,2,6,35,4,18,34,18,201,2,1,5,6,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,335,0,20,355,587,
20,OAXACA,372,SANTA CATARINA TICUA,2,2,2,17,24,4,42,64,20,239,7,3,2,39,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,468,0,53,521,780,
20,OAXACA,373,SANTA CATARINA YOSONOTU,3,4,4,3,8,9,18,270,2,132,23,3,9,9,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,494,0,72,566,1002,
20,OAXACA,374,SANTA CATARINA ZAPOQUILA,1,1,1,5,14,2,14,6,3,104,2,8,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,165,0,22,187,348,
20,OAXACA,375,SANTA CRUZ ACATEPEC,1,2,2,12,112,9,11,172,5,300,4,5,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,35,680,1101,
20,OAXACA,376,SANTA CRUZ AMILPAS,5,17,17,428,531,49,474,373,662,3407,151,120,160,814,23,7,2,3,0,0,0,0,12,23,0,4,0,0,0,0,7243,4,383,7630,10810,
20,OAXACA,377,SANTA CRUZ DE BRAVO,1,1,1,9,14,5,12,3,2,55,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,5,113,313,
20,OAXACA,378,SANTA CRUZ ITUNDUJIA,8,17,17,17,1230,33,118,1577,60,2116,124,7,17,46,4,2,1,0,0,0,0,0,0,8,0,1,0,0,0,0,5361,0,309,5670,8373,
20,OAXACA,379,SANTA CRUZ MIXTEPEC,3,5,5,20,76,10,66,242,30,539,35,7,11,13,2,1,0,1,0,0,0,0,1,8,0,0,0,0,0,0,1062,1,115,1178,2780,
20,OAXACA,380,SANTA CRUZ NUNDACO,1,4,4,10,26,7,61,315,16,588,7,10,13,10,0,0,0,0,0,0,0,0,2,7,0,2,0,0,0,0,1074,0,71,1145,2315,
20,OAXACA,381,SANTA CRUZ PAPALUTLA,1,3,3,19,31,10,51,101,14,369,6,9,9,9,3,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,639,0,31,670,1661,
20,OAXACA,382,SANTA CRUZ TACACHE DE MINA,3,5,5,27,84,3,25,23,127,705,187,12,7,6,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1212,0,104,1316,2120,
20,OAXACA,383,SANTA CRUZ TACAHUA,1,2,2,4,7,4,162,61,1,177,7,1,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,431,0,40,471,889,
20,OAXACA,384,SANTA CRUZ TAYATA,1,2,2,5,14,5,35,73,1,145,1,2,3,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,291,0,18,309,467,
20,OAXACA,385,SANTA CRUZ XITLA,3,6,6,15,178,9,68,86,24,552,166,15,10,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1145,6,67,1218,3639,
20,OAXACA,386,SANTA CRUZ XOXOCOTLAN,30,117,119,2394,4984,681,6342,2170,2832,21135,1325,4690,686,1764,325,72,14,6,0,0,0,0,93,380,18,35,0,0,0,0,49946,28,2768,52742,76895,
20,OAXACA,387,SANTA CRUZ ZENZONTEPEC,8,28,28,111,380,187,533,465,96,2227,85,133,22,102,6,7,2,3,0,0,0,0,2,17,1,1,0,0,0,0,4380,6,484,4870,12749,
20,OAXACA,388,SANTA GERTRUDIS,3,5,5,13,472,3,154,120,33,821,24,6,15,16,1,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,1688,0,70,1758,2590,
20,OAXACA,389,SANTA INES DEL MONTE,1,5,5,17,125,8,54,160,33,276,10,10,11,6,3,3,1,0,0,0,0,0,1,5,0,1,0,0,0,0,724,0,70,794,1928,
20,OAXACA,390,SANTA INES YATZECHE,1,2,2,8,30,7,9,36,9,90,3,2,2,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,202,0,17,219,784,
20,OAXACA,391,SANTA INES DE ZARAGOZA,3,4,4,21,76,11,48,75,12,279,5,10,5,12,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,561,0,23,584,1112,
20,OAXACA,392,SANTA LUCIA DEL CAMINO,26,69,72,1774,2031,260,1250,1810,4986,11882,590,452,385,887,100,23,1,2,0,0,0,0,44,132,3,18,0,0,0,0,26630,13,1396,28039,41207,
20,OAXACA,393,SANTA LUCIA MIAHUATLAN,2,6,6,22,168,10,35,29,20,169,150,3,8,8,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,627,1,54,682,2299,
20,OAXACA,394,SANTA LUCIA MONTEVERDE,5,8,8,19,70,61,172,733,34,650,25,11,15,33,0,0,0,1,0,0,0,0,1,12,0,2,0,0,0,0,1839,0,242,2081,4522,
20,OAXACA,395,SANTA LUCIA OCOTLAN,1,5,5,46,87,14,178,96,48,377,25,20,14,15,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,929,0,66,995,3019,
