CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,95,2,2,133,23,6,10,23,0,143,78,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,428,0,14,442,646
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,96,3,3,184,27,15,59,35,54,508,28,0,0,0,12,13,3,1,1,12,20,0,0,2,1,3,1,4,1,0,984,0,45,1029,1905
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,97,2,2,180,18,9,16,20,0,242,219,0,0,0,6,6,2,0,0,2,7,0,0,0,2,1,0,4,0,0,734,0,17,751,1225
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,98,7,7,356,86,23,113,84,89,1275,68,0,0,0,16,18,3,1,2,22,60,0,0,1,6,17,0,20,0,2,2262,1,100,2363,5037
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,99,2,2,89,11,5,11,8,0,239,25,0,0,0,3,4,0,1,0,5,8,4,1,1,2,2,1,2,0,0,422,0,12,434,937
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,100,3,3,262,36,13,33,37,0,343,66,0,0,0,6,24,2,1,0,12,16,2,2,0,2,0,0,2,0,3,862,0,34,896,1807
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,101,3,3,216,26,9,31,32,0,375,73,0,0,0,5,5,1,2,0,8,13,0,1,0,0,3,0,3,0,1,804,0,37,841,1537
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,102,3,3,204,15,12,35,37,0,373,66,0,0,0,6,27,0,5,0,14,27,0,4,1,4,1,0,2,1,0,834,0,26,860,1640
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,103,2,2,215,21,8,20,26,0,298,60,0,0,0,0,13,1,1,0,8,9,0,0,1,0,4,0,4,0,1,690,0,21,711,1266
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,104,3,3,244,35,8,44,42,0,416,82,0,0,0,7,22,1,0,0,15,18,0,1,2,3,4,0,7,0,4,955,0,45,1000,1994
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,105,3,3,221,35,15,29,20,0,308,244,0,0,0,6,12,2,0,0,8,24,2,2,1,3,0,0,0,0,0,932,0,24,956,1688
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,106,3,3,165,43,8,26,29,0,360,243,0,0,0,9,12,3,1,0,13,10,0,1,0,2,2,0,3,0,0,930,0,30,960,1762
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,107,4,4,242,33,13,38,40,0,490,310,0,0,0,7,22,3,4,0,11,16,0,4,0,4,7,0,16,0,1,1261,0,44,1305,2367
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,108,3,3,124,29,10,27,39,0,321,233,0,0,0,4,1,1,1,0,17,9,0,1,2,0,2,0,6,0,0,827,3,31,861,1590
