ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,5,COMPOSTELA,9,COMPOSTELA 09,10,15,16,181,121,34,213,87,568,1394,25,0,0,19,22,22,6,1,0,37,75,1,6,3,9,38,0,26,1,8,2897,0,117,3014,6760,
18,NAYARIT,6,HUAJICORI,1,HUAJICORI 01,2,4,4,18,140,37,72,37,331,468,0,0,0,0,104,10,1,5,0,34,5,3,4,8,3,4,0,6,0,10,1300,0,29,1329,1878,
18,NAYARIT,6,HUAJICORI,2,HUAJICORI 02,3,4,4,30,336,49,177,25,257,277,0,0,0,0,14,29,8,1,2,14,11,2,2,2,4,7,0,2,1,5,1255,0,34,1289,1771,
18,NAYARIT,6,HUAJICORI,3,HUAJICORI 03,6,6,6,17,173,40,36,25,358,292,0,0,0,0,13,14,3,1,3,11,5,2,0,0,4,0,0,2,0,4,1003,0,26,1029,1508,
18,NAYARIT,6,HUAJICORI,4,HUAJICORI 04,2,4,4,15,155,22,27,27,258,219,0,0,0,0,20,18,2,3,1,30,5,0,2,1,2,1,0,2,0,2,812,0,47,859,1662,
18,NAYARIT,6,HUAJICORI,5,HUAJICORI 05,6,6,6,9,44,10,59,30,602,565,0,0,0,0,20,6,2,0,1,30,6,1,4,1,3,5,1,10,0,5,1414,0,33,1447,1933,
18,NAYARIT,7,IXTLAN DEL RIO,1,IXTLAN DEL RIO 01,2,5,5,609,81,35,61,343,204,447,92,0,0,48,10,55,7,5,1,44,29,2,3,6,9,3,0,20,1,0,2115,0,53,2168,3382,
18,NAYARIT,7,IXTLAN DEL RIO,2,IXTLAN DEL RIO 02,4,6,6,545,82,32,38,200,361,398,199,0,0,38,9,52,9,4,0,15,30,0,1,2,6,3,0,15,1,0,2040,1,31,2072,3310,
18,NAYARIT,7,IXTLAN DEL RIO,3,IXTLAN DEL RIO 03,4,6,6,667,68,25,55,205,195,442,63,0,0,19,9,44,14,6,0,19,21,1,1,6,5,6,0,10,0,0,1881,0,55,1936,3464,
18,NAYARIT,7,IXTLAN DEL RIO,4,IXTLAN DEL RIO 04,4,6,6,582,60,25,39,169,72,471,160,0,0,0,19,48,10,6,0,24,43,0,2,3,8,5,0,15,2,0,1763,1,75,1839,3255,
