ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,17,TEPIC,8,TEPIC 08,50,73,74,1910,1668,329,1377,1051,3928,6693,664,664,1417,344,20045,17,735,20797,34855,
18,NAYARIT,17,TEPIC,9,TEPIC 09,30,61,62,3625,2088,430,1089,663,2715,5997,607,608,1505,405,19732,51,614,20397,32549,
18,NAYARIT,17,TEPIC,10,TEPIC 10,33,59,60,2580,1886,403,2413,927,2866,5668,583,583,701,299,18909,20,626,19555,33296,
18,NAYARIT,17,TEPIC,11,TEPIC 11,20,53,54,1431,1103,279,1227,731,4290,6220,382,381,466,290,16800,10,506,17316,31538,
18,NAYARIT,18,TUXPAN,1,TUXPAN 01,8,9,9,179,238,104,411,78,404,550,302,301,56,40,2663,0,63,2726,3881,
18,NAYARIT,18,TUXPAN,2,TUXPAN 02,3,6,6,54,97,27,284,84,340,466,107,108,284,32,1883,0,43,1926,2973,
18,NAYARIT,18,TUXPAN,3,TUXPAN 03,6,7,7,210,309,98,260,114,357,832,70,70,68,40,2428,0,46,2474,3539,
18,NAYARIT,18,TUXPAN,4,TUXPAN 04,4,6,6,51,96,27,153,50,303,353,204,203,605,10,2055,0,59,2114,3085,
18,NAYARIT,18,TUXPAN,5,TUXPAN 05,4,6,6,139,163,179,128,37,175,318,173,173,276,15,1776,0,54,1830,2777,
18,NAYARIT,18,TUXPAN,6,TUXPAN 06,4,8,8,78,169,31,316,81,281,500,175,175,526,27,2359,0,90,2449,3733,
18,NAYARIT,18,TUXPAN,7,TUXPAN 07,5,8,8,259,263,109,118,68,547,464,173,173,8,19,2201,0,72,2273,3779,
18,NAYARIT,19,XALISCO,1,XALISCO 01,1,7,7,423,136,40,138,109,573,874,76,75,33,39,2516,2,54,2572,4955,
18,NAYARIT,19,XALISCO,2,XALISCO 02,3,9,9,707,233,51,232,153,657,993,225,225,77,51,3604,1,82,3687,6008,
18,NAYARIT,19,XALISCO,3,XALISCO 03,2,9,9,306,104,58,438,136,389,812,142,141,117,32,2675,9,92,2776,5502,
18,NAYARIT,19,XALISCO,4,XALISCO 04,2,10,11,345,128,43,308,149,369,986,211,211,56,32,2838,12,72,2922,5794,
