CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1567,C,3,0,C03,0,26,78,3,7,1,100,140,6,1,2,4,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,384,0,14,398,617,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1786,C,1,0,C01,0,27,140,0,2,3,80,41,4,1,13,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,318,0,10,328,549,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1789,B,1,0,B,0,19,113,2,7,6,102,94,1,0,2,1,0,0,0,0,1,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,358,0,12,370,568,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1789,C,1,0,C01,0,10,101,2,8,1,132,96,2,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,9,371,567,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,57,MAGDALENA,1791,B,1,0,B,0,19,125,2,9,4,117,82,3,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,17,386,660,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1831,B,1,0,B,0,183,13,0,5,2,30,71,8,4,12,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,332,0,10,342,603,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1832,B,1,0,B,0,161,14,2,2,2,31,77,2,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,12,315,504,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1834,B,1,0,B,0,137,6,0,2,5,17,61,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,238,0,7,245,433,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1837,E,1,0,E01,0,150,15,0,18,14,66,203,4,11,3,1,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,28,519,736,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1838,B,1,0,B,0,162,5,2,10,1,21,34,2,1,3,3,0,0,1,0,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,254,0,8,262,359,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1838,E,2,1,E02C01,0,126,4,1,13,9,158,133,2,6,5,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,28,493,691,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1551,B,1,0,B,0,29,27,8,39,5,112,120,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,353,1,7,361,540,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1552,C,1,0,C01,0,21,26,3,38,3,161,97,8,2,3,0,0,0,3,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,9,380,548,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1554,B,1,0,B,0,7,8,1,37,7,39,78,3,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,188,0,4,192,323,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1558,E,1,0,E01,0,22,21,7,42,6,45,65,5,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,221,0,8,229,375,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,43,HUEJUCAR,1565,B,1,0,B,0,14,24,0,2,26,4,29,5,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,0,10,124,472,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1566,B,1,0,B,0,22,73,1,9,0,97,94,9,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,315,0,11,326,539,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1567,C,2,0,C02,0,38,73,1,7,5,92,123,6,1,2,4,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,360,0,9,369,618,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1568,B,1,0,B,0,19,30,4,12,6,92,90,9,0,6,3,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,279,0,13,292,509,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1568,C,1,0,C01,0,26,53,1,12,6,79,103,5,2,3,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,297,0,15,312,509,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1568,C,2,0,C02,0,18,40,2,7,3,91,111,4,0,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,2,300,0,16,316,509,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1569,E,1,0,E01,0,16,36,2,9,2,25,53,11,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,161,0,8,169,241,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1571,B,1,0,B,0,4,23,0,0,1,19,23,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,2,77,124,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1572,B,1,0,B,0,17,63,1,9,4,115,84,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,7,308,463,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1572,C,1,0,C01,0,9,55,1,5,3,122,90,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,11,304,462,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1549,C,1,0,C01,0,26,20,4,37,8,191,71,3,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,367,0,9,376,470,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,42,HOSTOTIPAQUILLO,1558,B,1,0,B,0,19,41,2,27,4,49,75,3,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,231,0,6,237,422,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,43,HUEJUCAR,1563,C,1,0,C01,0,31,106,2,3,1,96,34,12,0,12,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,306,529,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,43,HUEJUCAR,1565,C,1,0,C01,0,12,84,0,6,1,108,38,4,0,4,2,0,0,0,0,4,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,270,0,4,274,472,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1566,C,1,0,C01,0,26,73,2,7,2,97,108,6,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,7,336,539,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1566,C,2,0,C02,0,22,87,1,6,3,96,103,7,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,12,345,539,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1567,C,1,0,C01,0,28,99,0,14,4,79,121,13,1,7,1,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,377,0,13,390,618,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1569,B,1,0,B,0,14,24,0,2,26,4,29,5,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,0,10,124,177,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,44,HUEJUQUILLA EL ALTO,1572,E,1,0,E01,0,3,36,0,6,3,23,106,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,0,9,198,292,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,40,C,2,0,C02,0,22,35,3,17,4,127,206,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,433,0,13,446,623,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,C,1,0,C01,0,34,30,6,18,9,155,233,9,2,1,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,505,0,10,515,722,Grupo de recuento,,,
