CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,2,MERIDA,50,MERIDA,335,2,2,328,40,2,8,10,28,123,1,0,0,1,0,11,0,1,1,554,0,16,570,739
3,31,YUCATAN,2,MERIDA,50,MERIDA,336,1,1,307,34,3,6,6,20,115,3,0,0,1,0,10,0,0,1,506,2,16,524,731
3,31,YUCATAN,2,MERIDA,50,MERIDA,337,1,1,219,23,3,10,3,68,139,6,0,0,1,0,5,0,0,0,477,0,10,487,649
3,31,YUCATAN,2,MERIDA,50,MERIDA,338,2,2,341,42,2,14,4,51,160,3,0,0,4,0,9,1,0,1,632,0,2,634,835
3,31,YUCATAN,1,MERIDA,50,MERIDA,339,1,1,241,36,7,10,3,29,92,9,0,0,0,0,9,0,1,3,440,1,19,460,632
3,31,YUCATAN,1,MERIDA,50,MERIDA,340,2,2,295,46,6,18,4,29,166,6,0,0,0,0,10,0,2,2,584,0,23,607,794
3,31,YUCATAN,1,MERIDA,50,MERIDA,341,2,2,309,68,5,12,7,39,178,8,0,0,0,0,17,1,0,3,647,2,34,683,888
3,31,YUCATAN,1,MERIDA,50,MERIDA,342,2,2,357,69,5,21,10,33,169,4,0,0,0,0,19,0,2,3,692,2,15,709,922
3,31,YUCATAN,1,MERIDA,50,MERIDA,343,2,2,190,43,4,17,12,58,142,7,0,0,0,0,13,0,5,5,496,1,30,527,914
3,31,YUCATAN,1,MERIDA,50,MERIDA,344,2,2,281,58,2,21,10,48,266,5,0,0,0,0,9,0,3,2,705,1,24,730,986
3,31,YUCATAN,1,MERIDA,50,MERIDA,345,2,2,210,58,1,14,5,34,194,2,0,0,0,0,7,3,4,3,535,1,16,552,777
3,31,YUCATAN,1,MERIDA,50,MERIDA,346,2,2,433,73,6,12,4,56,207,7,0,0,0,0,15,0,4,2,819,1,34,854,1082
3,31,YUCATAN,1,MERIDA,50,MERIDA,347,2,2,414,56,4,11,5,54,146,9,0,0,0,0,16,0,3,2,720,0,25,745,979
3,31,YUCATAN,1,MERIDA,50,MERIDA,348,2,2,291,57,5,8,6,36,186,6,0,0,0,0,5,0,1,2,603,1,23,627,768
3,31,YUCATAN,1,MERIDA,50,MERIDA,349,2,2,366,64,5,7,4,30,181,6,0,0,0,0,10,1,1,0,675,1,30,706,923
3,31,YUCATAN,1,MERIDA,50,MERIDA,350,1,1,313,50,2,8,5,28,86,4,0,0,0,0,4,0,2,2,504,0,14,518,686
3,31,YUCATAN,1,MERIDA,50,MERIDA,351,2,2,439,43,2,6,11,30,153,3,0,0,0,0,12,0,4,0,703,0,18,721,949
