CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,523,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,524,1,1,39,28,3,53,71,45,1,143,24,10,15,2,0,0,434,59,493,637
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,525,2,2,54,35,3,110,133,72,7,311,1,4,20,0,0,0,750,45,795,983
4,29,TLAXCALA,10,HUAMANTLA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,526,1,1,2,0,1,21,7,11,0,28,2,0,0,0,0,0,72,9,81,174
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,59,2,2,96,207,45,76,0,54,33,0,0,0,0,3,271,0,785,48,833,1061
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,60,2,2,84,107,21,43,0,48,19,0,0,0,0,3,253,2,578,49,629,830
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,61,2,2,29,112,0,25,0,45,24,0,0,0,0,0,160,0,395,38,433,554
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,62,1,1,26,58,3,35,0,18,9,0,0,0,0,0,144,0,293,18,311,366
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,63,1,1,13,94,3,10,0,18,10,0,0,0,0,0,153,0,301,26,327,385
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,64,1,1,20,45,1,9,0,38,5,0,0,0,0,0,73,0,191,7,198,233
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,65,1,1,24,24,6,32,0,9,12,0,0,0,0,1,102,0,210,10,220,247
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,66,1,1,33,100,6,51,0,30,14,0,0,0,0,3,139,0,376,29,405,543
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,67,1,1,15,36,3,13,0,25,10,0,0,0,0,2,118,1,222,3,226,261
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,68,4,4,254,422,49,143,0,143,135,0,0,0,0,167,489,1,1802,72,1875,2254
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,69,2,2,35,135,8,49,0,123,9,0,0,0,0,0,313,0,672,22,694,937
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,70,1,1,43,100,11,47,0,44,16,0,0,0,0,0,187,0,448,20,468,567
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,71,2,2,77,192,8,53,0,112,29,0,0,0,0,1,288,0,760,57,817,1070
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,72,2,2,47,102,11,87,0,105,16,0,0,0,0,2,236,0,606,38,644,791
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,73,1,1,23,46,7,22,0,14,15,0,0,0,0,1,89,0,217,23,240,314
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,74,2,2,84,232,8,126,0,100,19,0,0,0,0,5,308,0,882,42,924,1180
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,75,1,1,41,88,11,72,0,37,10,0,0,0,0,1,147,0,407,18,425,520
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,76,1,1,13,42,3,47,0,16,3,0,0,0,0,2,40,0,166,14,180,211
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,77,3,3,152,247,64,69,0,94,56,0,0,0,0,4,488,0,1174,73,1247,1557
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,100,5,5,142,264,58,174,0,85,392,0,0,0,0,13,612,1,1740,147,1888,3179
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,101,3,3,95,210,30,110,0,67,257,0,0,0,0,15,521,0,1305,114,1419,2174
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,102,4,4,98,220,24,119,0,67,288,0,0,0,0,7,551,0,1374,133,1507,2345
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,103,2,2,111,230,51,58,0,21,136,0,0,0,0,10,310,0,927,84,1011,1479
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,104,4,4,158,292,25,120,0,70,394,0,0,0,0,11,605,0,1675,161,1836,2845
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,105,1,1,71,90,2,35,0,10,31,0,0,0,0,0,101,4,340,29,373,491
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,106,1,1,26,56,3,5,0,8,18,0,0,0,0,2,52,0,170,21,191,240
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,107,5,5,450,160,168,295,0,445,61,0,0,0,0,22,591,1,2192,158,2351,3098
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,108,3,3,282,87,91,167,0,219,48,0,0,0,0,8,362,0,1264,99,1363,1931
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,109,4,4,400,95,145,286,0,282,40,0,0,0,0,15,504,0,1767,114,1881,2579
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,110,3,3,272,96,46,230,0,197,20,0,0,0,0,7,294,0,1162,76,1238,1605
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,111,1,1,49,46,5,38,0,27,8,0,0,0,0,0,77,0,250,7,257,291
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,112,1,1,35,13,10,16,0,15,1,0,0,0,0,0,40,0,130,16,146,167
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,113,1,1,60,31,24,19,0,44,12,0,0,0,0,3,57,0,250,36,286,320
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,114,2,2,145,82,25,146,0,105,33,0,0,0,0,1,185,0,722,58,780,931
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,115,1,1,151,58,16,44,0,49,6,0,0,0,0,6,114,0,444,26,470,541
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,116,1,1,45,78,16,143,0,27,8,0,0,0,0,0,69,0,386,33,419,504
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,180,6,6,345,409,79,386,0,351,96,0,0,0,0,18,1058,4,2742,166,2912,4232
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,181,3,3,215,209,40,122,0,183,73,0,0,0,0,17,528,2,1387,118,1507,2217
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,187,3,3,193,202,38,132,0,169,68,0,0,0,0,15,453,2,1270,90,1362,1995
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,188,7,7,313,380,91,398,0,362,97,0,0,0,0,34,1133,12,2808,229,3049,4781
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,197,1,1,19,40,3,11,0,47,3,0,0,0,0,1,82,0,206,15,221,278
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,198,1,1,55,67,7,17,0,62,17,0,0,0,0,4,177,2,406,42,450,655
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,201,6,6,223,366,57,298,0,387,59,0,0,0,0,9,1113,0,2512,248,2760,4077
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,202,1,1,77,99,5,72,0,51,11,0,0,0,0,0,129,0,444,25,469,624
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,203,3,3,133,318,24,201,0,99,21,0,0,0,0,14,583,3,1393,95,1491,2213
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,204,4,4,148,292,27,289,0,132,23,0,0,0,0,19,732,0,1662,114,1776,2824
4,29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,212,1,1,19,48,1,29,0,68,7,0,0,0,0,0,170,0,342,33,375,587
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,309,2,2,72,25,39,428,0,65,25,0,0,0,0,0,510,0,1164,53,1217,1477
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,310,3,3,29,17,53,496,0,66,32,0,0,0,0,22,688,0,1403,51,1454,1716
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,311,2,2,37,5,34,398,0,46,29,0,0,0,0,0,501,0,1050,55,1105,1333
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,312,2,2,62,23,25,182,0,37,21,0,0,0,0,3,307,2,660,19,681,821
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,378,3,3,219,37,14,447,0,49,38,0,0,0,0,5,629,0,1438,42,1480,1933
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,379,4,4,289,63,27,633,0,106,45,0,0,0,0,9,768,1,1940,90,2031,2682
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,381,3,3,118,31,31,374,0,55,48,0,0,0,0,5,759,0,1421,85,1506,2093
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,382,3,3,99,14,15,421,0,56,23,0,0,0,0,76,567,1,1271,49,1321,1716
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,383,3,3,151,18,24,377,0,69,53,0,0,0,0,7,669,0,1368,62,1430,1766
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,384,3,3,218,53,21,488,0,61,23,0,0,0,0,10,585,0,1459,65,1524,1987
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,385,1,1,29,10,4,129,0,6,8,0,0,0,0,0,156,0,342,17,359,416
