ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,107,OCOYUCAN,10,51,51,5332,3178,176,595,319,1553,286,8060,78,192,105,337,5,1,7,165,20,3,5,6,1,115,33,11,6,11,24,162,2,7,2,15,3,8,11,0,18,31,70,3,1,96,4,6,7,45,2,21117,5,673,21795,33389,
21,PUEBLA,108,OLINTLA,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8895,
21,PUEBLA,109,ORIENTAL,9,24,24,1745,386,252,1627,203,210,80,4759,54,81,29,57,8,1,1,27,16,4,1,0,0,26,12,1,6,3,1,26,18,1,0,4,0,3,2,2,1,10,10,0,0,31,2,2,4,6,0,9712,4,636,10352,14124,
21,PUEBLA,110,PAHUATLAN,14,29,29,965,468,689,2197,534,223,90,4156,53,66,43,45,6,6,3,16,30,6,6,3,2,26,13,3,2,3,2,44,3,0,2,4,0,1,0,0,1,51,77,1,3,55,1,3,3,7,2,9914,2,659,10575,15216,
21,PUEBLA,111,PALMAR DE BRAVO,16,55,55,1575,619,149,5095,1413,1050,3164,7641,419,452,38,31,9,2,7,61,7,11,3,12,16,50,11,5,3,7,3,70,4,1,6,1,3,1,0,0,4,37,42,2,0,64,4,6,1,11,2,22112,7,1522,23641,34201,
21,PUEBLA,112,PANTEPEC,12,28,29,1481,417,71,315,351,917,104,6543,312,79,19,34,0,0,0,16,3,4,1,0,0,39,20,0,2,0,1,50,6,2,2,1,0,3,2,0,1,17,17,3,0,18,5,1,9,7,1,10874,0,502,11376,15056,
21,PUEBLA,113,PETLALCINGO,6,16,16,142,1235,54,127,195,71,15,1966,534,11,6,5,0,0,0,9,1,0,3,2,0,16,8,1,0,0,0,29,5,1,4,0,0,6,0,0,1,13,12,0,0,8,6,2,11,0,2,4501,0,218,4719,7353,
21,PUEBLA,114,PIAXTLA,5,9,9,93,137,14,639,565,23,11,712,20,190,7,3,0,0,0,5,0,0,0,0,0,12,0,2,0,1,3,9,1,0,0,1,0,1,0,0,1,8,12,0,1,19,1,1,0,3,1,2496,2,103,2601,4083,
21,PUEBLA,115,PUEBLA,816,2266,2273,219026,38468,8415,34844,22097,56867,5739,336540,7605,4787,7549,9353,614,294,174,4499,774,343,151,97,167,9807,2392,922,452,662,761,12584,499,164,476,343,98,520,333,88,460,1773,3426,132,167,4858,195,94,426,645,124,800804,512,25529,826845,1372625,
21,PUEBLA,116,QUECHOLAC,16,60,60,549,1032,115,727,862,708,10667,9890,150,357,83,22,24,16,6,27,6,31,7,34,12,77,25,22,3,10,5,106,3,3,4,8,0,9,2,0,7,47,79,5,4,84,6,3,19,22,2,25880,0,1611,27491,39066,
21,PUEBLA,117,QUIMIXTLAN,10,28,28,590,193,55,5517,408,157,222,2649,25,48,11,6,0,0,0,2,2,0,2,0,0,2,2,0,0,1,1,19,0,2,4,0,0,1,3,0,1,20,23,0,0,33,0,0,1,5,0,10005,0,364,10369,14834,
21,PUEBLA,118,RAFAEL LARA GRAJALES,7,25,26,624,661,106,413,2304,418,70,3162,556,42,15,25,5,2,1,13,3,3,1,0,2,31,12,0,2,4,3,57,1,4,6,3,2,3,0,1,1,39,39,4,6,40,9,0,11,3,1,8708,1,529,9238,14921,
21,PUEBLA,119,LOS REYES DE JUAREZ,9,32,32,1158,305,353,2859,460,552,115,5643,60,63,0,0,0,0,0,75,0,0,0,0,0,115,19,7,7,5,14,115,17,3,5,1,0,5,6,0,1,18,54,0,12,113,6,1,4,8,4,12183,0,498,12681,19905,
21,PUEBLA,120,SAN ANDRES CHOLULA,40,171,172,28270,2415,530,3609,1592,6302,234,22285,1588,536,496,892,36,14,11,321,54,11,7,1,27,568,137,51,23,56,54,526,35,12,25,32,4,49,22,8,43,96,207,14,21,227,31,10,62,59,12,71615,87,2717,74419,111360,
21,PUEBLA,121,SAN ANTONIO CAÑADA,2,7,8,61,699,276,282,166,69,22,1123,12,14,0,2,0,1,0,4,0,0,2,0,0,5,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,3,1,0,0,6,0,0,0,0,0,2754,0,217,2971,4138,
21,PUEBLA,122,SAN DIEGO LA MESA TOCHIMILTZINGO,3,3,3,32,30,9,91,84,5,2,344,2,12,0,0,1,0,0,0,1,6,0,0,0,11,1,1,0,0,1,24,0,1,0,1,0,0,0,0,0,4,2,0,0,4,2,0,0,0,0,671,0,48,719,1035,
21,PUEBLA,123,SAN FELIPE TEOTLALCINGO,5,13,13,856,260,38,187,167,483,18,1895,41,36,0,0,0,17,0,0,2,8,0,0,0,24,18,3,1,2,6,32,3,0,0,3,0,5,0,0,0,14,25,0,0,27,1,0,2,2,0,4176,7,257,4440,8206,
21,PUEBLA,124,SAN FELIPE TEPATLAN,3,6,6,82,379,694,661,37,119,12,418,8,6,2,6,0,0,0,4,19,0,3,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,5,1,0,0,39,0,4,0,0,0,2507,0,154,2661,3217,
21,PUEBLA,125,SAN GABRIEL CHILAC,6,21,22,796,1870,79,205,674,407,32,4451,44,50,17,19,0,0,2,9,18,0,2,0,0,31,6,2,2,2,3,29,1,0,4,1,0,1,1,1,1,12,75,2,1,17,0,0,0,4,0,8871,2,338,9211,12170,
21,PUEBLA,126,SAN GREGORIO ATZOMPA,4,12,12,1993,261,27,163,74,417,13,1289,25,404,25,56,1,2,0,14,4,0,0,0,0,22,7,7,2,1,1,24,5,0,0,1,0,0,2,1,1,5,11,0,1,10,0,1,1,15,1,4887,2,199,5088,7719,
21,PUEBLA,127,SAN JERONIMO TECUANIPAN,3,7,7,438,52,43,569,155,564,331,1024,16,13,6,5,1,1,0,3,2,0,0,1,0,11,1,2,0,1,1,13,0,0,0,0,0,1,1,1,2,0,6,0,1,14,1,0,0,0,0,3280,11,183,3474,4655,
21,PUEBLA,128,SAN JERONIMO XAYACATLAN,4,7,7,66,385,113,58,63,26,16,1441,31,19,2,3,0,0,0,12,0,0,0,0,2,7,0,2,0,0,0,15,2,0,4,0,0,0,1,1,1,6,6,0,0,7,0,0,2,1,1,2293,0,112,2405,3192,
21,PUEBLA,129,SAN JOSE CHIAPA,6,13,13,1109,626,65,198,259,529,68,1571,27,30,37,12,1,9,3,12,88,0,7,0,1,22,7,2,2,6,4,11,1,0,1,0,0,0,1,0,0,6,18,3,6,6,2,1,0,0,0,4751,0,227,4978,7317,
21,PUEBLA,130,SAN JOSE MIAHUATLAN,7,17,17,1696,286,86,426,545,218,110,3592,89,37,6,8,1,0,1,9,5,2,0,8,0,11,2,0,0,0,1,29,0,0,3,2,0,0,0,0,0,6,97,1,0,4,1,0,3,2,0,7287,0,349,7636,10399,
21,PUEBLA,131,SAN JUAN ATENCO,4,5,5,196,70,17,59,211,228,47,1153,13,14,9,6,3,1,0,7,0,0,0,0,1,4,2,0,0,0,0,8,0,0,0,0,0,0,0,0,1,6,5,0,2,1,0,0,0,0,0,2064,0,134,2198,2946,
21,PUEBLA,132,SAN JUAN ATZOMPA,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,
21,PUEBLA,133,SAN MARTIN TEXMELUCAN,58,189,190,7997,3960,846,3959,3636,14932,895,21890,1069,656,0,0,0,267,0,0,109,29,0,0,8,477,158,250,26,46,80,625,50,31,28,26,3,31,16,8,32,149,224,30,33,240,20,19,25,63,27,62970,87,3970,67027,120625,
21,PUEBLA,134,SAN MARTIN TOTOLTEPEC,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,
21,PUEBLA,135,SAN MATIAS TLALANCALECA,9,25,25,1974,1307,70,878,570,821,43,4146,190,67,0,0,0,11,0,0,12,3,0,0,0,55,25,11,2,6,2,50,13,1,9,2,0,8,1,5,7,25,34,5,4,33,5,0,13,4,15,10427,2,535,10964,16351,
21,PUEBLA,136,SAN MIGUEL IXITLAN,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,
21,PUEBLA,137,SAN MIGUEL XOXTLA,4,15,15,937,289,33,1407,310,594,19,2714,60,202,3,12,0,0,1,6,1,1,0,0,0,24,11,2,0,2,4,37,3,1,2,2,0,1,0,0,3,7,53,0,0,12,0,1,1,8,0,6763,4,225,6992,9787,
21,PUEBLA,138,SAN NICOLAS BUENOS AIRES,5,13,13,270,438,34,116,238,814,26,1053,28,366,24,25,0,0,0,12,0,5,0,0,0,2,0,0,0,1,1,8,0,0,0,0,0,0,0,0,1,3,2,1,1,3,0,1,2,5,0,3480,0,236,3716,7402,
21,PUEBLA,139,SAN NICOLAS DE LOS RANCHOS,5,14,14,352,305,94,213,151,451,30,2931,1357,41,5,8,0,0,0,4,0,0,2,1,1,12,10,2,0,0,1,23,8,4,5,2,0,6,0,0,1,8,10,3,0,8,7,4,11,2,5,6078,0,365,6443,8671,
21,PUEBLA,140,SAN PABLO ANICANO,2,5,5,27,869,8,50,60,33,11,1062,34,7,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,1,0,0,2186,0,74,2260,3011,
21,PUEBLA,141,SAN PEDRO CHOLULA,50,184,185,17793,2653,1192,3272,2227,12025,783,23998,884,596,407,882,42,15,11,235,70,7,19,5,3,683,135,61,20,74,65,681,58,10,59,36,8,34,27,8,39,118,245,18,6,270,28,13,30,55,13,69913,132,3576,73621,114825,
21,PUEBLA,142,SAN PEDRO YELOIXTLAHUACA,2,5,5,302,77,7,154,50,193,61,894,340,6,0,4,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,3,0,3,2,0,3,3,4,2118,0,107,2225,2929,
21,PUEBLA,143,SAN SALVADOR EL SECO,10,36,36,1035,490,158,855,1337,3408,377,6262,628,141,32,26,3,5,4,27,4,2,30,5,6,55,16,1,2,13,11,62,9,1,8,1,0,6,3,2,4,26,34,3,8,120,12,2,25,1,8,15268,2,983,16253,21956,
21,PUEBLA,144,SAN SALVADOR EL VERDE,10,38,38,921,715,100,1268,3299,1454,135,5352,166,104,0,0,0,31,0,0,22,1,0,0,3,94,10,6,5,2,12,88,8,2,9,7,1,9,2,8,9,41,110,7,4,64,2,2,8,11,1,14093,3,690,14786,25326,
21,PUEBLA,145,SAN SALVADOR HUIXCOLOTLA,4,17,17,424,225,58,190,1970,327,198,2683,33,35,12,8,2,0,0,4,1,0,1,1,1,26,6,1,2,5,3,40,4,0,0,0,1,1,2,0,23,20,36,0,4,7,0,0,0,1,1,6356,0,222,6578,10834,
21,PUEBLA,177,SAN SEBASTIAN TLACOTEPEC,9,18,18,387,159,30,3726,1767,125,20,367,13,8,0,4,0,2,0,25,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,12,0,1,9,0,1,0,0,1,6664,1,203,6868,8953,
21,PUEBLA,146,SANTA CATARINA TLALTEMPAN,1,2,2,48,103,5,23,14,12,8,305,3,89,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,620,0,27,647,772,
21,PUEBLA,147,SANTA INES AHUATEMPAN,4,8,8,146,1505,23,127,82,37,20,1179,13,30,9,10,1,1,0,16,1,1,2,2,1,4,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,1,6,0,1,2,2,0,0,1,0,3235,0,99,3334,4876,
21,PUEBLA,148,SANTA ISABEL CHOLULA,5,14,14,319,146,31,280,166,508,366,2326,186,286,21,6,2,1,3,14,2,1,0,2,4,26,5,3,7,2,3,42,3,1,3,0,0,2,0,0,3,8,11,1,3,14,1,1,4,8,4,4825,0,316,5141,8665,
21,PUEBLA,149,SANTIAGO MIAHUATLAN,6,33,33,2400,410,198,3604,2161,777,197,3474,55,48,50,40,11,9,7,20,9,7,3,1,3,25,21,1,1,4,7,142,9,1,3,2,1,2,0,0,2,75,54,4,15,172,12,7,3,2,0,14049,1,667,14717,21621,
21,PUEBLA,150,SANTO TOMAS HUEYOTLIPAN,3,11,11,496,152,29,105,112,124,362,2297,169,255,0,0,0,0,0,23,0,0,0,0,0,14,1,2,0,0,0,17,0,2,1,3,0,1,2,1,1,6,7,0,0,7,1,3,5,7,0,4205,1,261,4467,6629,
21,PUEBLA,151,SOLTEPEC,6,17,17,378,290,52,564,2023,164,336,1635,35,37,11,3,0,0,0,4,1,0,0,0,0,17,6,8,0,3,2,52,3,2,1,0,0,2,1,0,1,199,27,2,1,20,0,0,3,1,0,5884,1,385,6270,9585,
21,PUEBLA,152,TECALI DE HERRERA,10,27,27,1497,498,59,432,493,1189,760,5093,97,107,37,112,12,6,2,42,5,1,3,2,3,102,24,4,9,6,5,63,4,1,3,6,0,7,4,3,3,13,56,3,3,24,5,3,4,10,0,10815,2,511,11328,16887,
21,PUEBLA,153,TECAMACHALCO,28,98,99,5195,920,510,1579,1684,3426,1135,17271,508,387,260,131,183,21,11,116,32,35,7,18,16,447,83,38,32,65,47,325,27,10,22,50,10,32,16,7,36,103,178,8,14,141,21,12,38,59,13,35279,8,1459,36746,59785,
21,PUEBLA,154,TECOMATLAN,5,10,10,42,1143,19,62,91,23,15,808,7,14,15,14,1,0,1,8,1,0,1,0,0,12,3,0,0,0,1,21,1,0,5,0,0,0,0,0,0,6,11,0,0,11,1,0,0,0,0,2337,0,122,2459,4809,
