ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,32,CHIMALTITAN,3,5,5,741,29,7,9,7,1030,148,3,1,,,33,9,0,1,5,1,1,7,0,1,1,1,0,0,2,4,0,1,0,1,0,0,1,0,0,0,2,1,0,0,2047,0,48,2095,2725,
14,JALISCO,33,CHIQUILISTLAN,4,9,9,134,285,248,26,23,1836,313,233,8,,,67,8,2,2,4,2,1,5,3,0,2,1,1,3,3,2,1,1,0,3,4,0,2,0,0,0,1,16,0,0,3240,0,101,3341,5047,
14,JALISCO,34,DEGOLLADO,16,38,38,808,3458,51,106,49,4317,548,219,18,,,314,79,4,7,9,15,1,32,0,0,1,7,1,1,1,10,1,0,1,1,2,1,4,0,0,0,3,8,2,0,10079,4,310,10393,19686,
14,JALISCO,35,EJUTLA,2,4,4,110,39,83,10,16,726,218,12,1,,,12,1,4,0,1,0,1,12,0,0,0,3,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1256,1,30,1287,2225,
14,JALISCO,36,ENCARNACION DE DIAZ,31,70,70,5421,542,66,771,,7142,6235,106,2157,,,346,102,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22903,15,727,23645,39573,
14,JALISCO,37,ETZATLAN,11,27,28,3239,292,22,787,111,2332,2269,1517,61,,,69,13,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10715,70,221,11006,16148,
14,JALISCO,38,GOMEZ FARIAS,8,23,23,186,341,38,210,103,3105,2260,1586,127,,,34,11,0,0,117,20,8,26,13,4,1,8,19,8,1,28,8,13,5,26,4,2,4,3,7,1,33,57,10,12,8439,28,200,8667,13678,
14,JALISCO,39,EL GRULLO,12,34,35,885,1343,139,126,81,4938,1765,55,25,,,167,34,8,3,30,4,4,68,1,4,3,7,1,5,3,19,0,1,1,2,1,4,15,0,0,0,2,10,1,1,9756,12,291,10059,21613,
14,JALISCO,40,GUACHINANGO,8,11,11,10,13,9,213,313,761,249,814,223,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2606,0,106,2712,3932,
14,JALISCO,41,GUADALAJARA,985,2190,2194,70283,48799,4816,21423,11228,317062,214419,11993,14523,,,5308,1916,181,165,2965,488,1330,7225,184,73,153,569,366,221,541,2961,89,61,107,421,150,384,1415,57,26,45,625,392,618,189,743771,703,16938,761412,1268146,
