CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,576,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,577,1,1,50,37,2,10,6,168,113,5,15,,,2,1,0,0,0,0,3,6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,424,1,10,435,675
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,578,2,2,56,48,4,22,10,265,181,10,16,,,9,3,0,0,4,1,0,2,0,0,0,0,1,0,1,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,641,1,19,661,1033
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,579,2,2,53,47,5,19,9,268,102,10,10,,,5,4,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,541,0,13,554,801
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,580,1,1,44,16,3,8,2,141,67,6,5,,,3,0,0,0,1,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,307,1,9,317,460
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,581,2,2,49,33,5,12,6,202,121,5,12,,,2,2,0,0,2,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,462,0,15,477,775
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,582,2,2,64,38,3,19,13,254,160,9,9,,,7,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,592,0,12,604,1006
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,583,1,1,54,32,9,7,8,237,92,13,11,,,6,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,6,482,634
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,584,2,2,54,47,4,10,5,211,111,5,6,,,6,2,0,0,0,0,2,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,475,1,12,488,757
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,585,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,586,2,2,118,77,7,12,16,370,176,10,17,,,6,4,0,1,0,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,826,1,20,847,1246
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,587,2,2,116,61,7,21,10,194,300,99,20,,,14,10,0,0,3,0,1,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,866,1,25,892,1305
