ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,96,TEUCHITLAN,6,13,13,1713,89,53,78,51,2693,684,11,11,,,5383,5,200,5588,8477,
14,JALISCO,97,TIZAPAN EL ALTO,14,35,35,365,3887,206,195,365,3270,1714,64,58,,,10124,13,262,10399,18712,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,168,694,696,11836,6963,1978,5597,3650,94337,60939,2150,2931,,,190381,209,2729,193319,451757,
14,JALISCO,100,TOLIMAN,7,16,16,63,1754,28,63,75,2797,641,22,11,,,5454,2,191,5647,8551,
14,JALISCO,101,TOMATLAN,17,46,46,93,186,151,1481,2157,5370,3450,337,599,,,13824,0,598,14422,26962,
14,JALISCO,102,TONALA,113,584,585,14556,22347,2016,6102,2688,47014,74184,4027,3930,,6681,183545,409,7945,191899,393283,
14,JALISCO,103,TONAYA,5,10,10,662,1159,106,37,22,736,263,34,5,,,3024,4,165,3193,5831,
14,JALISCO,104,TONILA,7,12,13,105,658,17,42,,1979,1879,,,,,4680,1,104,4785,6369,
14,JALISCO,105,TOTATICHE,6,11,11,736,638,38,15,14,895,79,113,11,,,2539,1,92,2632,4279,
14,JALISCO,106,TOTOTLAN,14,33,34,1663,1080,126,128,,3339,4116,194,,,,10646,2,370,11018,19663,
14,JALISCO,107,TUXCACUESCO,5,10,10,1663,69,28,41,54,158,1004,11,14,,,3042,5,66,3113,4627,
14,JALISCO,108,TUXCUECA,4,11,11,347,39,10,1222,26,2083,233,6,7,,,3973,0,96,4069,6369,
14,JALISCO,109,TUXPAN,23,51,51,428,540,478,,,4181,9573,,1116,,,16316,13,644,16973,29830,
14,JALISCO,110,UNION DE SAN ANTONIO,10,26,26,6016,307,67,132,112,797,745,1750,47,,,9973,3,325,10301,15242,
14,JALISCO,111,UNION DE TULA,14,24,24,244,1131,39,151,143,2362,2554,64,30,,,6718,0,200,6918,12797,
14,JALISCO,112,VALLE DE GUADALUPE,7,13,14,2185,389,46,37,8,584,151,185,9,,,3594,1,91,3686,6975,
14,JALISCO,113,VALLE DE JUAREZ,6,13,13,2353,262,40,37,30,436,638,4,9,,,3809,1,128,3938,6307,
14,JALISCO,114,VILLA CORONA,10,25,26,622,669,118,3029,167,1772,1612,93,152,,,8234,5,254,8493,15970,
14,JALISCO,115,VILLA GUERRERO,6,9,10,185,1480,53,,,1578,,,,,,3296,1,65,3362,4887,
14,JALISCO,116,VILLA HIDALGO,8,27,27,1979,285,77,140,103,4146,1276,26,29,,,8061,8,331,8400,16287,
14,JALISCO,70,VILLA PURIFICACION,10,19,19,491,1918,91,69,64,1468,951,30,17,,,5099,12,241,5352,10256,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,39,40,1694,3121,135,428,344,256,4026,73,80,,,10157,3,384,10544,21563,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,40,243,490,64,1741,594,6725,3899,244,412,,,14412,7,395,14814,25414,
14,JALISCO,120,ZAPOPAN,500,1788,1791,61995,33343,4939,19070,11605,323708,139963,13254,41493,,,649370,490,11953,661813,1148285,
14,JALISCO,121,ZAPOTILTIC,21,49,50,4301,455,103,338,395,3632,5902,751,111,,,15988,28,334,16350,28159,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,12,12,140,1264,48,153,443,735,895,28,23,,,3729,1,103,3833,5560,
14,JALISCO,123,ZAPOTLAN DEL REY,13,28,29,2234,258,87,206,162,3513,1724,129,201,,,8514,0,273,8787,15566,
14,JALISCO,23,ZAPOTLAN EL GRANDE,55,155,156,6380,3118,601,1581,2316,19857,16420,847,568,,,51688,20,1199,52907,94278,
14,JALISCO,124,ZAPOTLANEJO,32,99,100,1264,1755,187,2569,229,14372,8395,725,,,,29496,11,1090,30597,61816,
