ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,76,SAN JULIAN,9,25,25,,,,,,2185,,,,,,3042,3379,8606,0,250,8856,13965,
14,JALISCO,77,SAN MARCOS,2,6,6,,,,,,360,,,,,,797,1081,2238,96,61,2395,3298,
14,JALISCO,78,SAN MARTIN DE BOLAÑOS,3,5,5,,,,,,738,,,,,,,780,1518,0,35,1553,2341,
14,JALISCO,79,SAN MARTIN HIDALGO,17,46,46,,,,,,6391,,,,,,903,7757,15051,87,197,15335,26619,
14,JALISCO,80,SAN MIGUEL EL ALTO,18,45,46,,,,586,291,4727,1395,949,,,,6915,,14863,6,502,15371,26791,
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10,10,,,,,,2158,,,,,,33,1052,3243,0,118,3361,4874,
14,JALISCO,82,SANTA MARIA DE LOS ANGELES,5,7,7,,,,,,916,,,,,,928,218,2062,3,82,2147,3632,
14,JALISCO,83,SAYULA,18,50,51,,,,,,7972,,,,,,2806,5722,16500,7,385,16892,29864,
14,JALISCO,84,TALA,38,100,100,,,,,,17395,,,,,,1589,15682,34666,18,853,35537,63322,
14,JALISCO,85,TALPA DE ALLENDE,10,23,23,,,,1238,,1914,2870,95,97,,,1939,,8153,1,224,8378,12107,
14,JALISCO,86,TAMAZULA DE GORDIANO,34,69,70,,,,1410,2997,4344,2881,3117,275,,,3251,,18275,22,790,19087,36745,
14,JALISCO,87,TAPALPA,11,28,28,,,,89,169,2651,3460,2502,2762,,,,,11633,7,293,11933,16564,
