CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,6,AMECA,73,B,1,0,B,0,1,7,3,9,4,141,98,4,5,,,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,281,0,13,294,498,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,78,B,1,0,B,0,6,4,2,4,3,84,68,2,0,,,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,181,0,12,193,422,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,80,C,1,0,C01,0,4,13,3,9,7,102,138,5,1,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,287,0,17,304,552,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,81,B,1,0,B,0,6,13,3,10,8,86,134,13,8,,,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,293,0,9,302,560,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,81,C,1,0,C01,0,5,4,0,14,4,86,108,9,1,,,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,240,0,9,249,559,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,85,B,1,0,B,0,11,7,2,7,7,50,72,4,5,,,0,0,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,7,180,454,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,87,C,1,0,C01,0,1,3,0,1,3,285,47,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,344,0,5,349,541,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,88,E,1,0,E01,0,3,4,0,5,2,106,67,1,1,,,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,4,12,213,348,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,94,C,1,0,C01,0,20,2,3,2,186,69,75,1,0,,,1,0,0,0,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,1,0,380,0,5,385,618,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,95,C,2,0,C02,0,35,7,1,1,164,34,62,21,1,,,3,39,0,6,0,110,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,11,515,533,Acta casilla,,,
