CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,479,C,2,0,C02,0,109,19,1,4,124,5,202,1,0,0,0,465,0,9,474,723,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,479,C,3,0,C03,0,72,7,1,5,152,10,200,3,1,0,0,451,0,18,469,723,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,480,B,1,0,B,0,76,12,2,4,92,3,173,0,0,0,0,362,1,16,379,572,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,480,C,1,0,C01,0,63,12,2,2,100,15,185,0,2,0,0,381,0,21,402,571,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,480,C,2,0,C02,0,81,13,0,5,80,9,174,3,3,0,0,368,0,17,385,571,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,480,C,3,0,C03,0,86,21,2,4,91,18,179,2,2,0,0,405,0,11,416,571,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,481,B,1,0,B,0,89,12,19,8,134,10,203,1,0,1,0,477,0,22,499,748,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,481,C,1,0,C01,0,119,18,13,11,127,12,192,5,1,0,0,498,0,17,515,747,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,482,B,1,0,B,0,65,9,18,7,86,13,308,2,2,1,1,512,0,18,530,731,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,482,C,1,0,C01,0,87,12,35,9,80,6,271,1,1,0,0,502,0,26,528,731,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,482,E,1,0,E01,0,73,11,7,5,181,5,184,0,0,0,0,466,0,9,475,685,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,482,E,1,1,E01C01,0,86,16,2,16,172,3,180,1,1,0,0,477,0,11,488,685,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,483,B,1,0,B,0,81,3,17,4,207,5,75,0,0,0,0,392,0,15,407,527,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,483,C,1,0,C01,0,80,9,20,7,172,4,95,0,1,0,0,388,0,13,401,527,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,484,B,1,0,B,0,118,13,8,10,80,14,97,4,2,0,0,346,0,23,369,497,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,484,C,1,0,C01,0,116,11,6,7,107,10,85,4,5,0,0,351,0,13,364,497,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,485,B,1,0,B,0,119,41,3,4,154,11,129,1,0,0,0,462,0,19,481,718,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,485,C,1,0,C01,0,119,20,6,9,121,14,154,5,3,0,0,451,0,26,477,718,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,485,C,2,0,C02,0,115,33,3,9,135,21,172,5,1,0,0,494,1,15,510,717,Grupo de recuento,,,
