CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,223,1,1,265,24,3,9,2,30,124,3,2,0,0,462,0,15,477,721
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,224,2,2,431,35,6,21,6,43,181,0,0,0,0,723,0,36,759,1074
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,225,2,2,390,58,10,15,13,39,188,16,5,0,0,734,0,19,753,986
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,226,2,2,461,41,6,13,4,37,100,13,3,1,0,679,1,6,686,877
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,227,2,2,202,21,6,7,9,43,132,3,6,0,0,429,0,8,437,774
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,228,2,2,204,12,12,13,9,28,136,6,3,0,0,423,1,19,443,754
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,229,2,2,240,30,5,18,10,38,145,10,0,0,0,496,1,31,528,775
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,230,2,2,518,48,9,19,7,57,274,23,4,0,0,959,0,22,981,1329
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,231,2,2,534,42,11,26,13,68,258,16,7,1,0,976,1,38,1015,1461
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,232,2,2,170,22,9,16,8,38,163,1,3,0,0,430,0,19,449,766
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,233,2,2,129,18,30,18,12,37,163,4,5,0,0,416,0,20,436,883
