CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,249,2,2,197,242,51,13,11,4,518,0,16,534,804
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,250,2,2,120,347,46,7,20,10,550,2,26,578,1028
1,3,BAJA CALIFORNIA SUR,15,LA PAZ,3,LA PAZ,251,1,1,68,170,9,2,6,5,260,0,17,277,495
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,254,1,1,49,81,15,25,5,1,176,1,8,185,341
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,255,3,3,192,611,71,43,22,7,946,1,46,993,2181
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,256,4,4,417,470,465,29,28,0,1409,1,51,1461,2585
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,257,2,2,143,335,79,15,47,0,619,0,31,650,1203
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,258,1,1,68,117,5,2,3,0,195,0,15,210,415
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,259,1,1,14,36,44,3,2,0,99,0,3,102,173
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,260,1,1,12,62,6,14,1,0,95,0,7,102,205
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,261,1,1,121,199,14,56,7,0,397,1,21,419,719
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,262,1,1,42,39,0,39,4,0,124,0,11,135,220
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,263,1,1,1,33,3,27,0,0,64,0,4,68,191
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,264,1,1,32,36,5,6,0,0,79,0,11,90,198
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,265,3,3,81,134,6,37,3,0,261,0,13,274,470
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,266,2,2,74,182,24,26,3,0,309,1,23,333,564
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,267,3,3,105,396,22,24,11,6,564,0,39,603,1171
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,268,2,2,67,96,10,10,5,1,189,1,8,198,386
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,269,2,2,178,326,80,23,15,16,638,2,34,674,1400
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,270,4,4,222,711,86,74,38,11,1142,0,83,1225,2538
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,271,1,1,114,170,35,26,7,1,353,0,20,373,593
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,272,1,1,109,78,10,28,0,2,227,0,8,235,343
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,273,1,1,50,53,6,7,1,1,118,1,9,128,222
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,274,3,3,89,464,17,35,4,5,614,0,41,655,1477
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,276,1,1,99,107,11,28,1,4,250,0,13,263,501
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,277,1,1,18,101,12,106,4,4,245,0,20,265,491
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,278,3,3,160,408,30,68,10,10,686,0,18,704,1617
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,280,4,4,403,536,68,22,13,9,1051,2,58,1111,1994
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,281,3,3,230,479,73,13,12,20,827,0,45,872,1790
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,282,3,3,218,479,61,11,3,8,780,0,39,819,1583
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,283,5,5,277,802,70,38,21,9,1217,2,68,1287,3298
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,284,1,1,10,18,2,5,3,1,39,0,7,46,116
1,3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,3,LA PAZ,287,2,2,26,65,8,4,2,3,108,0,5,113,203
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,288,2,2,253,313,78,25,22,0,691,0,25,716,1241
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,289,3,3,391,579,136,37,47,0,1190,1,31,1222,2247
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,290,3,3,700,147,60,33,40,8,988,1,15,1004,1706
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,291,5,5,397,488,146,32,125,18,1206,1,33,1240,2145
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,292,1,1,180,136,41,9,31,5,402,0,8,410,680
