CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,10,DURANGO,3,DURANGO,5,DURANGO,219,5,5,215,337,19,72,83,231,603,25,5,2,0,0,1592,0,79,1671,3335
1,10,DURANGO,3,DURANGO,5,DURANGO,253,11,11,368,659,32,187,207,364,1152,55,20,0,0,0,3044,1,201,3246,8019
1,10,DURANGO,3,DURANGO,5,DURANGO,278,3,3,79,172,12,35,62,47,206,13,15,2,2,0,645,1,79,725,1627
1,10,DURANGO,3,DURANGO,5,DURANGO,295,2,2,140,197,14,29,40,107,205,13,1,0,0,0,746,0,37,783,1214
1,10,DURANGO,3,DURANGO,5,DURANGO,296,4,4,342,353,19,54,65,158,357,40,14,0,1,0,1403,2,59,1464,2317
1,10,DURANGO,3,DURANGO,5,DURANGO,297,2,2,220,195,11,40,33,106,190,18,13,1,1,0,828,1,21,850,1362
1,10,DURANGO,3,DURANGO,5,DURANGO,298,9,9,633,882,86,153,163,430,964,75,18,0,2,0,3406,4,134,3544,6239
1,10,DURANGO,3,DURANGO,5,DURANGO,354,2,2,37,100,7,19,20,13,156,7,6,0,2,0,367,0,36,403,973
1,10,DURANGO,3,DURANGO,5,DURANGO,355,2,2,43,150,7,24,57,20,181,8,11,0,0,0,501,0,44,545,1069
1,10,DURANGO,3,DURANGO,5,DURANGO,356,1,1,31,53,3,12,25,11,119,5,3,0,0,0,262,0,18,280,545
1,10,DURANGO,3,DURANGO,5,DURANGO,362,2,2,46,96,6,15,36,20,119,9,3,0,0,0,350,0,33,383,827
1,10,DURANGO,3,DURANGO,5,DURANGO,363,2,2,38,78,4,11,12,30,137,6,1,1,1,0,319,0,29,348,828
1,10,DURANGO,3,DURANGO,5,DURANGO,364,1,1,47,66,2,20,12,29,111,6,0,0,0,0,293,1,29,323,727
1,10,DURANGO,3,DURANGO,5,DURANGO,365,1,1,28,44,1,9,5,17,102,3,1,0,0,0,210,0,23,233,583
1,10,DURANGO,3,DURANGO,5,DURANGO,366,1,1,20,29,0,8,9,2,64,7,0,0,0,0,139,0,13,152,324
1,10,DURANGO,3,DURANGO,5,DURANGO,368,1,1,16,46,1,6,16,7,69,2,0,1,0,0,164,0,9,173,386
1,10,DURANGO,3,DURANGO,5,DURANGO,369,4,4,78,222,8,28,45,57,477,7,8,0,0,0,930,0,81,1011,2401
1,10,DURANGO,3,DURANGO,5,DURANGO,377,2,2,66,150,14,26,56,29,233,15,8,0,0,0,597,0,49,646,1424
1,10,DURANGO,3,DURANGO,5,DURANGO,378,2,2,53,148,7,27,71,40,193,13,2,0,0,0,554,0,53,607,1456
1,10,DURANGO,3,DURANGO,5,DURANGO,379,2,2,35,96,7,22,31,12,181,7,4,0,0,0,395,0,36,431,1207
1,10,DURANGO,3,DURANGO,5,DURANGO,380,2,2,49,85,8,28,40,17,124,13,4,0,1,0,369,0,32,401,982
1,10,DURANGO,3,DURANGO,5,DURANGO,381,3,3,46,144,8,55,96,29,305,1,7,0,0,0,691,1,67,759,1527
1,10,DURANGO,3,DURANGO,5,DURANGO,382,1,1,24,34,4,19,42,20,96,0,0,0,0,0,239,0,19,258,467
1,10,DURANGO,3,DURANGO,5,DURANGO,383,2,2,121,111,1,24,41,49,181,10,11,0,0,0,549,0,60,609,1316
1,10,DURANGO,3,DURANGO,5,DURANGO,384,2,2,82,71,2,10,80,21,92,5,1,1,0,0,365,0,24,389,758
1,10,DURANGO,3,DURANGO,5,DURANGO,385,22,22,611,1238,113,429,440,617,2060,90,38,1,0,0,5637,3,350,5990,15423
1,10,DURANGO,3,DURANGO,5,DURANGO,391,5,5,616,598,37,65,89,232,402,44,16,1,0,0,2100,2,77,2179,3502
1,10,DURANGO,3,DURANGO,5,DURANGO,392,4,4,78,224,16,46,88,68,362,19,9,0,0,0,910,0,84,994,2577
1,10,DURANGO,3,DURANGO,5,DURANGO,393,3,3,30,117,3,23,62,27,229,5,6,0,0,0,502,0,90,592,1533
1,10,DURANGO,3,DURANGO,5,DURANGO,394,1,1,17,48,0,14,8,7,36,7,4,0,0,0,141,0,12,153,465
1,10,DURANGO,3,DURANGO,5,DURANGO,395,2,2,47,125,3,25,83,29,148,13,2,1,0,0,476,2,56,534,1379
1,10,DURANGO,3,DURANGO,5,DURANGO,396,1,1,46,72,3,19,37,21,97,2,2,0,0,0,299,0,21,320,607
1,10,DURANGO,3,DURANGO,5,DURANGO,403,2,2,131,167,18,26,86,45,156,12,9,0,1,0,651,0,50,701,1451
1,10,DURANGO,3,DURANGO,5,DURANGO,404,1,1,41,42,12,8,15,8,65,5,0,0,0,0,196,0,14,210,485
1,10,DURANGO,3,DURANGO,5,DURANGO,1452,4,4,299,420,28,89,65,176,421,31,8,0,0,0,1537,0,59,1596,2743
1,10,DURANGO,3,DURANGO,5,DURANGO,1453,4,4,269,378,24,66,71,215,404,23,6,1,0,0,1457,0,61,1518,2684
1,10,DURANGO,3,DURANGO,5,DURANGO,1454,3,3,87,202,17,49,69,89,333,23,8,0,0,0,877,0,55,932,2192
1,10,DURANGO,4,DURANGO,5,DURANGO,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,4,0,1,5,5
1,10,DURANGO,4,DURANGO,5,DURANGO,299,2,2,103,163,7,30,51,79,202,11,4,0,0,0,650,1,40,691,1379
1,10,DURANGO,4,DURANGO,5,DURANGO,300,2,2,67,168,12,33,38,48,205,10,6,0,1,0,588,0,32,620,1399
1,10,DURANGO,4,DURANGO,5,DURANGO,301,9,9,544,823,44,118,158,265,973,57,32,1,3,0,3018,4,155,3177,6455
1,10,DURANGO,4,DURANGO,5,DURANGO,306,2,2,143,159,8,24,31,65,184,12,5,0,0,0,631,0,35,666,1005
1,10,DURANGO,4,DURANGO,5,DURANGO,307,2,2,114,113,6,12,34,66,147,14,7,0,0,0,513,1,32,546,868
1,10,DURANGO,4,DURANGO,5,DURANGO,308,2,2,127,168,9,10,25,79,157,6,3,0,0,0,584,0,23,607,930
1,10,DURANGO,4,DURANGO,5,DURANGO,309,2,2,189,213,15,42,49,101,214,16,5,0,0,0,844,0,33,877,1282
1,10,DURANGO,4,DURANGO,5,DURANGO,310,2,2,144,186,12,41,29,71,189,18,2,0,0,0,692,0,35,727,1081
1,10,DURANGO,4,DURANGO,5,DURANGO,311,2,2,235,195,8,36,26,104,185,16,8,0,0,0,813,0,20,833,1223
1,10,DURANGO,4,DURANGO,5,DURANGO,312,3,3,237,321,11,53,63,164,289,28,10,0,0,0,1176,2,50,1228,1819
1,10,DURANGO,4,DURANGO,5,DURANGO,313,1,1,94,87,1,13,40,47,140,5,0,0,0,0,427,1,21,449,733
1,10,DURANGO,4,DURANGO,5,DURANGO,314,2,2,91,96,4,14,37,61,142,8,5,0,0,0,458,0,27,485,816
1,10,DURANGO,4,DURANGO,5,DURANGO,315,2,2,155,202,10,28,60,84,225,22,7,1,1,0,795,0,40,835,1360
1,10,DURANGO,4,DURANGO,5,DURANGO,316,2,2,156,206,13,28,51,82,196,14,4,1,1,0,752,1,30,783,1163
1,10,DURANGO,4,DURANGO,5,DURANGO,317,1,1,79,84,3,12,33,46,102,6,1,1,0,0,367,1,15,383,579
