CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,536,4,4,217,9,2,65,53,282,577,1,0,2,5,0,59,9,13,9,1303,0,80,1383,2407
3,4,CAMPECHE,14,CANDELARIA,10,CANDELARIA,537,1,1,57,1,0,19,11,111,150,1,2,0,3,0,5,2,2,1,365,0,11,376,574
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,303,2,2,18,139,5,5,14,129,178,1,3,0,3,6,8,1,3,4,517,0,17,534,811
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,304,2,2,39,106,3,8,19,112,172,2,4,2,2,1,11,1,5,2,489,0,19,508,784
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,305,2,2,68,102,5,17,19,196,253,9,7,2,1,1,15,0,3,2,700,3,30,733,1181
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,306,3,3,87,88,3,33,17,253,400,3,22,3,3,5,22,7,3,7,956,3,31,990,1592
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,307,2,2,42,111,7,14,9,171,163,1,10,0,1,0,13,0,2,2,546,3,20,569,827
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,308,1,1,23,103,1,2,6,55,92,2,2,0,0,4,4,0,3,0,297,1,5,303,434
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,309,1,1,26,94,2,7,1,122,140,1,7,0,1,0,6,2,4,0,413,0,11,424,624
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,310,2,2,35,122,2,13,13,185,228,1,8,1,1,1,14,3,2,3,632,0,23,655,951
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,311,1,1,26,72,0,14,7,167,125,1,6,0,0,1,7,0,5,0,431,1,21,453,709
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,312,4,4,96,134,14,45,38,324,462,6,34,0,3,0,16,4,5,2,1183,6,58,1247,2267
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,313,3,4,72,152,8,35,35,422,530,4,22,1,7,2,25,2,9,5,1331,1,58,1390,1435
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,314,2,2,40,89,3,21,13,189,242,3,8,2,1,1,9,2,3,0,626,0,29,655,1093
