CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,2,2,42,53,9,28,9,26,165,124,0,0,3,2,14,1,0,0,10,6,1,3,1,1,2,0,3,0,1,504,1,13,518,829
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,1,1,9,41,4,8,4,31,62,19,0,0,1,2,2,0,0,0,3,3,0,0,3,0,2,0,1,0,0,195,0,6,201,332
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,1,1,4,8,2,1,2,22,16,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,66,0,3,69,101
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,1,1,30,41,15,28,16,55,126,73,0,0,16,5,2,2,1,0,1,2,1,0,0,0,2,0,2,0,0,418,0,25,443,706
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,1,1,16,10,1,12,11,35,55,20,0,0,8,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,176,0,5,181,278
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,2,2,40,45,8,30,13,254,161,89,0,0,1,8,4,2,0,0,6,9,0,1,0,5,3,1,3,0,2,685,0,14,699,998
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,2,2,9,13,3,16,18,240,135,46,0,0,8,5,5,0,0,0,5,4,0,0,2,0,3,0,6,0,0,518,0,15,533,815
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,2,2,20,59,14,34,7,39,157,115,0,0,4,6,7,3,0,0,8,2,0,0,0,3,3,0,1,0,1,483,0,11,494,767
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,1,1,7,50,7,19,8,19,62,48,0,0,4,1,2,0,0,0,3,2,0,1,0,0,1,0,0,0,0,234,0,6,240,361
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,1,1,18,46,7,29,12,35,175,77,0,0,2,2,1,2,1,0,1,9,0,0,1,2,0,0,1,0,0,421,0,11,432,697
