CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,B,1,0,B,0,10,37,13,8,65,18,51,125,0,0,15,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,350,0,9,359,634,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,B,1,0,B,0,3,30,4,8,22,36,46,76,0,0,3,2,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,239,0,0,239,351,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,B,1,0,B,0,1,8,2,2,9,12,12,33,0,0,0,0,3,0,0,0,1,3,0,0,0,0,1,0,0,0,0,87,0,3,90,140,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,B,1,0,B,0,3,19,1,24,7,4,31,19,0,0,2,4,0,0,0,0,1,4,1,0,0,2,2,0,1,0,1,126,0,8,134,253,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,B,1,0,B,0,2,14,0,9,5,16,47,113,0,0,1,3,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,217,0,4,221,301,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,B,1,0,B,0,2,101,2,28,7,10,50,32,0,0,0,0,3,0,0,0,2,2,0,1,0,1,0,0,4,0,1,246,1,4,251,346,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,B,1,0,B,0,15,19,6,10,4,19,83,64,0,0,0,1,6,1,0,0,5,2,1,1,0,0,0,0,0,0,0,237,0,4,241,415,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,C,1,0,C01,0,27,34,3,18,5,7,82,60,0,0,3,1,8,0,0,0,5,4,0,2,1,1,2,0,3,0,1,267,1,9,277,414,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,B,1,0,B,0,9,41,4,8,4,31,62,19,0,0,1,2,2,0,0,0,3,3,0,0,3,0,2,0,1,0,0,195,0,6,201,332,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,B,1,0,B,0,4,8,2,1,2,22,16,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,66,0,3,69,101,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,B,1,0,B,0,30,41,15,28,16,55,126,73,0,0,16,5,2,2,1,0,1,2,1,0,0,0,2,0,2,0,0,418,0,25,443,706,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,B,1,0,B,0,16,10,1,12,11,35,55,20,0,0,8,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,176,0,5,181,278,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,B,1,0,B,0,17,26,4,16,8,117,91,34,0,0,1,1,1,1,0,0,2,9,0,0,0,3,2,1,1,0,2,337,0,7,344,499,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,C,1,0,C01,0,23,19,4,14,5,137,70,55,0,0,0,7,3,1,0,0,4,0,0,1,0,2,1,0,2,0,0,348,0,7,355,499,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,B,1,0,B,0,2,4,2,12,9,120,58,26,0,0,4,1,5,0,0,0,2,0,0,0,1,0,1,0,2,0,0,249,0,6,255,408,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,C,1,0,C01,0,7,9,1,4,9,120,77,20,0,0,4,4,0,0,0,0,3,4,0,0,1,0,2,0,4,0,0,269,0,9,278,407,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,B,1,0,B,0,12,31,7,16,4,20,90,48,0,0,1,3,4,2,0,0,1,1,0,0,0,1,1,0,0,0,0,242,0,6,248,384,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,C,1,0,C01,0,8,28,7,18,3,19,67,67,0,0,3,3,3,1,0,0,7,1,0,0,0,2,2,0,1,0,1,241,0,5,246,383,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,B,1,0,B,0,7,50,7,19,8,19,62,48,0,0,4,1,2,0,0,0,3,2,0,1,0,0,1,0,0,0,0,234,0,6,240,361,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,B,1,0,B,0,18,46,7,29,12,35,175,77,0,0,2,2,1,2,1,0,1,9,0,0,1,2,0,0,1,0,0,421,0,11,432,697,Grupo de recuento,,,
