ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,131,423,425,2780,18668,15888,13060,6536,22259,82595,2382,164168,185,4554,168907,268003,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO11_RP.pdf
15,MEXICO,12,TEOLOYUCAN,127,460,462,27307,12815,3203,20139,20139,28213,60419,4422,176657,572,7369,184598,297241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO12_RP.pdf
15,MEXICO,13,ATLACOMULCO DE FABELA ,169,500,504,11159,54999,2632,19207,19207,16601,57625,2519,183949,377,7732,192058,297376,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO13_RP.pdf
15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ ,184,516,520,21098,51839,2580,21420,21420,12875,64263,2327,197822,275,7542,205639,289241,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO14_RP.pdf
15,MEXICO,15,IXTLAHUACA DE RAYON ,131,457,460,5310,59062,2406,19429,19429,19630,58291,2206,185763,342,7576,193681,283384,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO15_RP.pdf
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,129,474,477,75865,19109,3637,9526,5792,13297,68026,2271,197523,226,4732,202481,304150,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO16_RP.pdf
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,135,460,463,78382,15576,3714,10201,5420,14167,65530,1613,194603,150,4480,199233,291779,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO17_RP.pdf
15,MEXICO,18,TLALNEPANTLA DE BAZ,259,603,607,73269,42061,4593,9902,6551,17583,91166,2464,247589,266,4986,252841,351058,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO18_RP.pdf
15,MEXICO,19,SANTA MARIA TULTEPEC,106,472,475,3808,25571,21763,13544,8188,21264,102162,3264,199564,364,5117,205045,313565,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO19_RP.pdf
15,MEXICO,20,ZUMPANGO DE OCAMPO,96,408,411,3210,21554,18344,16979,16979,25097,50941,2751,155855,124,5475,161454,270634,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO20_RP.pdf
15,MEXICO,21,ECATEPEC DE MORELOS,136,451,453,12014,24218,2706,13513,11843,16266,78455,2067,161082,209,5924,167215,283142,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO21_RP.pdf
15,MEXICO,22,OJO DE AGUA,169,430,433,19062,30316,2721,8135,7060,20430,82888,2643,173255,169,4403,177827,265009,https://www.ieem.org.mx/proceso2024/2024_Actas Computo Distrital/RP/ACTA_DTO22_RP.pdf
