CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,292,B,1,0,B,0,45,33,13,46,7,1,38,90,17,29,17,3,0,1,0,6,1,0,0,347,0,6,353,564,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,292,C,1,0,C01,0,40,25,7,48,7,4,39,113,13,28,16,5,1,0,3,0,4,4,0,357,5,12,374,564,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,293,B,1,0,B,0,33,18,13,56,16,5,39,77,3,27,17,4,0,0,0,6,1,2,3,320,1,11,332,560,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,293,C,1,0,C01,0,40,22,10,53,11,2,34,82,7,34,16,5,1,0,0,6,1,0,2,326,0,13,339,560,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,294,B,1,0,B,0,50,39,10,56,8,2,41,56,19,34,21,4,1,1,0,10,1,3,2,358,1,11,370,609,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,294,C,1,0,C01,0,52,32,11,66,7,2,47,97,18,44,19,11,2,0,0,7,0,2,2,419,0,11,430,609,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,295,B,1,0,B,0,27,12,9,66,14,8,17,83,20,9,14,4,0,0,0,10,0,6,2,301,0,10,311,545,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,295,C,1,0,C01,0,31,17,1,62,17,9,22,79,22,4,11,4,0,0,0,7,1,2,1,290,0,10,300,545,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,295,SMR,1,0,SMR01,0,32,9,5,51,8,2,40,60,9,13,10,1,0,0,0,0,0,0,0,240,1,14,255,0,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,295,SRP,1,0,SRP01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,296,B,1,0,B,0,75,24,33,65,21,3,39,109,24,22,15,7,0,1,0,6,1,1,1,447,0,27,474,737,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,297,B,1,0,B,0,27,21,14,1,12,8,62,101,11,20,21,3,2,0,0,5,0,5,3,316,0,13,329,673,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,297,C,1,0,C01,0,40,12,13,69,7,6,67,108,12,25,11,5,1,0,0,6,0,1,0,383,0,14,397,673,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,297,C,2,0,C02,0,47,18,17,71,6,9,61,101,18,26,11,4,1,0,0,6,0,3,0,399,1,16,416,673,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,298,B,1,0,B,0,23,16,18,92,10,7,48,125,12,5,7,0,0,0,0,0,0,0,0,363,0,10,373,657,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,298,C,1,0,C01,0,29,20,9,70,11,7,52,86,9,14,7,4,2,0,0,3,1,4,3,331,0,0,331,657,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,298,C,2,0,C02,0,86,15,14,85,6,11,46,86,11,8,11,5,0,0,0,8,0,0,0,392,0,18,410,657,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,299,B,1,0,B,0,45,19,10,79,14,11,65,100,11,9,7,3,1,1,0,6,3,5,0,389,0,21,410,661,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,299,C,1,0,C01,0,36,11,15,84,7,5,65,112,13,15,10,10,1,0,0,7,3,11,2,407,0,9,416,661,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,300,B,1,0,B,0,46,25,15,64,9,6,70,117,13,32,12,7,2,0,0,6,0,3,1,428,2,9,439,726,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,300,C,1,0,C01,0,31,23,13,82,9,8,55,111,12,29,22,6,0,1,0,8,1,1,1,413,0,15,428,726,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,300,C,2,0,C02,0,33,20,17,69,12,3,63,125,14,30,13,7,1,1,0,14,2,7,0,431,1,20,452,726,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,300,C,3,0,C03,0,27,17,15,74,6,10,63,125,17,38,15,2,2,0,0,8,0,2,1,422,0,20,442,726,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,300,C,4,0,C04,0,29,20,10,64,12,3,61,111,24,31,23,4,0,1,1,10,2,4,0,410,1,10,421,725,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,301,B,1,0,B,0,67,31,7,43,9,5,49,85,15,27,11,7,2,0,0,3,2,2,1,366,0,8,374,526,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,301,C,1,0,C01,0,58,28,4,30,6,5,48,76,16,31,12,8,7,0,0,5,0,2,0,336,0,10,346,526,GRUPO DE RECUENTO,,,
