CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1040,3,3,595,143,20,82,11,21,61,119,39,8,17,48,6,2,0,15,1,1,2,1191,2,56,1249,1639
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1041,2,2,382,124,15,86,7,17,35,142,27,8,13,32,7,0,0,12,1,2,1,911,1,29,941,1116
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1042,3,3,528,166,22,111,22,25,91,194,53,6,31,47,5,1,1,18,3,5,5,1334,2,24,1360,1818
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1043,2,2,177,68,14,142,10,5,41,110,28,10,16,20,3,2,0,18,2,4,1,671,1,12,684,1087
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1044,2,2,88,28,8,193,11,11,35,110,30,4,21,12,3,3,0,18,0,11,6,592,0,29,621,1112
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1045,4,4,239,125,28,378,32,19,149,359,53,12,27,40,3,2,0,23,12,11,3,1515,0,79,1594,2624
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1046,2,2,89,51,7,178,13,4,31,173,21,8,11,13,0,0,0,17,7,10,4,637,0,33,670,1208
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1047,2,2,171,76,8,123,10,9,56,91,15,6,5,17,4,1,0,12,0,10,4,618,1,24,643,994
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1048,3,3,201,74,13,214,19,19,61,182,59,9,38,37,3,3,0,19,4,18,1,974,4,43,1021,1722
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1049,3,3,138,59,17,250,17,13,39,159,41,9,32,15,6,0,0,14,5,15,1,830,2,40,872,1546
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1050,3,3,177,72,27,250,32,12,71,254,54,10,42,18,6,1,0,18,5,15,3,1067,3,44,1114,1877
