CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,491,2,2,202,18,7,123,6,8,10,20,74,0,2,14,5,1,0,14,0,6,1,0,0,0,0,511,1,16,528,850
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,492,1,1,113,7,7,34,0,3,1,0,7,0,0,10,0,0,0,3,1,1,0,0,0,0,0,187,0,3,190,268
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,493,2,2,412,23,13,150,9,12,19,21,118,0,1,32,9,5,0,20,1,2,2,0,0,0,0,849,4,28,881,1434
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,494,2,2,358,42,6,111,7,10,20,29,106,0,3,22,7,0,0,9,2,2,0,0,0,0,0,734,0,20,754,1189
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,495,2,2,339,29,20,92,3,11,13,25,49,0,4,39,4,0,0,4,3,6,1,0,0,0,0,642,0,16,658,1023
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,496,5,5,713,66,27,291,12,20,55,70,323,0,11,73,17,1,1,23,7,9,1,0,0,0,0,1720,1,47,1768,3103
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,497,3,3,274,17,15,159,6,13,17,32,78,0,4,27,10,3,0,24,3,5,2,0,0,0,0,689,0,13,702,1564
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,498,2,2,262,36,16,107,5,9,26,49,96,0,4,21,4,2,0,10,3,1,0,0,0,0,0,651,0,24,675,1379
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,499,1,1,174,14,14,67,2,4,8,16,40,0,3,19,8,0,0,5,6,5,0,0,0,0,0,385,0,11,396,687
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,500,4,4,383,30,12,194,10,10,39,54,302,0,5,34,14,3,6,19,3,4,0,0,0,0,0,1122,0,27,1149,2314
