CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,130,B,1,0,B,0,0,1,0,95,0,2,19,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,6,174,246,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,131,B,1,0,B,0,0,6,0,216,0,2,74,115,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,16,436,675,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,131,C,1,0,C01,0,0,1,0,199,0,2,107,129,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,13,456,675,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,132,B,1,0,B,0,0,0,0,72,0,0,16,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,9,133,177,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,133,B,1,0,B,0,0,4,0,109,0,2,41,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,9,234,334,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,134,B,1,0,B,0,0,4,0,154,0,1,51,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,4,293,387,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,135,B,1,0,B,0,0,2,0,292,0,4,92,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,14,583,733,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,384,B,1,0,B,0,60,28,2,97,7,0,28,12,26,0,150,9,4,0,1,6,3,3,0,0,0,0,0,436,0,12,448,711,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,385,B,1,0,B,0,28,23,1,51,1,0,13,6,12,0,112,5,0,0,0,3,0,2,0,0,0,0,0,257,0,11,268,471,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,386,B,1,0,B,0,48,19,3,100,2,0,13,13,19,0,131,12,3,1,1,7,0,8,0,0,0,0,0,380,1,18,399,668,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,386,C,1,0,C01,0,33,19,2,76,3,0,14,20,22,0,152,9,5,0,0,4,2,5,0,0,0,0,0,366,1,9,376,667,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,387,B,1,0,B,0,49,23,0,95,2,0,18,9,10,0,134,6,4,2,0,10,2,7,1,0,0,0,0,372,0,21,393,687,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,387,C,1,0,C01,0,24,17,1,105,4,0,12,20,11,0,149,11,2,1,0,6,1,3,0,0,0,0,0,367,1,18,386,686,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,388,B,1,0,B,0,16,10,0,70,1,0,7,11,16,0,100,3,1,1,1,4,2,4,1,0,0,0,0,248,0,11,259,441,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,388,C,1,0,C01,0,8,5,1,63,2,0,7,16,14,0,95,0,2,0,0,5,2,0,0,0,0,0,0,220,0,10,230,440,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,389,B,1,0,B,0,10,7,2,89,2,0,16,9,27,0,112,5,0,1,0,6,0,0,0,0,0,0,0,286,0,9,295,512,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,389,C,1,0,C01,0,16,8,1,76,6,0,14,18,15,0,135,4,2,2,0,6,0,4,1,0,0,0,0,308,0,11,319,512,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,390,B,1,0,B,0,35,21,5,141,3,0,23,28,21,0,144,1,0,0,0,8,1,0,1,0,0,0,0,432,0,23,455,739,GRUPO DE RECUENTO,,,
