CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1992,C,1,0,C01,0,106,8,1,4,11,4,175,0,8,2,0,1,0,320,0,3,323,623,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1992,C,2,0,C02,0,127,6,1,6,7,5,164,0,4,4,0,0,4,328,0,3,331,623,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1992,C,3,0,C03,0,100,5,0,5,7,7,157,0,4,3,1,0,0,289,0,6,295,623,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1993,B,1,0,B,0,126,6,0,2,6,8,154,0,4,3,0,0,2,311,0,5,316,590,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1993,C,1,0,C01,0,121,6,0,4,2,11,149,0,6,4,0,2,0,305,0,11,316,589,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1993,C,2,0,C02,0,116,7,1,8,7,5,144,0,5,2,0,1,1,297,0,9,306,589,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1993,C,3,0,C03,0,137,11,0,0,1,6,147,0,3,2,0,0,1,308,0,6,314,589,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1994,B,1,0,B,0,122,7,2,5,6,6,201,0,13,6,0,2,4,374,0,4,378,664,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1994,C,1,0,C01,0,106,10,2,2,5,8,189,0,5,1,1,2,2,333,0,5,338,663,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1995,B,1,0,B,0,115,6,0,4,10,6,193,0,7,2,1,0,2,346,0,7,353,619,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1995,C,1,0,C01,0,106,10,2,2,5,8,189,0,5,1,1,2,2,333,0,5,338,619,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1995,C,2,0,C02,0,88,7,0,4,5,9,214,0,5,4,0,3,4,343,0,4,347,618,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1996,B,1,0,B,0,140,11,1,3,10,5,227,0,13,6,0,3,4,423,0,15,438,731,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1996,C,1,0,C01,0,133,10,0,2,2,9,201,0,9,4,2,0,0,372,0,13,385,730,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2144,B,1,0,B,0,133,14,0,4,6,7,134,0,5,8,0,1,0,312,0,3,315,596,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2144,C,1,0,C01,0,124,14,1,8,6,151,11,0,7,0,1,2,0,325,0,7,332,596,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2144,C,2,0,C02,0,129,13,0,10,8,15,140,0,9,1,0,2,0,327,0,14,341,596,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2144,C,3,0,C03,0,132,18,0,6,11,19,143,0,9,5,1,0,3,347,0,12,359,595,COTEJO,,,
