CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1822,2,2,129,18,1,5,13,16,272,0,7,11,0,1,2,475,0,8,483,806
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1823,2,2,204,15,1,5,13,20,336,0,6,6,0,1,3,610,0,12,622,990
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1824,2,2,131,8,0,3,15,23,346,0,9,10,1,0,2,548,0,14,562,927
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1825,1,1,91,5,0,2,3,6,156,0,4,7,0,1,2,277,0,10,287,500
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1826,1,1,103,5,2,7,6,11,134,0,11,3,0,1,2,285,0,7,292,488
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1827,1,1,122,15,2,8,4,13,164,0,3,3,1,1,3,339,0,8,347,598
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1828,1,1,124,11,1,4,5,6,118,0,6,11,1,1,2,290,0,13,303,504
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1829,1,1,57,9,0,4,1,9,89,0,5,0,0,1,0,175,0,4,179,331
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1830,1,1,82,4,1,5,5,9,124,0,9,5,1,1,2,248,0,11,259,398
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1831,1,1,100,3,1,3,9,7,146,0,7,3,0,2,1,282,0,5,287,496
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1832,1,1,137,9,0,5,10,7,132,0,14,3,2,1,2,322,0,7,329,540
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1833,1,1,163,7,0,3,8,8,176,0,9,14,0,0,0,388,0,11,399,629
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1834,1,1,113,4,0,5,2,7,132,0,11,14,0,0,0,288,0,11,299,502
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1835,1,1,0,0,0,0,0,17,247,0,128,0,0,0,0,392,0,4,396,685
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1836,1,1,95,4,0,6,1,13,214,0,5,6,0,0,0,344,0,7,351,619
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1838,2,2,168,11,2,10,7,22,352,0,3,5,1,1,1,583,0,7,590,980
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1839,1,1,94,9,0,2,8,13,211,0,0,4,0,0,3,344,0,9,353,548
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1840,2,2,177,17,1,6,9,20,345,0,8,12,2,2,9,608,0,16,624,1060
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1841,1,1,92,8,2,5,12,6,212,0,7,2,0,0,3,349,0,10,359,590
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1842,1,1,128,8,1,6,10,16,194,0,3,8,0,0,4,378,0,9,387,597
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1844,2,2,175,19,0,6,10,24,299,0,9,5,0,0,6,553,0,11,564,942
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1845,2,2,123,10,1,7,10,17,308,0,10,11,0,4,3,504,0,9,513,805
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1980,2,2,260,19,3,14,16,25,474,0,11,7,3,0,7,839,0,26,865,1472
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1981,3,3,276,25,2,16,18,35,619,0,22,25,1,0,4,1043,0,21,1064,2068
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1982,3,3,281,23,5,12,22,19,478,0,15,17,3,2,3,880,0,19,899,1543
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1983,2,2,218,28,4,19,16,40,465,0,13,14,3,5,2,827,2,17,846,1356
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1984,3,3,250,15,5,10,23,21,479,0,14,8,3,4,4,836,0,24,860,1584
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1985,2,2,237,17,2,11,20,23,345,0,15,8,0,1,3,682,0,14,696,1195
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1986,2,2,170,19,1,12,13,15,324,0,14,17,2,3,3,593,0,14,607,1075
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1987,2,2,208,20,4,10,14,35,441,0,10,6,0,1,3,752,0,14,766,1289
