ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,36,TOTOLAC,12,31,31,1209,783,506,1108,,2024,1289,,,,,66,5355,14,12340,890,13244,18457,
29,TLAXCALA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,7,13,13,176,194,24,586,482,572,25,1032,38,27,66,2,,0,3224,281,3505,7136,
29,TLAXCALA,38,TZOMPANTEPEC,8,21,21,452,446,417,1666,,770,943,,,,,23,3282,0,7999,608,8607,13038,
29,TLAXCALA,39,XALOZTOC,9,30,30,1356,666,310,1588,,3472,681,,,,,14,4529,3,12616,977,13596,18969,
29,TLAXCALA,40,XALTOCAN,9,17,17,601,508,329,621,,390,445,,,,,27,3018,3,5939,519,6461,9072,
29,TLAXCALA,41,PAPALOTLA DE XICOHTENCATL,12,40,40,332,986,2536,2278,2150,1315,333,4669,165,259,1659,25,,3,16707,953,17663,24791,
29,TLAXCALA,42,XICOHTZINCO,5,18,18,425,518,484,1483,575,623,207,3129,375,78,208,29,,4,8134,476,8614,11964,
29,TLAXCALA,43,YAUHQUEMEHCAN,14,45,46,2329,1631,589,1227,,2065,1646,,,,,131,7294,11,16912,1049,17972,28219,
29,TLAXCALA,44,ZACATELCO,14,58,58,1612,2898,446,2782,,1939,3487,,,,,201,12405,10,25770,1597,27377,36982,
29,TLAXCALA,45,SANTA APOLONIA TEACALCO,2,6,6,67,195,143,1171,,131,130,,,,,7,1261,5,3105,202,3312,3958,
29,TLAXCALA,46,SANTA CRUZ QUILEHTLA,3,9,9,49,64,574,719,201,94,69,1408,416,11,481,5,,1,4091,248,4340,5712,
29,TLAXCALA,47,SAN JUAN HUACTZINCO,2,9,9,116,79,93,1608,,429,104,,,,,8,2109,3,4546,231,4780,5894,
29,TLAXCALA,48,SANTA CATARINA AYOMETLA,4,11,11,116,121,718,541,392,417,716,1904,345,26,599,3,,0,5898,328,6226,7699,
29,TLAXCALA,49,SANTA ISABEL XILOXOXTLA,2,6,6,76,227,223,957,,221,113,,,,,9,1128,1,2954,167,3122,3721,
29,TLAXCALA,50,SAN JOSE TEACALCO,5,8,8,207,470,111,773,,167,168,,,,,34,1457,0,3387,155,3542,4769,
29,TLAXCALA,51,SAN FRANCISCO TETLANOHCAN,3,13,13,220,293,136,2255,,449,221,,,,,8,2832,3,6414,318,6735,9009,
29,TLAXCALA,52,LA MAGDALENA TLALTELULCO,5,22,22,2055,551,1682,715,,1256,1728,,,,,16,3202,4,11205,607,11816,15171,
29,TLAXCALA,53,SAN DAMIAN TEXOLOC,2,8,8,70,107,28,1302,,95,250,,,,,3,1675,0,3530,117,3647,4901,
29,TLAXCALA,54,EMILIANO ZAPATA,4,8,8,69,357,13,442,,800,87,,,,,12,1110,1,2890,137,3028,3624,
29,TLAXCALA,55,LAZARO CARDENAS,2,5,5,56,40,39,699,,385,101,,,,,2,633,1,1955,81,2037,2589,
29,TLAXCALA,56,SAN JERONIMO ZACUALPAN,2,5,5,28,47,39,1133,,157,79,,,,,0,1181,2,2664,95,2761,3276,
29,TLAXCALA,57,SAN LUCAS TECOPILCO,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2619,
29,TLAXCALA,58,SANTA ANA NOPALUCAN,2,10,10,190,441,244,970,,265,505,,,,,11,1781,1,4407,251,4659,6337,
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,2,6,6,125,386,38,650,,344,225,,,,,9,1601,6,3378,181,3565,4269,
29,TLAXCALA,60,BENITO JUAREZ,3,9,9,89,266,464,502,,252,489,,,,,12,1389,2,3463,136,3601,5429,
