CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,592,C,3,0,C03,24,49,5,45,0,35,73,0,0,0,0,2,200,0,433,30,463,0,671,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,592,C,4,0,C04,40,67,6,52,0,37,64,0,0,0,0,5,188,1,459,28,488,0,671,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,592,C,5,0,C05,0,0,6,43,0,29,66,0,0,0,0,87,252,0,483,20,503,0,671,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,593,B,1,0,B,35,56,8,35,0,30,87,0,0,0,0,0,191,0,442,26,468,0,622,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,593,C,1,0,C01,26,42,2,35,0,23,60,0,0,0,0,2,195,0,385,23,408,0,622,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,593,C,2,0,C02,40,53,4,6,0,24,68,0,0,0,0,2,200,0,397,67,464,0,622,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,593,C,3,0,C03,35,61,9,36,0,30,75,0,0,0,0,3,181,0,430,27,457,0,621,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,594,B,1,0,B,34,41,7,47,0,40,71,0,0,0,0,0,194,0,434,29,463,0,631,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,594,C,1,0,C01,28,56,11,53,0,29,54,0,0,0,0,0,193,0,424,27,451,0,631,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,594,C,2,0,C02,37,36,0,51,0,27,55,0,0,0,0,1,199,0,406,27,433,0,630,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,594,C,3,0,C03,34,45,11,41,0,33,71,0,0,0,0,0,217,0,452,33,485,0,630,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,595,B,1,0,B,22,42,20,47,0,30,49,0,0,0,0,0,209,0,419,34,453,0,597,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,595,C,1,0,C01,19,43,9,55,0,33,67,0,0,0,0,0,189,0,415,31,446,0,596,GRUPO DE RECUENTO,,,
