ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,25,25,126,779,22,2923,1177,72,283,398,72,4,13,46,17,0,3,40,26,16,71,6088,0,260,6348,9920,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,111,383,385,15077,6478,1554,55574,1821,2285,9935,27379,3708,2504,1976,1587,298,89,28,2036,390,1425,206,134350,179,5725,140254,247178,
24,SAN LUIS POTOSI,36,TAMASOPO,17,41,41,1194,1861,729,2797,346,352,1186,4084,410,141,79,148,27,13,10,44,18,45,16,13500,7,1202,14709,22830,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,133,134,1159,1463,172,14583,469,221,978,6702,3698,365,673,102,44,9,8,226,107,274,62,31315,9,2243,33567,74011,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,24,185,121,58,3161,103,59,308,1546,2414,105,72,8,2,0,1,24,25,16,6,8214,3,802,9019,12327,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,21,110,158,43,2701,110,61,817,1663,1572,62,149,16,4,3,0,43,20,38,15,7585,0,438,8023,10663,
24,SAN LUIS POTOSI,40,TAMUIN,35,57,58,1295,2480,502,1549,339,54,627,4219,390,1271,690,219,60,15,9,224,58,97,36,14134,7,957,15098,27290,
24,SAN LUIS POTOSI,41,TANLAJAS,16,28,28,742,507,301,1733,290,47,816,3591,592,286,479,50,9,4,2,72,30,40,24,9615,1,769,10385,14120,
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,10,18,18,339,708,31,761,80,14,1272,2292,499,177,76,29,12,3,1,25,9,22,11,6361,2,335,6698,10434,
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,17,17,656,988,688,1097,34,33,142,281,84,25,16,258,48,22,13,40,20,12,9,4466,7,389,4862,7983,
24,SAN LUIS POTOSI,44,VANEGAS,14,16,16,93,128,22,874,61,32,322,1440,553,20,32,6,6,0,1,20,3,22,15,3650,1,349,4000,5644,
