CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1384,1,1,82,42,0,4,5,76,53,1,6,6,2,0,0,0,0,0,0,0,277,0,11,288,640
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1385,1,1,17,2,1,0,1,11,16,2,0,1,2,0,0,0,0,0,0,0,53,0,11,64,122
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,35,JANOS,1386,1,1,39,7,0,2,2,35,26,0,2,2,2,0,0,0,0,0,0,0,117,0,10,127,200
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2396,2,2,176,48,19,49,33,327,166,9,3,6,2,1,0,5,0,0,0,0,844,0,20,864,1445
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2397,2,2,165,54,15,22,20,185,60,1,4,10,4,0,0,1,0,0,0,0,541,1,12,554,902
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2398,7,7,457,135,45,160,101,692,479,40,31,38,8,2,0,14,0,0,0,0,2202,0,53,2255,4346
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2399,1,1,55,33,1,15,18,110,65,8,2,3,2,0,0,3,0,0,0,0,315,0,14,329,626
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2400,1,1,60,22,5,18,14,85,55,7,2,1,1,0,0,3,0,0,0,0,273,0,10,283,595
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2401,2,2,63,41,3,28,21,150,107,5,2,4,0,0,0,5,0,0,0,0,429,0,17,446,795
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2402,1,1,51,28,0,6,13,66,41,7,2,2,2,0,0,0,0,0,0,0,218,1,13,232,430
