CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,634,2,2,11,7,4,138,9,15,168,78,0,0,17,0,7,6,460,0,14,474,987
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,635,2,2,10,6,6,180,10,14,164,4,0,0,11,1,10,0,416,0,15,431,782
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,847,2,2,10,11,3,122,9,31,231,3,0,0,18,0,12,1,451,0,9,460,1044
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,848,2,2,14,11,1,203,14,25,268,4,0,0,4,1,4,1,550,0,4,554,1147
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1022,4,4,34,23,8,109,31,63,565,10,0,3,38,1,13,4,902,0,22,924,2365
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1043,3,3,27,8,4,192,15,28,397,13,0,0,23,1,2,4,714,1,18,733,1595
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1044,2,2,10,8,3,87,15,38,290,6,0,0,24,4,0,3,488,1,15,504,1156
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1045,2,2,11,16,3,98,4,26,149,1,0,4,20,0,2,2,336,2,8,346,1066
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1046,1,1,6,5,2,54,2,14,142,1,0,1,4,0,1,3,235,1,8,244,601
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1047,4,4,62,32,14,256,33,79,631,13,0,2,18,2,5,2,1149,1,29,1179,2608
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1048,2,2,17,9,3,149,12,18,235,3,0,1,21,0,3,3,474,1,10,485,1292
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1049,2,2,20,12,7,126,11,42,289,5,0,4,17,1,5,4,543,0,23,566,1403
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1050,2,2,22,8,3,149,8,23,260,8,0,3,10,0,2,0,496,0,18,514,1188
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1051,1,1,15,7,0,91,7,24,145,5,0,0,8,0,1,1,304,3,8,315,647
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1052,2,2,17,8,3,178,8,23,242,7,0,3,11,0,5,2,507,3,9,519,1081
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1053,2,2,11,2,2,114,4,19,237,4,0,0,8,0,3,2,406,1,6,413,852
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1054,4,4,49,18,8,278,13,76,581,14,0,2,41,0,5,7,1092,2,25,1119,2273
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1057,6,6,119,51,10,129,32,111,625,11,0,3,46,1,3,3,1144,3,49,1196,3136
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1058,3,3,23,16,6,201,14,53,424,11,0,0,27,0,9,7,791,3,36,830,1729
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1059,5,5,30,15,8,436,35,88,702,10,0,1,39,1,6,7,1378,0,49,1427,3033
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1065,2,2,4,4,6,238,9,11,207,1,0,0,8,0,2,1,491,0,7,498,1108
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1066,4,4,20,17,9,338,20,44,555,7,0,2,37,2,9,5,1065,4,40,1109,2683
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1067,1,1,7,6,3,78,4,19,153,2,0,1,10,0,3,3,289,1,3,293,647
3,23,QUINTANA ROO,3,CANCUN,1,BENITO JUAREZ,1068,2,2,6,6,5,103,10,23,249,3,0,2,12,0,10,2,431,0,13,444,1378
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,4,3,3,67,24,8,252,25,92,576,17,0,5,49,0,4,3,1122,3,32,1157,2147
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,6,6,161,48,32,519,46,148,921,38,0,6,44,2,18,7,1990,10,64,2064,4068
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,6,2,2,21,11,6,203,5,19,188,3,0,2,8,2,5,1,474,0,12,486,979
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,7,3,3,61,21,16,170,21,77,403,14,0,2,35,2,11,3,836,2,25,863,1604
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,8,2,2,20,16,3,116,5,24,217,5,0,0,16,1,5,0,428,1,18,447,925
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,9,1,1,19,18,5,92,4,27,190,6,0,2,11,2,2,2,380,1,17,398,736
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,10,1,1,10,8,4,107,7,28,184,5,0,0,16,1,1,0,371,0,20,391,735
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,26,1,1,20,16,0,80,8,36,208,7,0,1,15,7,1,0,399,1,21,421,716
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,27,2,2,30,15,4,115,11,45,274,8,0,3,27,1,5,1,539,0,18,557,1001
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,28,2,2,12,14,12,166,17,27,361,6,0,1,17,0,6,6,645,0,14,659,1138
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,29,2,2,24,10,3,110,13,41,267,9,0,0,15,2,9,3,506,2,17,525,934
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,30,1,1,20,13,5,96,13,28,167,1,0,1,13,5,0,0,362,0,7,369,675
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,31,2,2,16,9,2,149,7,28,233,8,0,1,2,2,3,5,465,0,18,483,756
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,32,2,2,10,8,5,100,10,30,271,6,0,0,4,1,9,4,458,0,29,487,965
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,33,1,1,2,6,2,99,7,9,147,3,0,1,1,1,2,2,282,1,9,292,587
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,34,2,2,12,10,5,153,7,29,262,6,0,1,8,0,7,5,505,0,8,513,874
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,35,2,2,19,15,3,127,14,34,215,4,0,3,19,1,11,1,466,0,11,477,886
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,36,2,2,19,7,7,99,17,35,321,9,0,1,23,1,7,3,549,1,19,569,1043
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,41,1,1,10,8,3,62,10,22,157,1,0,2,10,1,5,1,292,0,8,300,586
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,42,1,1,19,4,2,65,8,29,236,3,0,0,14,0,3,5,388,0,11,399,692
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,451,3,3,13,10,8,184,16,39,376,22,0,1,17,2,0,0,688,0,49,737,1559
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,452,2,2,16,5,2,165,12,35,321,7,0,0,20,0,9,4,596,2,35,633,1293
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,453,2,2,20,9,3,78,10,22,295,5,0,0,15,1,6,6,470,1,18,489,1027
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,454,2,2,18,13,3,149,12,41,348,10,0,2,23,1,11,3,634,0,20,654,1155
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,455,2,2,8,8,4,110,17,35,259,10,0,0,6,0,2,0,459,2,4,465,856
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,456,1,1,6,18,2,85,5,31,161,0,0,9,9,0,3,1,330,0,15,345,626
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,457,2,2,10,6,2,129,10,52,301,10,0,1,14,0,4,2,541,0,14,555,955
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,458,2,2,11,6,6,152,7,40,319,10,0,0,13,3,8,3,578,3,21,602,1068
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,459,1,1,9,4,3,62,12,25,212,6,0,2,11,1,9,1,357,2,6,365,746
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,460,2,2,17,9,6,146,17,22,330,6,0,1,22,0,10,2,588,0,21,609,1114
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,461,1,1,5,6,3,83,6,17,131,2,0,0,4,1,2,1,261,0,21,282,521
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,462,1,1,7,6,1,80,6,9,101,4,0,0,9,1,13,2,239,8,9,256,495
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,463,1,1,16,7,6,73,7,29,225,9,0,0,14,2,4,5,397,0,17,414,715
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,464,1,1,8,2,3,65,10,26,169,6,0,0,6,0,3,0,298,0,8,306,542
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,465,1,1,15,6,6,38,9,37,183,3,0,3,11,1,5,3,320,2,14,336,640
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,466,1,1,5,10,2,119,3,27,165,2,0,0,6,1,6,2,348,0,9,357,627
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,467,1,1,6,4,8,33,3,13,132,3,0,0,10,0,3,1,216,0,5,221,456
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,468,1,1,8,3,4,35,6,17,156,2,0,1,7,0,3,0,242,0,8,250,489
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,469,1,1,10,9,5,76,6,21,177,2,0,2,6,0,5,3,322,0,16,338,553
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,470,1,1,8,14,16,43,3,38,186,6,0,2,7,1,1,1,326,0,1,327,598
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,471,1,1,9,10,3,54,11,42,226,3,0,2,17,0,2,2,381,1,12,394,690
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,472,3,3,14,15,15,213,23,41,398,12,0,2,31,0,19,0,783,2,23,808,1649
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,473,2,2,14,3,4,220,14,34,335,3,0,7,35,0,0,0,669,1,10,680,1271
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,474,3,3,16,13,11,244,20,48,399,10,0,1,30,0,4,4,800,4,32,836,1582
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,475,2,2,21,21,8,155,15,35,400,5,0,0,18,0,4,1,683,3,26,712,1351
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,476,2,2,20,8,7,107,18,48,326,17,0,1,16,2,8,2,580,0,26,606,1095
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,477,2,2,10,10,8,195,10,39,410,8,0,0,11,2,16,3,722,0,24,746,1340
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,478,2,2,8,6,5,165,16,44,302,15,0,0,22,3,8,3,597,2,25,624,1117
