CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,251,B,1,0,B,0,3,4,79,152,15,5,130,6,0,0,3,0,0,0,397,0,14,411,709,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,251,E,1,0,E01,0,3,6,107,63,11,11,224,9,0,0,5,0,0,3,442,0,12,454,706,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,251,E,2,0,E02,0,2,3,62,119,7,2,157,2,0,6,0,0,0,0,360,0,8,368,584,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,252,B,1,0,B,0,60,10,14,25,9,1,208,7,0,4,4,0,2,4,348,0,15,363,577,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,252,C,1,0,C01,0,46,9,9,15,9,9,192,4,0,3,3,0,3,1,303,0,11,314,576,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,253,B,1,0,B,0,33,6,8,16,8,7,142,1,0,1,3,0,2,3,230,0,4,234,483,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,253,C,1,0,C01,0,35,6,12,22,13,3,155,1,0,1,8,0,1,0,257,0,8,265,483,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,254,B,1,0,B,0,39,8,18,29,23,8,299,9,0,1,6,0,3,1,444,0,15,459,735,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,255,B,1,0,B,0,45,7,21,42,12,9,202,11,0,0,4,0,4,1,358,0,13,371,641,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,255,C,1,0,C01,0,38,8,17,36,18,10,201,5,0,1,5,1,5,3,348,0,5,353,641,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,255,C,2,0,C02,0,33,2,17,34,9,3,222,4,0,0,3,0,7,3,337,0,15,352,640,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,255,C,3,0,C03,0,41,4,14,28,15,10,225,9,0,1,11,1,4,2,365,0,9,374,640,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,256,B,1,0,B,0,36,9,19,21,17,10,240,3,0,1,9,1,5,0,371,0,10,381,735,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,256,C,1,0,C01,0,43,8,22,23,6,12,228,13,0,4,10,0,3,0,372,0,8,380,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,257,B,1,0,B,0,30,6,14,37,13,11,224,3,0,1,8,1,2,1,351,0,8,359,619,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,257,C,1,0,C01,0,32,6,19,26,9,4,225,7,0,1,9,0,0,9,347,0,22,369,619,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,257,C,2,0,C02,0,48,4,19,13,17,10,238,10,0,3,2,0,4,3,371,0,9,380,619,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,B,1,0,B,0,31,2,17,24,13,5,282,4,0,1,1,1,3,0,384,0,4,388,646,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,C,1,0,C01,0,35,5,20,50,16,8,235,7,0,1,4,2,7,2,392,0,12,404,646,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,C,2,0,C02,0,41,6,11,17,9,4,271,1,0,0,6,0,3,2,371,0,6,377,646,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,C,3,0,C03,0,38,5,11,24,14,9,234,1,0,1,1,0,3,0,341,0,14,355,646,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,C,4,0,C04,0,32,1,20,26,13,7,256,2,0,1,10,0,3,4,375,0,4,379,645,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,C,5,0,C05,0,26,4,22,24,11,9,266,8,0,2,3,0,0,2,377,0,0,377,645,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,258,C,6,0,C06,0,30,5,16,27,22,13,255,2,0,2,7,1,2,5,387,0,5,392,645,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,259,B,1,0,B,0,32,4,17,11,19,2,250,4,0,1,5,2,3,3,353,0,14,367,609,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,259,C,1,0,C01,0,28,5,12,21,17,7,243,8,0,1,9,1,4,1,357,0,10,367,609,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,259,C,2,0,C02,0,27,4,13,15,13,2,262,5,0,2,2,1,4,1,351,1,6,358,608,COTEJADO EN PLENO,,,
