CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1523,5,5,308,116,17,90,117,179,810,74,40,1751,3,74,1828,3408
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1524,4,4,137,49,3,143,68,76,520,38,28,1062,2,68,1132,2540
1,2,BAJA CALIFORNIA,11,TIJUANA,4,TIJUANA,1525,3,3,51,29,3,54,37,38,369,21,8,610,1,46,657,1565
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1526,2,2,31,31,6,35,122,59,362,21,5,672,2,38,712,1481
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1527,2,2,11,13,6,28,122,41,293,13,2,529,0,29,558,1110
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1528,2,2,13,6,13,31,117,38,294,17,8,537,0,42,579,1249
1,2,BAJA CALIFORNIA,8,TIJUANA,4,TIJUANA,1529,2,2,75,19,5,33,54,110,386,23,5,710,2,29,741,1484
1,2,BAJA CALIFORNIA,8,TIJUANA,4,TIJUANA,1530,2,2,81,22,5,19,45,112,347,20,6,657,0,29,686,1362
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1531,2,2,6,13,3,21,99,38,271,12,8,471,1,30,502,1140
1,2,BAJA CALIFORNIA,8,TIJUANA,4,TIJUANA,1532,2,2,53,8,1,40,51,100,444,18,7,722,2,27,751,1453
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1533,2,2,21,26,9,41,98,39,278,5,7,524,0,35,559,1140
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1534,2,2,14,13,1,14,103,28,158,5,3,339,0,26,365,832
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1535,1,1,9,7,2,20,42,24,137,6,2,249,0,18,267,633
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1536,1,1,7,10,3,23,56,23,140,12,2,276,1,29,306,740
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1537,1,1,19,8,4,15,61,25,155,5,8,300,1,18,319,686
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1538,2,2,27,15,7,25,83,26,192,17,4,396,1,37,434,1100
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1539,2,2,11,15,4,29,99,42,254,10,2,466,1,23,490,1209
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1540,2,2,12,8,3,25,47,37,191,9,2,334,0,22,356,776
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1541,2,2,20,20,5,34,55,37,223,7,9,410,3,19,432,985
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1542,2,2,15,15,4,21,74,51,217,7,6,410,2,26,438,896
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1543,2,2,12,14,3,28,58,37,191,15,0,358,0,18,376,852
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1544,2,2,8,7,4,25,60,31,178,15,1,329,1,21,351,789
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1545,2,2,21,9,3,19,65,35,153,25,5,335,1,16,352,896
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1546,1,1,6,17,5,36,54,35,176,10,5,344,0,25,369,738
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1547,1,1,3,9,1,9,38,28,108,7,9,212,0,19,231,575
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1548,1,1,12,13,5,20,50,32,146,7,1,286,0,14,300,660
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1549,1,1,10,8,3,17,55,43,115,11,4,266,3,9,278,590
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1550,2,2,8,12,7,26,81,37,167,7,3,348,0,16,364,795
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1551,1,1,7,17,1,16,72,33,125,9,2,282,1,22,305,688
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1552,1,1,11,12,4,20,67,44,133,13,11,315,0,21,336,716
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1553,1,1,5,11,2,9,56,14,153,3,3,256,1,14,271,711
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1554,1,1,11,10,4,12,65,18,159,9,3,291,0,22,313,728
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1555,2,2,12,15,2,13,90,25,194,6,1,358,1,24,383,838
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1556,1,1,12,11,5,16,41,16,94,5,5,205,0,16,221,535
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1557,2,2,31,20,4,7,68,46,142,6,1,325,1,17,343,764
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1558,2,2,29,26,7,13,50,28,166,9,4,332,3,17,352,899
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1559,2,3,81,79,7,25,162,96,407,16,18,891,3,85,979,612
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1560,1,1,49,24,4,14,47,43,113,11,4,309,1,17,327,587
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1561,1,1,31,31,1,14,53,40,145,12,4,331,1,16,348,739
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1562,1,1,55,34,44,20,70,43,116,26,3,411,0,20,431,730
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1563,1,1,47,31,10,15,47,57,101,13,0,321,1,16,338,598
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1564,1,1,61,23,5,13,67,39,118,14,7,347,3,16,366,693
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1565,2,2,69,38,9,24,63,38,144,7,5,397,3,19,419,781
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1566,1,1,33,22,4,9,59,28,105,14,0,274,0,16,290,540
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1567,2,2,61,22,7,20,67,54,144,11,1,387,0,29,416,758
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1568,1,1,48,29,2,23,73,41,123,10,10,359,1,19,379,728
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1569,1,1,33,29,3,20,54,42,126,9,4,320,1,14,335,643
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1570,1,1,30,21,5,14,44,42,95,13,4,268,1,9,278,506
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1571,2,2,71,68,13,33,89,56,182,15,6,533,0,29,562,937
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1572,1,1,19,22,7,16,52,29,93,12,5,255,0,12,267,486
