CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
3,27,TABASCO,,,5,COMALCALCO,,,SIND_MR,PVEM_MORENA,2,ADELA FERNANDA PEREGRINO CORTES,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/5/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,5,COMALCALCO,,,REG_MR,PVEM_MORENA,3,LORENA YSQUIERDO ALAMILLA,2,,https://iepctabasco.mx/computos/2024/PMR/5/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,6,CUNDUACAN,,,PRES_MUN,MORENA,1,MARIA DE LA CRUZ LOPEZ,2,,https://iepctabasco.mx/computos/2024/PMR/6/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,6,CUNDUACAN,,,SIND_MR,MORENA,2,NEFTALI HERNANDEZ DE DIOS,1,,https://iepctabasco.mx/computos/2024/PMR/6/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,6,CUNDUACAN,,,REG_MR,MORENA,3,ERIKA DEL ROSARIO DELGADO GALMICHE,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/6/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,7,EMILIANO ZAPATA,,,PRES_MUN,MC,1,JOSE ARMIN MARIN SAURY,1,,https://iepctabasco.mx/computos/2024/PMR/7/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,7,EMILIANO ZAPATA,,,SIND_MR,MC,2,ESTEISI MARGARITA RODRIGUEZ PEREZ,2,,https://iepctabasco.mx/computos/2024/PMR/7/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,7,EMILIANO ZAPATA,,,REG_MR,MC,3,PERLA FERNANDA MACOSAY DE LOS SANTOS,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/7/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,8,HUIMANGUILLO,,,PRES_MUN,MORENA,1,MARI LUZ VELAZQUEZ JIMENEZ,2,,https://iepctabasco.mx/computos/2024/PMR/8/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,8,HUIMANGUILLO,,,SIND_MR,MORENA,2,JOSE DEL CARMEN RUEDA DIAZ,1,,https://iepctabasco.mx/computos/2024/PMR/8/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,8,HUIMANGUILLO,,,REG_MR,MORENA,3,JUDITH JIMENEZ MONTIEL,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/8/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,9,JALAPA,,,PRES_MUN,PT,1,JOSE MANUEL HERNANDEZ PEREZ,1,,https://iepctabasco.mx/computos/2024/PMR/9/CONST_MAYORIA_VALIDEZ.pdf,PT
3,27,TABASCO,,,9,JALAPA,,,SIND_MR,PT,2,SILVIA ARRAIZ GALLEGOS,2,,https://iepctabasco.mx/computos/2024/PMR/9/CONST_MAYORIA_VALIDEZ.pdf,PT
3,27,TABASCO,,,9,JALAPA,,,REG_MR,PT,3,KARLA IVETT GUZMAN ESTRADA,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/9/CONST_MAYORIA_VALIDEZ.pdf,PT
3,27,TABASCO,,,10,JALPA DE MENDEZ,,,PRES_MUN,MORENA,1,JOSE DEL CARMEN OLAN OLAN,1,,https://iepctabasco.mx/computos/2024/PMR/10/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,10,JALPA DE MENDEZ,,,SIND_MR,MORENA,2,FRANCISCA HERNANDEZ IZQUIERDO,2,,https://iepctabasco.mx/computos/2024/PMR/10/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,10,JALPA DE MENDEZ,,,REG_MR,MORENA,3,CLARITA DEL ROCIO SANCHEZ CUPIL,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/10/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,11,JONUTA,,,PRES_MUN,MORENA,1,MARIA SOLEDAD VILLAMAYOR NOTARIO,2,,https://iepctabasco.mx/computos/2024/PMR/11/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,11,JONUTA,,,SIND_MR,MORENA,2,AMADO OROSCO LOPEZ,1,,https://iepctabasco.mx/computos/2024/PMR/11/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,11,JONUTA,,,REG_MR,MORENA,3,YANCI GUADALUPE MORALES ZENTENO,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/11/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,12,MACUSPANA,,,PRES_MUN,MORENA,1,GASPAR TRINIDAD DIAZ FALCON,1,,https://iepctabasco.mx/computos/2024/PMR/12/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,12,MACUSPANA,,,SIND_MR,MORENA,2,EVELIN SUGEY FELIX HERNANDEZ,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/12/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,12,MACUSPANA,,,REG_MR,MORENA,3,JENNY VELAZQUEZ PALOMEC,2,,https://iepctabasco.mx/computos/2024/PMR/12/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,13,NACAJUCA,,,PRES_MUN,PT,1,ROBERTO OCAÑA LEYVA,1,,https://iepctabasco.mx/computos/2024/PMR/13/CONST_MAYORIA_VALIDEZ.pdf,PT
3,27,TABASCO,,,13,NACAJUCA,,,SIND_MR,PT,2,ZOILA RODRIGUEZ GARCIA,2,,https://iepctabasco.mx/computos/2024/PMR/13/CONST_MAYORIA_VALIDEZ.pdf,PT
3,27,TABASCO,,,13,NACAJUCA,,,REG_MR,PT,3,DIANA ISABEL PEREZ HERNANDEZ,2,CANDIDATURAS INDIGENAS,https://iepctabasco.mx/computos/2024/PMR/13/CONST_MAYORIA_VALIDEZ.pdf,PT
3,27,TABASCO,,,14,PARAISO,,,PRES_MUN,MC,1,ALFONSO JESUS BACA SEVILLA,1,,https://iepctabasco.mx/computos/2024/PMR/14/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,14,PARAISO,,,SIND_MR,MC,2,MARIA ELIZA HERNANDEZ FLORES,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/14/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,14,PARAISO,,,REG_MR,MC,3,MISLEIDA MAGAÑA FLORES,2,,https://iepctabasco.mx/computos/2024/PMR/14/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,15,TACOTALPA,,,PRES_MUN,MC,1,RICKI ANTONIO ARCOS PEREZ,1,,https://iepctabasco.mx/computos/2024/PMR/15/CONST_MAYORIA_VALIDEZ.pdf,MC
3,27,TABASCO,,,15,TACOTALPA,,,SIND_MR,MC,2,MARIA JOSE CABRERA ESTRADA,2,,https://iepctabasco.mx/computos/2024/PMR/15/CONST_MAYORIA_VALIDEZ.pdf,MC
