CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,CALIDAD DE LA CANDIDATURA,NUMERO_LISTA,PERSONA_CANDIDATA,DENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
,25,SINALOA,,,4,CONCORDIA,,,REG_MR,MORENA,PROPIETARIO,5,ENDY SAMUEL RAMOS ARAGON,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,REG_MR,MORENA,SUPLENTE,5,ERICK DE JESUS ALVAREZ FLORES,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,SIND_MR,MORENA,PROPIETARIO,2,MARIA EUGENIA PASOS CABRERA,2,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,4,CONCORDIA,,,SIND_MR,MORENA,SUPLENTE,2,MIRIAN FLORES RAMIREZ,2,CANDIDATURAS INDIGENAS,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Concordia.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,PRES_MUN,PVEM_MORENA,PROPIETARIO,1,CARLA URSULA CORRALES CORRALES,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,REG_MR,PVEM_MORENA,PROPIETARIO,3,MARIA MARISELA GERMAN VEGA,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,REG_MR,PVEM_MORENA,SUPLENTE,3,MERCEDES GERMAN VEGA,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,REG_MR,PVEM_MORENA,PROPIETARIO,4,JOSE GUADALUPE OSUNA ALVARADO,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,REG_MR,PVEM_MORENA,SUPLENTE,4,LUIS ALONSO GARCIA REYNA,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,REG_MR,PVEM_MORENA,PROPIETARIO,5,KARLA YUNIVA RETAMOZA TORRES,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,REG_MR,PVEM_MORENA,SUPLENTE,5,ISAURA FELIX FIGUEROA,2,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,SIND_MR,PVEM_MORENA,PROPIETARIO,2,JOSE ALFREDO CORRALES CAMPOS,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,5,COSALA,,,SIND_MR,PVEM_MORENA,SUPLENTE,2,JESUS ALONSO ARAGON TORRES,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Cosala.pdf,MORENA
,25,SINALOA,,,6,CULIACAN,,,PRES_MUN,MORENA,PROPIETARIO,1,JUAN DE DIOS GAMEZ MENDIVIL,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Culiacan.pdf,MORENA
,25,SINALOA,,,6,CULIACAN,,,REG_MR,MORENA,PROPIETARIO,3,ITZEL MARGARITA ESTOLANO IBARRA,2,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Culiacan.pdf,MORENA
,25,SINALOA,,,6,CULIACAN,,,REG_MR,MORENA,SUPLENTE,3,LESLIE SOTO BERRELLEZA,2,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Culiacan.pdf,MORENA
,25,SINALOA,,,6,CULIACAN,,,REG_MR,MORENA,PROPIETARIO,4,CIRILO CELIS ACUÑA,1,,https://www.ieesinaloa.mx/wp-content/uploads/Transparencia/SecretariaEjecutiva/ConstanciasDeMayoria2024/CME_Culiacan.pdf,MORENA
