ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,42,IXTLAN,12,22,23,390,1632,1583,706,161,158,1611,35,21,15,27,0,0,245,73,49,23,39,134,11,7,6920,6,359,7285,12125,
16,MICHOACAN,43,JACONA,30,88,88,3210,3254,2630,1060,1113,1147,6523,846,1767,245,319,0,0,698,145,126,128,301,272,22,18,23824,5,1038,24867,54444,
16,MICHOACAN,44,JIMENEZ,14,25,25,182,327,2251,140,251,1604,1172,54,243,47,33,0,0,82,9,15,27,164,8,19,7,6635,2,483,7120,13274,
16,MICHOACAN,45,JIQUILPAN,30,67,68,1966,1280,1270,546,1324,2720,5852,819,52,31,78,0,0,441,49,50,99,224,26,14,5,16846,1,837,17684,34909,
16,MICHOACAN,46,JOSE SIXTO VERDUZCO,20,41,42,305,574,503,546,1121,1661,3801,440,2174,526,50,0,0,278,47,29,76,73,9,2,1,12216,1,748,12965,21422,
16,MICHOACAN,47,JUAREZ,12,20,21,146,447,279,195,1149,1035,1218,855,65,19,1081,0,0,133,38,12,61,65,5,3,1,6807,2,436,7245,11090,
16,MICHOACAN,48,JUNGAPEO,16,30,30,226,713,2195,364,348,366,3688,62,35,8,39,0,0,414,42,61,63,267,15,24,21,8951,0,452,9403,15529,
16,MICHOACAN,49,LAGUNILLAS,4,10,10,266,173,162,279,70,321,305,743,16,978,19,0,0,18,13,9,1,40,11,9,21,3454,0,360,3814,5549,
16,MICHOACAN,50,LAZARO CARDENAS,70,241,242,6123,4135,3022,5767,4610,5067,35206,1137,829,426,838,0,0,,,,,759,111,54,32,68116,18,4190,72324,146214,
16,MICHOACAN,51,MADERO,14,28,28,599,2144,299,2258,647,228,1363,42,22,39,36,0,0,453,220,98,32,279,214,9,18,9000,0,648,9648,14800,
