CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,33,C,1,0,C01,0,125,6,1,4,3,2,87,0,0,2,4,2,0,236,0,2,238,413,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,34,B,1,0,B,0,122,6,1,8,2,9,35,0,0,6,0,0,0,189,0,5,194,376,Acta casilla,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,34,C,1,0,C01,0,138,6,2,5,1,10,58,0,0,3,0,0,0,223,1,4,228,375,Acta casilla,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,35,B,1,0,B,0,336,22,3,10,6,28,77,0,0,2,2,1,0,487,0,15,502,730,Acta casilla,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,35,C,1,0,C01,0,340,14,4,12,3,18,88,0,0,6,5,0,0,490,0,14,504,730,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,35,C,2,0,C02,0,338,15,7,6,5,34,74,0,0,16,3,0,1,499,1,10,510,730,Acta casilla,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,36,B,1,0,B,0,169,16,2,2,4,19,64,0,0,7,4,0,0,287,0,9,296,440,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,36,C,1,0,C01,0,206,9,1,5,2,17,58,0,0,6,4,0,0,308,0,13,321,439,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,37,B,1,0,B,0,220,27,1,7,7,18,63,0,0,7,2,1,0,353,1,12,366,517,Grupo de recuento,,,
2,1,AGUASCALIENTES,10,AGUASCALIENTES,1,AGUASCALIENTES,37,C,1,0,C01,0,236,26,1,5,3,14,63,0,0,3,2,0,0,353,0,7,360,517,Acta casilla,,,
