CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1058,2,2,261,22,9,18,17,67,365,0,0,0,0,22,3,5,1,790,0,25,815,1311
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1059,18,18,2351,265,84,160,94,592,2748,0,0,0,0,96,17,23,1,6431,3,144,6578,12990
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1060,5,5,847,91,28,70,40,189,725,0,0,0,0,31,3,5,1,2030,0,31,2061,3343
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1061,2,2,273,26,6,24,9,52,284,0,0,0,0,17,1,4,1,697,0,26,723,1172
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1062,2,2,278,18,5,23,10,55,232,0,0,0,0,9,1,4,2,637,0,19,656,1095
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1063,2,2,371,35,4,15,14,71,312,0,0,0,0,8,4,2,1,837,0,32,869,1476
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1064,2,2,333,28,5,20,11,71,229,0,0,0,0,8,2,2,0,709,0,15,724,1203
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1065,2,2,185,28,7,12,6,91,239,0,0,0,0,9,3,5,0,585,0,11,596,1056
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1066,2,2,197,21,7,13,14,62,214,0,0,0,0,13,3,2,2,548,0,18,566,1008
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1067,2,2,307,31,6,23,15,66,320,0,0,0,0,26,2,9,1,806,0,24,830,1386
