CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1129,2,2,3,242,11,15,8,21,229,0,0,0,0,1,0,0,0,9,0,0,1,5,1,1,0,547,0,16,563,976
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1130,1,1,2,129,14,15,9,6,74,4,0,0,0,4,0,0,0,3,1,0,1,0,0,0,0,262,0,17,279,531
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1131,2,2,11,437,24,31,15,11,145,4,0,0,0,28,0,0,0,4,0,0,9,1,2,2,14,738,0,44,782,1399
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1132,3,3,33,791,38,34,23,24,198,6,0,0,0,16,0,0,0,11,6,0,8,6,0,0,4,1198,0,68,1266,2151
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1133,1,1,3,151,1,12,10,5,88,0,0,0,0,1,0,0,0,1,1,0,1,5,1,1,1,282,0,17,299,629
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1134,1,1,7,65,11,21,10,9,132,2,0,0,0,6,0,0,0,2,1,0,0,0,0,0,2,268,0,6,274,515
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1135,2,2,7,298,60,20,10,10,236,2,0,0,0,15,0,0,0,4,0,1,0,7,0,0,3,673,1,31,705,1224
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1136,2,2,4,240,16,23,8,17,147,0,0,0,0,4,0,0,0,4,2,0,1,2,1,2,4,475,0,37,512,1114
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1137,1,1,0,108,4,2,5,5,39,0,0,0,0,12,0,0,0,0,1,0,2,3,0,0,0,181,0,12,193,311
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1138,1,1,6,146,4,12,5,7,86,3,0,0,0,9,0,0,0,3,1,0,0,2,2,1,0,287,0,10,297,529
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1139,2,2,4,223,7,14,6,9,166,0,0,0,0,9,0,0,0,3,1,0,0,2,1,0,0,445,0,41,486,967
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1140,1,1,8,152,0,7,7,2,53,1,0,0,0,1,0,0,0,0,3,0,0,3,2,0,4,243,0,15,258,597
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1141,1,1,1,101,6,4,4,3,74,0,0,0,0,2,0,0,0,4,1,0,0,1,0,1,3,205,0,13,218,385
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1142,1,1,1,189,24,8,8,7,91,0,0,0,0,7,0,0,0,1,0,0,0,3,0,0,1,340,0,23,363,651
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1143,2,2,4,232,3,10,3,3,26,1,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,289,0,7,296,526
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1144,1,1,4,335,3,7,7,2,64,1,0,0,0,1,0,0,0,5,4,0,1,0,0,0,0,434,0,9,443,673
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1145,1,1,4,123,4,18,6,3,84,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,3,254,0,7,261,617
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1146,1,1,2,71,0,3,2,1,31,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,113,0,5,118,253
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1147,1,1,0,177,2,3,1,2,18,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,208,0,12,220,320
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1148,1,1,11,148,2,6,1,6,56,0,0,0,0,5,0,0,0,3,1,0,0,1,1,0,0,241,0,18,259,561
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1149,2,2,10,140,11,11,10,4,87,1,0,0,0,5,0,0,0,1,1,0,1,2,0,0,2,286,1,25,312,844
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1150,2,2,8,240,8,17,9,4,113,0,0,0,0,2,0,0,0,1,1,0,0,1,1,0,0,405,0,28,433,895
