CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,332,1,1,84,79,7,30,9,28,247,6,4,1,0,0,12,0,3,3,513,0,7,520,700
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,333,1,1,82,20,5,22,18,21,174,10,4,1,1,0,7,4,4,1,374,0,18,392,624
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,334,2,2,80,37,5,28,11,19,207,7,1,0,0,3,7,7,7,0,419,0,16,435,785
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,335,2,2,135,55,10,37,34,58,475,25,5,1,0,0,24,2,5,0,866,0,22,888,1476
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,336,2,2,74,45,8,36,20,30,289,13,4,2,1,0,19,2,3,1,547,0,13,560,1090
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,337,1,1,47,39,5,17,11,17,104,10,0,1,0,0,7,3,3,0,264,0,7,271,458
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,338,2,2,102,45,7,30,18,26,181,24,1,5,0,2,8,4,2,0,455,0,28,483,848
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,2,2,130,7,2,16,12,14,276,8,4,1,2,0,12,1,6,3,494,0,19,513,819
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,2,2,169,15,5,30,14,13,314,17,4,2,0,0,9,2,4,1,599,0,26,625,1084
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,2,2,92,12,7,44,14,19,308,13,4,1,0,0,4,2,4,1,525,0,21,546,971
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,2,2,165,19,2,19,17,25,318,14,3,1,0,0,5,2,6,0,596,0,15,611,1112
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,2,2,26,17,2,29,5,5,202,5,3,2,0,0,0,1,3,2,302,0,3,305,479
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,3,3,118,28,4,25,15,29,583,18,4,1,0,0,24,7,4,5,865,0,20,885,1541
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,2,2,104,30,6,22,6,17,299,6,4,1,0,0,13,1,1,0,510,0,16,526,919
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,2,2,53,42,3,14,8,14,256,7,4,3,0,0,13,3,5,0,425,0,20,445,768
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,2,2,54,16,2,20,15,12,243,3,7,2,0,0,17,4,8,0,403,3,18,424,746
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,4,4,208,83,10,63,34,36,878,25,8,5,0,0,49,2,9,10,1420,0,41,1461,2389
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2776,3,3,362,123,8,77,16,63,255,20,21,12,1,1,8,3,9,3,982,0,34,1016,1753
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2777,3,3,334,82,9,90,26,63,325,24,21,7,0,0,12,2,9,1,1005,0,24,1029,1872
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2778,1,1,20,8,1,39,7,5,105,0,3,0,0,0,11,0,3,0,202,0,10,212,355
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2779,1,1,23,16,5,35,3,3,112,3,1,1,0,0,9,0,2,0,213,0,7,220,369
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2780,1,1,11,26,3,8,2,3,71,6,0,0,0,0,2,0,3,1,136,0,5,141,209
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2781,2,2,39,14,2,37,6,13,159,14,0,0,0,0,15,2,27,1,329,0,23,352,563
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2782,1,1,10,10,1,11,1,22,63,2,2,1,0,0,2,0,1,2,128,0,8,136,208
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2783,1,1,8,21,3,30,3,11,100,3,1,0,0,0,2,1,3,0,186,0,8,194,308
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2784,2,2,28,17,2,25,4,9,65,3,2,1,0,0,12,0,3,0,171,0,4,175,307
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2785,1,1,52,14,5,21,5,38,91,2,2,3,0,0,3,0,3,1,240,0,9,249,377
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2786,1,1,52,23,6,31,12,22,190,10,0,4,0,0,7,5,4,1,367,0,18,385,567
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2787,1,1,31,42,3,62,11,27,190,5,0,3,0,0,10,4,4,2,394,1,20,415,713
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2788,2,2,89,31,4,51,16,36,228,8,16,8,0,0,5,4,2,1,499,0,29,528,1006
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2789,1,1,9,8,0,13,7,1,86,3,0,1,0,0,4,2,3,0,137,0,6,143,205
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2790,2,2,123,84,7,103,16,34,266,7,10,10,0,0,10,0,7,5,682,0,42,724,1259
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2791,1,1,15,5,0,19,3,11,94,5,2,0,0,0,1,0,3,0,158,0,8,166,266
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2792,1,1,25,14,0,40,11,10,136,5,0,0,0,0,0,0,0,0,241,0,13,254,412
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2793,1,1,56,31,4,47,6,14,70,2,2,4,0,0,4,1,3,0,244,0,33,277,533
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2794,1,1,52,21,1,39,7,11,135,6,4,1,0,0,4,0,1,2,284,0,10,294,447
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2795,2,2,48,15,4,35,8,18,123,4,2,2,0,0,5,5,4,1,274,0,8,282,467
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2796,1,1,13,4,0,16,3,3,33,2,1,0,0,0,1,0,4,0,80,0,5,85,113
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2797,1,1,72,17,6,45,4,13,92,10,1,1,1,0,2,0,0,0,264,0,16,280,490
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2798,1,1,52,24,4,26,12,19,124,11,1,1,0,0,6,1,11,0,292,0,13,305,561
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2799,1,1,45,11,1,15,3,4,50,5,3,3,0,0,3,0,3,0,146,0,11,157,273
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2800,1,1,36,16,3,23,5,10,56,3,3,1,0,0,0,0,0,0,156,0,11,167,279
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2801,1,1,45,34,1,37,2,8,115,6,2,1,0,0,3,0,0,1,255,0,10,265,482
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2802,2,2,80,36,9,100,18,25,262,9,5,9,0,0,6,4,2,0,565,0,35,600,1053
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2803,1,1,21,9,1,30,8,6,53,2,0,1,0,0,0,0,2,0,133,0,6,139,249
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2804,1,1,34,15,0,37,5,4,72,2,2,1,1,0,0,2,2,1,178,0,4,182,284
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2814,1,1,86,31,1,19,6,23,189,7,6,2,0,0,13,1,3,1,388,0,18,406,738
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2815,2,2,99,24,4,35,13,34,318,6,8,3,0,0,12,0,4,4,564,1,10,575,872
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2816,3,3,108,21,5,64,17,47,553,6,9,2,0,0,25,5,12,6,880,0,30,910,1601
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2817,2,2,156,24,5,49,11,70,366,10,9,5,0,0,17,3,7,2,734,0,17,751,1230
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2818,1,1,99,37,4,28,3,32,205,10,10,5,1,0,7,1,3,1,446,0,11,457,693
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2819,5,5,351,151,13,127,30,130,1006,47,21,8,1,0,41,5,17,12,1960,2,46,2008,3365
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2820,2,2,131,55,3,29,12,33,264,12,5,3,0,0,5,1,2,2,557,1,6,564,865
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2821,1,1,77,34,0,12,3,24,119,7,7,0,0,0,2,1,2,0,288,2,8,298,449
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2822,1,1,110,51,5,32,7,36,164,5,9,2,0,0,11,0,1,0,433,0,6,439,652
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2823,2,2,106,50,2,35,12,36,312,4,11,2,0,0,13,0,4,2,589,0,14,603,1009
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2824,2,2,132,53,4,35,7,50,427,16,3,5,0,0,19,2,9,0,762,0,21,783,1270
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2825,3,3,109,38,3,53,6,53,415,8,5,2,0,0,15,1,7,3,718,0,29,747,1511
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2826,2,2,105,30,4,52,11,12,271,5,5,2,0,0,8,1,6,0,512,0,23,535,1150
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2827,2,2,113,35,6,45,7,39,349,2,8,2,0,0,16,1,6,3,632,0,12,644,1147
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2828,1,1,43,31,1,24,3,34,197,7,6,0,0,0,11,0,3,0,360,0,10,370,588
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2829,1,1,67,47,5,30,8,35,158,3,5,2,0,0,9,0,2,2,373,0,11,384,635
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2830,2,2,100,57,3,62,7,34,258,16,6,2,0,0,9,2,7,2,565,1,10,576,932
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2831,2,2,98,46,4,57,10,34,323,12,3,3,0,1,18,3,10,1,623,0,23,646,1038
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2832,1,1,87,38,3,19,3,34,220,9,5,2,0,0,6,1,2,0,429,0,9,438,659
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2833,4,5,398,201,21,115,52,147,1101,70,10,6,0,0,46,3,11,7,2188,1,41,2230,2194
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2834,2,2,83,27,3,34,5,24,308,7,4,1,0,0,19,2,7,0,524,0,19,543,990
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2835,4,4,317,88,10,91,27,75,716,22,15,11,0,0,48,1,13,4,1438,1,46,1485,2514
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2836,4,4,224,89,9,68,20,91,763,57,13,7,0,2,33,5,9,4,1394,2,32,1428,2406
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2837,3,3,139,55,2,75,20,75,703,18,6,4,0,0,21,3,23,4,1148,1,38,1187,2202
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2838,1,1,63,16,2,16,12,8,251,6,5,4,0,0,9,0,2,0,394,0,18,412,747
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2839,2,2,98,47,7,23,9,13,249,7,7,1,0,0,23,1,8,1,494,0,14,508,890
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2840,2,2,38,48,1,22,9,21,231,10,4,3,0,0,18,5,9,1,420,0,20,440,936
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2841,1,1,104,24,3,28,6,4,60,0,7,5,0,0,4,1,2,1,249,0,19,268,457
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2842,1,1,6,2,1,2,1,1,74,1,1,0,0,0,2,0,0,0,91,0,6,97,225
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2843,1,1,16,3,1,12,3,8,101,2,0,0,0,0,8,1,4,1,160,0,2,162,357
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2844,1,1,16,4,0,2,1,0,22,1,1,2,1,0,2,0,0,0,52,0,5,57,134
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2845,2,2,42,9,3,35,6,6,234,6,2,1,0,0,6,1,4,0,355,0,9,364,717
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2846,1,1,35,5,0,2,1,0,17,1,1,1,0,0,2,0,0,0,65,0,2,67,114
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2847,1,1,6,13,1,4,3,5,37,1,0,0,0,0,3,0,0,0,73,0,5,78,144
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2848,1,1,22,9,0,8,3,2,106,6,0,0,0,0,6,0,6,0,168,0,8,176,319
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2849,1,1,81,11,1,6,1,3,57,2,7,4,0,0,5,0,2,0,180,0,8,188,261
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2850,1,1,99,11,3,6,1,1,91,1,3,6,0,1,10,0,2,0,235,0,18,253,429
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2851,1,1,71,20,1,5,7,2,70,5,1,2,0,0,4,0,2,0,190,0,10,200,285
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2852,1,1,53,8,0,6,5,1,63,7,3,2,0,0,2,1,0,1,152,0,7,159,260
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2853,1,1,66,20,3,8,7,6,81,2,1,2,0,0,3,1,3,0,203,0,5,208,302
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2854,1,1,15,12,2,9,1,9,134,3,1,0,0,0,7,2,1,1,197,0,3,200,325
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2855,1,1,24,9,4,12,5,3,137,3,2,1,0,0,10,0,8,0,218,0,11,229,388
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2856,1,1,12,4,1,7,0,2,29,2,1,0,0,0,1,0,0,0,59,0,2,61,100
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2857,1,1,16,10,1,7,0,1,43,2,0,0,0,0,2,0,0,0,82,0,2,84,106
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2858,1,1,29,9,4,18,4,10,158,1,0,0,0,0,1,0,1,0,235,0,6,241,474
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2859,3,3,280,38,2,24,13,60,677,7,4,3,2,0,19,1,9,4,1143,0,37,1180,2114
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2860,2,2,169,45,6,21,10,24,361,3,2,3,0,7,5,5,8,2,671,7,9,687,1192
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2861,3,3,108,24,8,38,30,85,579,12,3,2,2,15,16,1,8,3,934,0,42,976,1933
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2862,2,2,55,12,1,36,9,27,362,9,3,0,1,1,24,3,11,0,554,0,10,564,1188
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2863,2,2,56,11,2,32,13,34,334,3,0,2,0,0,12,1,13,1,514,0,25,539,1087
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2864,1,1,37,7,1,17,12,15,148,2,2,2,0,0,13,1,3,3,263,0,9,272,506
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2865,2,2,20,10,3,28,4,9,146,1,0,0,0,0,5,1,5,2,234,0,9,243,882
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2866,1,1,22,10,1,17,3,5,86,2,0,1,0,0,6,2,4,4,163,0,5,168,256
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2867,1,1,70,19,3,8,8,9,172,2,0,0,0,0,16,2,8,0,317,0,6,323,485
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2868,2,2,126,31,3,20,10,23,308,27,4,3,0,0,16,2,7,0,580,0,12,592,1024
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2869,2,2,75,31,5,18,12,28,316,13,3,1,0,0,28,0,7,4,541,0,20,561,977
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2870,1,1,46,20,3,10,8,16,204,8,3,5,0,0,9,1,3,3,339,0,9,348,598
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2871,2,2,78,36,3,23,7,23,406,17,4,0,1,0,12,4,6,1,621,0,20,641,1041
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2872,1,1,8,15,0,7,1,3,77,2,0,1,0,0,6,1,1,0,122,0,3,125,235
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2873,2,2,80,95,4,34,11,24,350,8,6,4,0,0,12,3,12,2,645,0,18,663,1026
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2874,1,1,11,3,1,4,1,4,91,1,1,0,0,0,0,0,2,0,119,0,3,122,194
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2875,2,2,47,23,3,55,8,22,309,5,0,4,0,0,16,1,10,2,505,0,16,521,972
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2876,2,2,81,16,3,84,19,24,358,11,2,1,1,0,9,4,10,1,624,0,34,658,1064
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2877,2,2,20,21,0,20,6,7,148,3,3,2,0,0,9,1,2,1,243,0,10,253,772
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2878,1,1,36,35,3,13,3,5,116,0,5,6,0,0,4,0,3,3,232,0,11,243,385
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2879,1,1,58,28,4,24,3,11,141,3,3,1,0,0,8,4,1,2,291,0,11,302,523
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2880,2,2,33,22,1,24,8,9,177,4,0,2,0,0,7,2,0,0,289,0,11,300,400
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2881,2,2,40,25,2,51,11,16,279,8,1,4,0,0,10,1,12,0,460,0,21,481,822
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2882,1,1,75,18,1,43,9,27,271,11,3,4,0,0,11,1,2,0,476,0,12,488,750
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2883,1,1,41,29,5,30,11,25,246,0,2,1,0,0,9,4,3,2,408,0,28,436,721
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2884,2,2,76,138,11,49,16,28,338,10,10,13,0,0,16,2,6,1,714,0,32,746,1417
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2885,3,3,94,104,7,72,22,33,521,18,8,2,0,0,6,2,13,3,905,0,42,947,1759
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2886,1,1,23,8,1,11,9,11,70,1,0,2,0,0,0,0,3,2,141,0,10,151,235
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2887,1,1,13,51,3,8,1,5,66,5,2,2,0,0,1,0,1,0,158,0,11,169,227
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2888,2,2,29,65,6,38,12,17,361,9,2,3,0,0,15,3,12,6,578,0,16,594,799
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2889,2,2,27,13,2,26,6,19,160,8,4,1,0,0,8,2,2,1,279,0,11,290,497
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2891,1,1,30,40,4,7,8,7,85,1,2,2,0,0,0,1,2,0,189,0,12,201,363
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2892,1,1,22,7,0,5,3,0,44,1,1,0,0,0,2,0,0,0,85,0,1,86,148
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2893,2,2,93,81,0,87,17,22,246,7,5,4,2,1,15,4,19,2,605,0,35,640,1198
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2894,1,1,9,19,2,24,7,4,162,2,0,0,0,0,9,2,5,1,246,0,8,254,478
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2895,2,2,64,50,4,72,10,24,372,13,5,1,0,1,24,4,13,1,658,0,27,685,1075
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2896,1,1,52,10,3,18,8,14,67,0,2,2,0,1,7,0,0,2,186,0,23,209,352
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2897,1,1,56,33,3,30,9,18,259,11,1,3,0,0,11,3,7,3,447,0,23,470,673
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3219,1,1,37,13,19,4,8,20,161,3,0,0,0,0,7,1,4,4,281,0,4,285,570
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3220,1,1,29,14,13,8,19,9,210,4,2,1,1,2,11,0,3,2,328,0,8,336,646
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3221,3,3,87,21,21,29,30,40,485,16,3,3,2,0,35,5,10,9,796,0,39,835,1762
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3222,1,1,34,6,8,5,10,7,201,9,4,0,0,0,5,1,0,0,290,0,4,294,600
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3223,2,2,46,15,27,16,21,19,284,7,9,0,2,1,7,6,2,2,464,0,17,481,956
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3224,2,2,67,10,16,17,11,25,250,4,2,0,0,0,24,4,6,1,437,0,11,448,770
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3225,3,3,119,41,33,38,33,72,501,19,15,1,1,0,36,2,5,1,917,1,26,944,1769
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3226,2,2,42,8,15,19,14,31,295,6,2,0,1,0,13,0,5,5,456,0,14,470,904
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3227,3,3,172,41,25,48,35,78,662,19,5,1,2,4,33,6,12,7,1150,3,37,1190,2098
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3228,2,2,59,23,30,19,14,47,274,9,12,2,1,0,33,0,1,4,528,0,5,533,1101
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3229,2,2,112,43,27,13,17,41,373,14,4,1,1,0,19,0,0,3,668,0,7,675,1248
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3230,2,2,86,31,37,21,18,46,317,12,9,2,0,0,21,2,5,0,607,0,19,626,1158
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3231,1,1,45,17,16,11,9,23,139,9,2,0,0,0,6,1,2,0,280,2,7,289,666
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3232,2,2,95,70,39,19,13,26,200,17,11,2,0,0,17,1,1,0,511,0,16,527,854
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3233,3,3,186,54,47,33,12,46,449,17,10,4,3,0,13,0,4,5,883,0,27,910,1820
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3234,2,2,65,12,16,11,16,38,338,5,3,1,0,0,14,0,7,3,529,0,24,553,793
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3235,1,1,41,14,9,10,6,19,256,4,1,0,0,0,19,3,6,4,392,0,13,405,730
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3236,1,1,37,14,4,9,13,8,216,2,1,0,0,0,5,1,5,0,315,0,10,325,693
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3237,2,2,66,23,12,11,19,16,319,7,1,2,0,0,12,2,0,3,493,0,15,508,911
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3238,2,2,58,22,25,21,15,18,381,5,4,0,0,0,19,2,5,2,577,0,12,589,1146
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3239,2,2,63,12,10,26,32,31,453,14,4,2,0,0,20,5,8,6,686,0,22,708,1253
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3240,2,2,81,20,24,24,17,22,351,4,7,0,0,0,13,0,1,3,567,0,14,581,1059
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3241,2,2,76,11,32,22,23,27,423,8,8,3,1,0,20,4,4,2,664,0,27,691,1236
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3242,2,2,52,7,10,27,15,23,305,4,4,1,0,0,8,3,6,1,466,0,4,470,865
3,30,VERACRUZ,1,PANUCO,133,PUEBLO VIEJO,3243,2,2,45,8,44,17,16,29,319,12,6,1,0,0,17,0,5,1,520,0,25,545,970
