ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PRD_PESM,C_PT_PVEM,C_PT_MORENA,C_PT_PESM,C_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,16,COENEO,29,43,44,47,85,3706,406,294,1815,3343,,,,,,,,,,,360,41,65,67,,1,,,,,,,,10230,0,441,10671,20164,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Coeneo.pdf
16,MICHOACAN,17,CONTEPEC,13,40,40,237,4569,903,649,325,,4635,195,274,,78,,,,,,,622,96,152,117,607,79,13,88,,,,,,13639,3,669,14311,24899,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Contepec.pdf
16,MICHOACAN,18,COPANDARO,6,13,13,,1024,130,185,80,1606,770,,,,,,,,,,,222,29,24,19,,,,291,,,,,,4380,1,177,4558,7882,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Cop%C3%A1ndaro%20.pdf
16,MICHOACAN,19,COTIJA,18,34,34,2419,382,1734,137,250,1888,933,,,,20,,,,,,,112,12,7,42,,314,,,,,,,,8250,0,391,8641,17716,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/09%20Los%20Reyes/Cotija.pdf
16,MICHOACAN,20,CUITZEO,16,44,44,3240,563,1958,2141,179,122,1164,441,33,860,493,,,,,,,235,55,109,18,,,,274,,,,,,11885,3,518,12406,24807,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/Cuitzeo.pdf
16,MICHOACAN,21,CHARAPAN,3,8,8,,256,909,140,55,,626,829,611,456,23,,,,,,,38,12,17,12,,,,,,,,,,3984,0,287,4271,5698,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Charapan.pdf
16,MICHOACAN,22,CHARO,15,31,31,952,602,663,281,192,3196,1500,,85,,31,2741,,,,,,256,36,42,58,376,25,23,8,,,,,,11067,10,432,11509,18141,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/Charo.pdf
16,MICHOACAN,23,CHAVINDA,11,21,21,357,730,279,35,47,1538,1292,17,,,,,,,,,,,,,,,,,326,,,,,,4621,0,202,4823,10344,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/09%20Los%20Reyes/Chavinda.pdf
16,MICHOACAN,24,CHERAN,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2271,
16,MICHOACAN,25,CHILCHOTA,15,42,42,40,1990,2654,1172,343,2960,4387,383,758,,168,,,,,,,445,60,104,64,,,,,,,,,,15528,1,574,16103,26162,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Chilchota.pdf
16,MICHOACAN,26,CHINICUILA,8,11,12,15,126,28,49,725,,159,931,,,,,,,,,14,115,18,4,39,16,2,,2,,,,,,2243,3,88,2334,3858,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Chinicuila.pdf
16,MICHOACAN,27,CHUCANDIRO,6,11,11,82,198,1228,51,272,,321,,,,,,,,,,,114,17,3,25,370,12,18,29,,,,,,2740,1,111,2852,5168,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Chuc%C3%A1ndiro.pdf
16,MICHOACAN,28,CHURINTZIO,8,13,13,1499,73,356,57,34,,849,,,,,,,,,,,134,6,13,10,,,,31,,,,,,3062,0,70,3132,6672,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Churintzio.pdf
16,MICHOACAN,29,CHURUMUCO,13,21,21,97,4554,145,67,624,,297,,,,,,,,,,,35,13,7,27,225,32,4,22,,,,,,6149,0,292,6441,10135,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Churumuco.pdf
16,MICHOACAN,30,ECUANDUREO,13,24,25,2595,401,80,485,133,,1190,,,,,,,,,,,323,29,35,85,427,57,21,6,,,,,,5867,3,232,6102,11984,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Ecuandureo.pdf
16,MICHOACAN,31,EPITACIO HUERTA,11,21,21,2848,1071,909,819,342,171,903,14,,,20,,,,,,,,,,,,,,,15,,,,,7112,1,283,7396,12128,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Epitacio%20Huerta.pdf
16,MICHOACAN,32,ERONGARICUARO,9,20,20,,2333,476,104,80,,3111,1088,,,,,,,,,,,,,,,,,436,,23,,,,7651,0,482,8133,10316,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Erongar%C3%ADcuaro.pdf
16,MICHOACAN,33,GABRIEL ZAMORA,13,30,30,172,262,1485,3755,1079,370,2956,175,835,,,,,,,,,314,25,47,38,,,,21,,,,,,11534,0,373,11907,16927,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Gabriel%20Zamora.pdf
16,MICHOACAN,34,HIDALGO,71,165,166,6471,7256,2618,11943,1589,8955,10815,532,,,,,,,,,,,,,,2843,398,163,132,,1340,,,,55055,42,3121,58218,95524,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/12%20Hidalgo/Hidalgo.pdf
16,MICHOACAN,35,LA HUACANA,28,50,50,244,1694,1241,3512,451,,6601,84,,,,,,,,,,1293,150,242,161,51,14,3,7,,,,,,15748,3,1088,16839,24149,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/La%20Huacana.pdf
16,MICHOACAN,36,HUANDACAREO,10,18,18,239,150,1851,284,178,350,1893,55,687,,,,,,,,,264,25,77,49,,27,,,128,,,,,6257,3,213,6473,10847,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Huandacareo.pdf
16,MICHOACAN,37,HUANIQUEO,11,14,14,67,39,1301,300,1117,153,571,108,188,,59,,,,,,,,,,,,5,,,,,,,,3908,1,242,4151,7960,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Huaniqueo.pdf
16,MICHOACAN,38,HUETAMO,44,71,71,,650,11307,328,210,170,3561,180,111,,,,,,,,,237,39,53,51,,,,,382,,,,,17279,6,801,18086,34332,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Huetamo.pdf
16,MICHOACAN,39,HUIRAMBA,4,12,12,17,517,76,975,,64,455,1639,70,12,63,,,,,,,,,,,,,,78,,,,526,,4492,1,235,4728,7103,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Huiramba.pdf
16,MICHOACAN,40,INDAPARAPEO,13,27,27,498,1134,1485,161,2226,,450,511,,,827,,,,,,,339,77,13,96,452,36,30,37,,,,,,8372,0,278,8650,14400,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/12%20Hidalgo/Indaparapeo.pdf
16,MICHOACAN,41,IRIMBO,8,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,13220,
16,MICHOACAN,42,IXTLAN,12,22,23,396,1956,2140,670,79,,758,32,,,,,,,,,,168,43,68,18,,404,,,141,,,,,6873,115,245,7233,12125,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Ixtlan.pdf
16,MICHOACAN,43,JACONA,30,88,88,2681,3935,4514,1112,665,558,4588,1063,1963,,107,,,,,,,1084,123,104,129,,907,,,,,,,,23533,22,707,24262,54444,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/07%20Zacapu/Jacona.pdf
16,MICHOACAN,44,JIMENEZ,14,25,25,94,162,2636,54,66,3048,265,,53,72,,,,,,,,51,10,2,13,277,9,37,25,,,,,,6874,1,267,7142,13274,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Jim%C3%A9nez.pdf
16,MICHOACAN,45,JIQUILPAN,30,67,68,1723,1701,4908,292,426,3589,3340,481,,,,,,,,,,385,32,46,85,,,,,,,,,,17008,4,654,17666,34909,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Jiquilpan.pdf
16,MICHOACAN,46,JOSE SIXTO VERDUZCO,20,41,42,136,327,387,160,785,4265,1614,939,3454,,9,,,,,,,214,31,15,68,40,6,3,1,,,,,,12454,0,561,13015,21422,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Jos%C3%A9%20Sixto%20Verduzco.PDF
16,MICHOACAN,47,JUAREZ,12,20,21,32,222,63,82,1196,1102,334,1235,,13,2356,,,,,,,216,59,6,48,44,4,2,3,,,,,,7017,1,248,7266,11090,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Ju%C3%A1rez.pdf
16,MICHOACAN,48,JUNGAPEO,16,30,30,241,626,2720,365,182,106,3277,31,,,34,,,,,,,637,65,100,85,501,23,36,44,,,,,,9073,1,347,9421,15529,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Jungapeo.pdf
16,MICHOACAN,49,LAGUNILLAS,4,10,10,156,232,234,344,13,311,121,987,,766,11,,,,,,,,,,,,,,82,,,,398,,3655,0,159,3814,5549,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Lagunillas.pdf
16,MICHOACAN,50,LAZARO CARDENAS,70,241,242,6077,6707,4385,2430,2158,6831,32121,1353,1663,,1037,,,,,,,1937,227,403,369,1131,129,65,39,,,,,,69062,25,2077,71164,146214,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/24%20L%C3%A1zaro%20C%C3%A1rdenas/L%C3%A1zaro%20C%C3%A1rdenas.pdf
16,MICHOACAN,51,MADERO,14,28,28,512,2405,,2649,545,,1146,,25,,15,,,,,,,856,254,119,34,,702,,,,,,,,9262,7,403,9672,14800,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Madero.pdf
16,MICHOACAN,52,MARAVATIO,44,115,116,,1699,6367,2029,1958,704,12310,215,,,764,,,,,,,2399,305,205,327,,,,969,,,,,,30251,7,1401,31659,67822,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Maravat%C3%ADo.pdf
16,MICHOACAN,53,MARCOS CASTELLANOS,11,21,22,1869,276,68,109,1844,,872,,954,,,,,,,,,,,,,193,31,9,,,,50,,,6275,4,229,6508,10608,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Marcos%20Castellanos.pdf
16,MICHOACAN,54,MORELIA,389,1107,1110,143156,51589,10262,8686,11092,14394,88766,4639,,,9032,,,,,,,7861,816,1460,2053,,,11120,,,,,,,364926,389,12965,378280,671572,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/16%20Morelia/Morelia%2016_2.pdf
16,MICHOACAN,55,MORELOS,9,16,16,,,,397,142,2056,1637,,,,,,,,,,,,,,,,,,,,,,,200,4432,1,183,4616,8326,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Morelos.pdf
16,MICHOACAN,56,MUGICA,24,59,60,277,600,298,6670,460,,7041,517,,,,,,,,,,1419,118,371,108,132,27,5,5,,,,,,18048,16,733,18797,35326,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Mugica.pdf
16,MICHOACAN,57,NAHUATZEN,10,28,28,2241,1365,2286,510,1805,1349,1272,140,,,48,,,,,,,,,,,,,,,,,100,,,11116,199,710,12025,16279,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Nahuatzen.pdf
16,MICHOACAN,58,NOCUPETARO,13,18,18,,2447,,63,1954,3,354,11,,,4,,,,,,,,,,,,,,,,,33,,,4869,0,183,5052,7340,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Nocup%C3%A9taro.pdf
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,28,29,292,2003,1659,298,467,2187,2205,49,175,,,,,,,,,,,,,541,29,23,22,,,,14,,9964,3,326,10293,15656,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/14%20Uruapan/Nuevo%20Parangaricutiro.pdf
16,MICHOACAN,60,NUEVO URECHO,9,14,14,,57,43,550,105,1909,1389,11,15,,,,,,,,,233,45,55,29,,,,20,,,,,,4461,0,132,4593,6470,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/NuevoUrecho.pdf
16,MICHOACAN,61,NUMARAN,9,17,18,192,2146,1345,99,64,536,1660,,109,,,,,,,,,90,5,17,26,,,,,,,,,,6289,0,153,6442,10103,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Numar%C3%A1n.pdf
16,MICHOACAN,62,OCAMPO,11,28,28,218,1265,160,2272,3507,,734,,,,,,,,,,,,,,,304,41,7,18,,,636,,,9162,0,435,9597,17783,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/13%20Zit%C3%A1cuaro/Ocampo.pdf
16,MICHOACAN,63,PAJACUARAN,18,35,35,149,119,193,355,984,2868,3444,,,,,,,,,,,751,73,37,135,52,3,7,2,,,,,,9172,0,228,9400,16653,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Pajacuar%C3%A1n.pdf
16,MICHOACAN,64,PANINDICUARO,19,32,32,31,115,84,520,643,2942,3009,,,,,,,,,,,782,58,57,111,14,3,1,1,,,,,,8371,1,389,8761,15133,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Panind%C3%ADcuaro.pdf
16,MICHOACAN,65,PARACUARO,16,35,35,318,440,1861,252,656,,4709,,,,,,,,,,,433,29,61,71,212,6,23,15,,,,,,9086,0,286,9372,20136,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/23%20Apatzing%C3%A1n/Par%C3%A1cuaro.pdf
16,MICHOACAN,66,PARACHO,15,46,46,698,460,1366,665,780,822,2486,3688,288,703,669,,2488,750,,,,,,,,,,,100,,,,,168,16131,8,796,16935,26498,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Paracho.pdf
16,MICHOACAN,67,PATZCUARO,43,124,125,3290,4099,2245,1629,3460,4031,7301,5669,949,510,1675,,,,,,,1447,234,159,324,1198,176,64,49,,,,,,38509,27,1949,40485,74755,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Patzcuaro.pdf
16,MICHOACAN,68,PENJAMILLO,19,31,32,94,1396,856,224,911,1502,2905,62,,,,,,,,,,,,,,,140,,,78,,,,,8168,0,349,8517,16117,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Penjamillo.pdf
16,MICHOACAN,69,PERIBAN,12,36,36,2763,1529,140,116,1157,1104,733,310,4203,114,,,,,,,,153,19,5,65,,,208,,,,,,,12619,6,409,13034,22888,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Perib%C3%A1n.pdf
16,MICHOACAN,70,LA PIEDAD,61,144,145,18527,1496,414,751,870,2564,11661,,186,615,564,,,,,,,859,85,182,199,1297,262,84,19,,,,,,40635,14,1047,41696,85014,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/La%20Piedad.pdf
16,MICHOACAN,71,PUREPERO,11,23,24,68,1867,2432,1808,78,517,1063,166,272,,,,,,,,,,,,,,,,,,,,,,8271,0,274,8545,14106,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/07%20Zacapu/Pur%C3%A9pero.pdf
16,MICHOACAN,72,PURUANDIRO,46,110,111,1128,5743,1003,972,724,7867,4363,821,1332,97,1101,,,,,,,537,118,90,100,748,148,41,47,,,,,,26980,4,1157,28141,62789,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Puru%C3%A1ndiro.pdf
