ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,28,CHURINTZIO,8,13,13,1499,73,356,111,86,,906,,,,,,,,,,,3062,0,70,3132,6672,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Churintzio.pdf
16,MICHOACAN,29,CHURUMUCO,13,21,21,97,4554,145,88,657,,325,,,,,,,,,,,6149,0,292,6441,10135,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Churumuco.pdf
16,MICHOACAN,30,ECUANDUREO,13,24,25,2595,401,80,625,296,,1359,,,,,,,,,,,5867,3,232,6102,11984,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Ecuandureo.pdf
16,MICHOACAN,31,EPITACIO HUERTA,11,21,21,2848,1071,909,819,342,171,903,14,,,20,,,,,,,7112,1,283,7396,12128,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Epitacio%20Huerta.pdf
16,MICHOACAN,32,ERONGARICUARO,9,20,20,,2333,476,104,80,,3111,1088,,,,,,,,,,7651,0,482,8133,10316,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Erongar%C3%ADcuaro.pdf
16,MICHOACAN,33,GABRIEL ZAMORA,13,30,30,172,262,1485,3897,1215,370,3102,175,835,,,,,,,,,11534,0,373,11907,16927,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Gabriel%20Zamora.pdf
16,MICHOACAN,34,HIDALGO,71,165,166,6471,7256,2618,11943,1589,8955,10815,532,,,,,,,,,,55055,42,3121,58218,95524,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/12%20Hidalgo/Hidalgo.pdf
16,MICHOACAN,35,LA HUACANA,28,50,50,244,1694,1241,4139,1037,,7234,84,,,,,,,,,,15748,3,1088,16839,24149,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/La%20Huacana.pdf
16,MICHOACAN,36,HUANDACAREO,10,18,18,239,150,1851,423,302,350,2045,55,687,,,,,,,,,6257,3,213,6473,10847,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Huandacareo.pdf
16,MICHOACAN,37,HUANIQUEO,11,14,14,67,39,1301,300,1117,153,571,108,188,,59,,,,,,,3908,1,242,4151,7960,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Huaniqueo.pdf
16,MICHOACAN,38,HUETAMO,44,71,71,,650,11307,453,333,170,3693,180,111,,,,,,,,,17279,6,801,18086,34332,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Huetamo.pdf
16,MICHOACAN,39,HUIRAMBA,4,12,12,17,517,76,975,,64,455,1639,70,12,63,,,,,,,4492,1,235,4728,7103,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Huiramba.pdf
16,MICHOACAN,40,INDAPARAPEO,13,27,27,498,1134,1485,318,2426,,618,511,,,827,,,,,,,8372,0,278,8650,14400,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/12%20Hidalgo/Indaparapeo.pdf
16,MICHOACAN,41,IRIMBO,8,21,21,,,,,,,,,,,,,,,,,,0,0,0,0,13220,
16,MICHOACAN,42,IXTLAN,12,22,23,228,2724,3159,187,107,,599,74,,,283,,,,,,,6873,115,245,7233,12125,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Ixtlan.pdf
16,MICHOACAN,43,JACONA,30,88,88,396,1956,2140,782,165,,857,32,,,,,,,,,,23533,22,707,24262,54444,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/07%20Zacapu/Jacona.pdf
16,MICHOACAN,44,JIMENEZ,14,25,25,2681,3935,4514,1587,1151,558,5067,1063,1963,,107,,,,,,,6874,1,267,7142,13274,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Jim%C3%A9nez.pdf
16,MICHOACAN,45,JIQUILPAN,30,67,68,94,162,2636,77,94,3048,290,,53,72,,,,,,,,17008,4,654,17666,34909,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Jiquilpan.pdf
16,MICHOACAN,46,JOSE SIXTO VERDUZCO,20,41,42,1723,1701,4908,459,612,3589,3535,481,,,,,,,,,,12454,0,561,13015,21422,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Jos%C3%A9%20Sixto%20Verduzco.PDF
16,MICHOACAN,47,JUAREZ,12,20,21,136,327,387,253,906,4265,1728,939,3454,,9,,,,,,,7017,1,248,7266,11090,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Ju%C3%A1rez.pdf
16,MICHOACAN,48,JUNGAPEO,16,30,30,32,222,63,186,1322,1102,433,1235,,13,2356,,,,,,,9073,1,347,9421,15529,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/Jungapeo.pdf
16,MICHOACAN,49,LAGUNILLAS,4,10,10,241,626,2720,660,468,106,3583,31,,,34,,,,,,,3655,0,159,3814,5549,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Lagunillas.pdf
16,MICHOACAN,50,LAZARO CARDENAS,70,241,242,156,232,234,344,13,311,121,987,,766,11,,,,,,,69062,25,2077,71164,146214,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/24%20L%C3%A1zaro%20C%C3%A1rdenas/L%C3%A1zaro%20C%C3%A1rdenas.pdf
16,MICHOACAN,51,MADERO,14,28,28,6185,6799,4464,3462,3163,6941,33783,1370,1690,,1043,,,,,,,9262,7,403,9672,14800,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Madero.pdf
16,MICHOACAN,52,MARAVATIO,44,115,116,512,2405,,3122,974,,1507,,25,,15,,,,,,,30251,7,1401,31659,67822,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Maravat%C3%ADo.pdf
16,MICHOACAN,53,MARCOS CASTELLANOS,11,21,22,,1699,6367,3084,3072,704,13377,215,,,764,,,,,,,6275,4,229,6508,10608,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Marcos%20Castellanos.pdf
16,MICHOACAN,54,MORELIA,389,1107,1110,1869,276,68,109,1844,,872,,954,,,,,,,,,364926,389,12965,378280,671572,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/16%20Morelia/Morelia%2016_2.pdf
16,MICHOACAN,55,MORELOS,9,16,16,143156,51589,10262,12444,15146,14394,93144,4639,,,9032,,,,,,,4432,1,183,4616,8326,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Morelos.pdf
16,MICHOACAN,56,MUGICA,24,59,60,,,,397,142,2056,1637,,,,,,,,,,,18048,16,733,18797,35326,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/Mugica.pdf
16,MICHOACAN,57,NAHUATZEN,10,28,28,277,600,298,7387,1046,,7754,517,,,,,,,,,,11116,199,710,12025,16279,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Nahuatzen.pdf
16,MICHOACAN,58,NOCUPETARO,13,18,18,2241,1365,2286,510,1805,1349,1272,140,,,48,,,,,,,4869,0,183,5052,7340,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/19%20Tac%C3%A1mbaro/Nocup%C3%A9taro.pdf
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,28,29,,2447,,63,1954,3,354,11,,,4,,,,,,,9964,3,326,10293,15656,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/14%20Uruapan/Nuevo%20Parangaricutiro.pdf
16,MICHOACAN,60,NUEVO URECHO,9,14,14,292,2003,1659,298,467,2187,2205,49,175,,,,,,,,,4461,0,132,4593,6470,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/22%20M%C3%BAgica/NuevoUrecho.pdf
16,MICHOACAN,61,NUMARAN,9,17,18,,57,43,678,218,1909,1510,11,15,,,,,,,,,6289,0,153,6442,10103,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/Numar%C3%A1n.pdf
16,MICHOACAN,62,OCAMPO,11,28,28,218,1265,160,2272,3507,,734,,,,,,,,,,,9162,0,435,9597,17783,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/13%20Zit%C3%A1cuaro/Ocampo.pdf
16,MICHOACAN,63,PAJACUARAN,18,35,35,149,119,193,659,1338,2868,3782,,,,,,,,,,,9172,0,228,9400,16653,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Pajacuar%C3%A1n.pdf
16,MICHOACAN,64,PANINDICUARO,19,32,32,31,115,84,838,987,2942,3355,,,,,,,,,,,8371,1,389,8761,15133,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Panind%C3%ADcuaro.pdf
16,MICHOACAN,65,PARACUARO,16,35,35,318,440,1861,440,850,,4921,,,,,,,,,,,9086,0,286,9372,20136,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/23%20Apatzing%C3%A1n/Par%C3%A1cuaro.pdf
16,MICHOACAN,66,PARACHO,15,46,46,698,460,1366,665,780,822,2486,3688,288,703,669,,2488,750,,,,16131,8,796,16935,26498,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/05%20Paracho/Paracho.pdf
16,MICHOACAN,67,PATZCUARO,43,124,125,3290,4099,2245,2307,4221,4031,8026,5669,949,510,1675,,,,,,,38509,27,1949,40485,74755,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Patzcuaro.pdf
16,MICHOACAN,68,PENJAMILLO,19,31,32,94,1396,856,224,911,1502,2905,62,,,,,,,,,,8168,0,349,8517,16117,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Penjamillo.pdf
16,MICHOACAN,69,PERIBAN,12,36,36,2763,1529,140,178,1251,1104,819,310,4203,114,,,,,,,,12619,6,409,13034,22888,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/21%20Coalcom%C3%A1n/Perib%C3%A1n.pdf
16,MICHOACAN,70,LA PIEDAD,61,144,145,18662,1505,418,1179,1311,2577,12225,,191,616,565,,,,,,,40635,14,1047,41696,85014,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/01%20La%20Piedad/La%20Piedad.pdf
16,MICHOACAN,71,PUREPERO,11,23,24,64,1802,2315,1715,74,470,1000,161,266,,,,,,,,,8271,0,274,8545,14106,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/07%20Zacapu/Pur%C3%A9pero.pdf
16,MICHOACAN,72,PURUANDIRO,46,110,111,1128,5743,1003,972,724,7867,4363,821,1332,97,1101,,,,,,,26980,4,1157,28141,62789,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/02%20Puru%C3%A1ndiro/Puru%C3%A1ndiro.pdf
16,MICHOACAN,73,QUERENDARO,14,22,23,1487,1930,,258,896,28,936,,940,,206,,,,,,,6681,0,258,6939,11591,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/12%20Hidalgo/Quer%C3%A9ndaro.pdf
16,MICHOACAN,74,QUIROGA,12,35,35,2510,833,351,3943,160,979,2387,140,231,,246,,,,,,,12164,0,634,12798,18623,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Quiroga.pdf
16,MICHOACAN,75,COJUMATLAN DE REGULES,9,20,20,168,656,2546,866,273,,337,,,,,,,,,,,5579,1,146,5726,8951,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Cojumatl%C3%A1n.pdf
16,MICHOACAN,76,LOS REYES,35,104,105,6033,1229,12425,1457,1272,,7012,716,,,70,,,,,,,30934,1,1197,32132,61411,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/09%20Los%20Reyes/Los%20Reyes.pdf
16,MICHOACAN,77,SAHUAYO,49,103,104,15503,1049,237,1213,2639,2132,7950,144,,,1316,,,,,,,34024,7,913,34944,58840,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/04%20Jiquilpan/Sahuayo.pdf
16,MICHOACAN,78,SAN LUCAS,20,30,30,103,3553,94,369,247,,2279,18,15,,,,,,,,,6678,3,366,7047,14931,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/18%20Huetamo/San%20Lucas.pdf
16,MICHOACAN,79,SANTA ANA MAYA,11,23,24,110,104,23,2243,1013,275,2195,,,,,,,,,,,5987,3,213,6203,12288,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/08%20Tar%C3%ADmbaro/Santa%20Ana%20Maya.pdf
16,MICHOACAN,80,SALVADOR ESCALANTE,24,61,61,884,4748,3566,1218,2189,3770,4310,365,81,,,,,,,,,21301,8,1059,22368,38067,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/15%20P%C3%A1tzcuaro/Salvador%20Escalante.pdf
16,MICHOACAN,81,SENGUIO,11,29,29,237,3834,560,690,525,,2865,,,,,,,,,,,9505,1,401,9907,16263,https://iem.org.mx/documentos/proceso_electoral_2023_2024/Actas%20de%20Computo/ACTAS%20DE%20C%C3%93MPUTO%20MUNICIPALES/03%20Maravat%C3%ADo/Senguio.pdf
