CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PRD_PESM,C_PT_PVEM,C_PT_MORENA,C_PT_PESM,C_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,59,3,3,19,25,50,23,20,120,228,2,0,2,0,0,0,0,0,0,0,6,16,0,0,1,0,5,0,0,0,0,0,0,517,0,17,534,1711
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,60,3,3,9,46,35,31,6,140,244,3,0,1,0,0,0,0,0,0,0,10,11,4,2,3,3,0,0,0,0,0,0,0,548,0,22,570,1930
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,61,2,2,18,39,34,22,20,123,191,2,0,1,0,0,0,0,0,0,0,13,3,6,4,6,1,0,1,0,0,0,0,0,484,0,5,489,1448
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,62,3,3,27,26,34,22,19,130,218,3,0,5,3,0,0,0,0,0,0,22,0,5,8,7,2,1,3,0,0,0,0,0,535,1,23,559,1561
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,63,4,4,25,54,52,27,12,195,265,5,0,5,2,0,0,0,0,0,0,19,7,5,10,12,0,2,0,0,0,0,0,0,697,0,33,730,2397
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,64,3,3,18,59,30,44,34,155,265,3,0,3,1,0,0,0,0,0,0,12,9,5,2,15,2,1,0,0,0,0,0,0,658,1,38,697,1735
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,65,3,3,17,38,38,20,18,178,211,6,0,2,1,0,0,0,0,0,0,24,1,9,4,6,2,0,0,0,0,0,0,0,575,0,33,608,1655
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,66,3,3,21,61,51,21,22,152,263,6,0,1,7,0,0,0,0,0,0,32,3,2,3,4,1,0,2,0,0,0,0,0,652,0,24,676,1698
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,67,2,2,22,41,37,16,14,127,150,3,0,4,0,0,0,0,0,0,0,14,1,2,3,8,0,0,1,0,0,0,0,0,443,0,17,460,1003
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,68,3,3,32,40,39,20,36,251,320,13,0,7,4,0,0,0,0,0,0,28,1,2,1,17,0,2,0,0,0,0,0,0,813,0,26,839,1754
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,69,2,2,39,58,55,27,31,235,297,1,0,2,3,0,0,0,0,0,0,19,1,4,0,5,2,0,1,0,0,0,0,0,780,0,15,795,1319
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,70,2,2,16,20,25,14,15,94,128,2,0,2,1,0,0,0,0,0,0,16,0,3,2,12,2,0,0,0,0,0,0,0,352,0,33,385,980
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,71,2,2,15,24,18,27,9,156,228,6,0,1,0,0,0,0,0,0,0,17,4,4,7,1,0,0,0,0,0,0,0,0,517,0,26,543,1356
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,72,2,2,15,30,16,26,16,106,137,14,0,3,0,0,0,0,0,0,0,18,2,2,1,1,0,0,0,0,0,0,0,0,387,0,10,397,977
