CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,35,B,1,0,B,0,188,4,0,0,78,0,60,1,24,0,0,0,0,0,0,0,0,0,0,0,34,389,0,5,394,616,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,36,B,1,0,B,0,107,1,0,0,55,0,33,0,29,0,0,0,0,0,0,0,0,0,0,0,30,255,1,8,264,439,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,37,B,1,0,B,0,66,0,0,1,18,0,49,0,17,0,0,0,0,0,0,0,0,0,0,0,11,162,0,6,168,239,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,38,B,1,0,B,0,42,0,0,1,77,0,65,1,23,0,0,0,0,0,0,0,0,0,0,0,16,225,0,8,233,350,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,4,BENITO JUAREZ,39,B,1,0,B,0,45,0,0,2,13,0,52,0,22,0,0,0,0,0,0,0,0,0,0,0,6,140,0,2,142,187,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,40,B,1,0,B,0,113,12,4,84,9,12,41,17,19,10,3,0,0,0,0,0,22,3,2,1,8,360,0,0,360,660,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,40,C,1,0,C01,0,122,26,3,76,6,7,39,29,17,18,5,0,0,0,0,0,12,1,2,0,9,372,0,14,386,660,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,40,C,2,0,C02,0,108,26,9,84,14,7,49,13,16,8,3,0,0,0,0,0,26,2,3,3,2,373,0,4,377,660,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,40,C,3,0,C03,0,100,20,3,78,9,11,55,20,11,19,1,0,0,0,0,0,20,0,2,1,9,359,0,9,368,660,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,40,C,4,0,C04,0,95,25,5,77,15,15,49,18,16,12,5,0,0,0,0,0,17,1,3,0,8,361,0,14,375,659,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,40,C,5,0,C05,0,93,29,5,76,9,6,46,20,18,13,2,0,0,0,0,0,25,1,0,3,11,357,1,12,370,659,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,41,B,1,0,B,0,134,25,13,92,13,15,51,17,23,19,4,0,0,0,0,0,10,1,0,4,7,428,0,9,437,704,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,41,C,1,0,C01,0,156,37,13,82,5,5,34,15,24,13,1,0,0,0,0,0,15,3,3,2,5,413,1,16,430,704,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,41,C,2,0,C02,0,144,26,9,117,9,8,40,22,15,8,1,0,0,0,0,0,17,2,2,1,9,430,0,14,444,704,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,42,B,1,0,B,0,114,30,4,99,15,6,43,12,19,9,10,0,0,0,0,0,9,1,0,3,11,385,0,15,400,635,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,43,B,1,0,B,0,64,9,4,62,7,3,43,17,15,5,1,0,0,0,0,0,12,0,2,0,6,250,0,13,263,418,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,43,C,1,0,C01,0,73,10,2,73,6,4,38,13,13,7,2,0,0,0,0,0,2,0,3,0,4,250,0,8,258,418,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,44,B,1,0,B,0,94,28,2,81,14,11,51,13,18,7,18,0,0,0,0,0,8,1,1,2,3,352,1,13,366,707,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,44,C,1,0,C01,0,84,22,6,89,8,9,56,15,19,8,12,0,0,0,0,0,4,1,0,0,6,339,0,18,357,707,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,45,B,1,0,B,0,71,20,4,58,10,6,49,19,13,18,0,0,0,0,0,0,16,3,1,3,7,298,0,8,306,482,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,45,C,1,0,C01,0,65,19,1,81,4,5,38,21,20,8,5,0,0,0,0,0,17,6,3,0,6,299,0,11,310,481,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,46,B,1,0,B,0,61,28,9,70,10,5,36,14,12,11,0,0,0,0,0,0,11,2,0,0,4,273,0,5,278,396,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,46,C,1,0,C01,0,69,28,4,64,4,8,20,7,7,3,2,0,0,0,0,0,10,2,1,0,3,232,0,11,243,395,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,47,B,1,0,B,0,94,15,3,56,7,3,32,14,9,10,1,0,0,0,0,0,8,0,0,0,5,257,0,12,269,396,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,47,C,1,0,C01,0,91,18,0,50,8,2,44,12,11,4,2,0,0,0,0,0,7,0,0,0,7,256,0,6,262,395,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,49,B,1,0,B,0,99,34,1,1,13,13,69,16,21,3,1,0,0,0,0,0,110,0,0,0,0,381,0,8,389,598,ACTA DE CASILLA,,,
