CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,14,PINOS,38,PINOS,1127,3,3,0,378,0,15,5,0,647,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1053,0,28,1081,1605
2,32,ZACATECAS,14,PINOS,38,PINOS,1128,1,1,0,79,0,10,10,0,126,3,1,6,0,0,0,0,0,0,0,0,0,0,0,235,0,14,249,443
2,32,ZACATECAS,14,PINOS,38,PINOS,1129,1,1,0,115,0,4,7,0,159,4,0,4,0,0,0,0,0,0,0,0,0,0,0,293,0,22,315,580
2,32,ZACATECAS,14,PINOS,38,PINOS,1130,1,1,0,171,0,8,11,0,208,2,4,8,0,0,0,0,0,0,0,0,0,0,0,412,1,28,441,650
2,32,ZACATECAS,14,PINOS,38,PINOS,1131,2,2,0,191,0,7,7,0,273,5,0,3,0,0,0,0,0,0,0,0,0,0,0,486,1,30,517,818
2,32,ZACATECAS,14,PINOS,38,PINOS,1132,1,1,0,64,0,5,2,0,91,0,0,3,0,0,0,0,0,0,0,0,0,0,0,165,0,11,176,283
2,32,ZACATECAS,14,PINOS,38,PINOS,1133,1,1,0,85,0,1,0,0,70,1,0,2,0,0,0,0,0,0,0,0,0,0,0,159,0,7,166,285
2,32,ZACATECAS,14,PINOS,38,PINOS,1134,2,2,0,316,0,11,12,0,174,6,2,1,0,0,0,0,0,0,0,0,0,0,0,522,0,18,540,812
2,32,ZACATECAS,14,PINOS,38,PINOS,1135,1,1,0,229,0,10,8,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,29,481,695
2,32,ZACATECAS,14,PINOS,38,PINOS,1136,1,1,0,135,0,6,9,0,134,4,2,4,0,0,0,0,0,0,0,0,0,0,0,294,0,19,313,520
2,32,ZACATECAS,14,PINOS,38,PINOS,1137,1,1,0,103,0,10,6,0,198,6,3,6,0,0,0,0,0,0,0,0,0,0,0,332,0,20,352,530
2,32,ZACATECAS,14,PINOS,38,PINOS,1138,3,3,0,244,0,24,23,0,548,5,5,12,0,0,0,0,0,0,0,0,0,0,0,861,0,45,906,1719
2,32,ZACATECAS,14,PINOS,38,PINOS,1139,1,1,0,225,0,16,12,0,180,2,0,4,0,0,0,0,0,0,0,0,0,0,0,439,0,25,464,720
2,32,ZACATECAS,14,PINOS,38,PINOS,1140,1,1,0,96,0,5,4,0,62,0,1,2,0,0,0,0,0,0,0,1,0,0,0,171,0,10,181,264
2,32,ZACATECAS,14,PINOS,38,PINOS,1141,1,1,0,40,0,3,2,0,39,1,0,1,0,0,0,0,0,0,0,0,0,0,0,86,0,8,94,136
2,32,ZACATECAS,14,PINOS,38,PINOS,1142,1,1,0,101,0,8,12,0,164,1,2,5,0,0,0,0,0,0,0,0,0,0,0,293,0,19,312,527
2,32,ZACATECAS,14,PINOS,38,PINOS,1143,1,1,0,105,0,10,4,0,180,2,1,2,0,0,0,0,0,0,0,0,0,0,0,304,0,32,336,631
2,32,ZACATECAS,14,PINOS,38,PINOS,1144,1,1,0,70,0,0,4,0,239,1,2,4,0,0,0,0,0,0,0,0,0,0,0,320,0,28,348,665
2,32,ZACATECAS,14,PINOS,38,PINOS,1145,1,1,0,45,0,7,7,0,132,3,1,4,0,0,0,0,0,0,0,0,0,0,0,199,0,16,215,319
2,32,ZACATECAS,14,PINOS,38,PINOS,1146,1,1,0,35,0,4,4,0,110,1,0,3,0,0,0,0,0,0,0,0,0,0,0,157,0,15,172,275
2,32,ZACATECAS,14,PINOS,38,PINOS,1147,1,1,0,23,0,7,11,0,181,5,2,2,0,0,0,0,0,0,0,0,0,0,0,231,0,17,248,403
2,32,ZACATECAS,14,PINOS,38,PINOS,1148,1,1,0,122,0,9,4,0,178,4,2,1,0,0,0,0,0,0,0,0,0,0,0,320,0,24,344,536
