CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C,2,0,C02,0,9,31,9,20,30,90,102,51,0,0,8,10,2,0,0,0,2,5,0,0,0,1,0,0,1,0,0,371,0,7,378,747,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,B,1,0,B,0,4,22,4,44,22,92,102,114,0,0,10,4,1,1,0,0,2,2,0,0,0,1,1,0,0,0,0,426,0,16,442,704,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,B,1,0,B,0,7,22,5,10,11,81,65,65,0,0,4,2,0,0,1,0,3,1,0,1,0,0,2,0,4,0,0,284,0,15,299,515,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,C,1,0,C01,0,2,7,16,14,13,87,93,40,0,0,2,1,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,284,0,7,291,514,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,B,1,0,B,0,6,13,5,14,7,96,79,55,0,0,4,0,2,0,0,0,2,5,0,0,0,1,1,0,0,0,0,290,0,4,294,434,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,B,1,0,B,0,6,25,3,11,7,90,80,93,0,0,4,1,2,0,0,0,1,2,0,1,0,1,1,0,1,0,0,329,0,6,335,473,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,B,1,0,B,0,5,18,0,18,10,62,90,75,0,0,7,1,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,293,0,10,303,438,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,C,1,0,C01,0,3,15,1,16,15,50,62,77,0,0,4,1,0,1,0,0,2,6,0,1,0,0,3,0,0,0,0,257,0,8,265,438,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,B,1,0,B,0,5,31,6,16,16,104,115,89,0,0,26,4,2,0,0,0,1,10,0,0,1,0,1,0,0,0,0,427,0,17,444,750,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,C,1,0,C01,0,6,35,2,29,10,105,145,106,0,0,19,2,2,0,0,0,6,5,0,0,1,0,1,0,3,0,0,477,0,13,490,749,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,B,1,0,B,0,4,18,1,20,10,83,62,98,0,0,10,1,0,2,0,0,1,5,0,0,0,0,3,0,2,0,0,320,0,7,327,533,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,C,1,0,C01,0,3,17,4,22,5,94,77,67,0,0,10,2,2,0,0,0,1,3,0,0,0,1,0,2,0,0,0,310,0,9,319,532,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,B,1,0,B,0,13,18,2,7,3,57,47,45,0,0,5,0,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,204,0,6,210,324,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,B,1,0,B,0,10,20,1,10,8,195,84,50,0,0,10,0,3,0,0,0,1,3,0,1,0,0,2,0,0,0,0,398,0,7,405,599,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,B,1,0,B,0,10,16,3,11,6,169,70,60,0,0,7,1,0,0,0,0,5,5,0,0,0,1,2,0,3,0,2,371,0,9,380,582,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,B,1,0,B,0,16,16,0,5,1,54,32,25,0,0,12,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,166,0,6,172,250,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,B,1,0,B,0,3,29,1,22,3,77,79,57,0,0,5,4,2,1,0,0,2,4,0,0,0,0,2,0,0,0,0,291,0,9,300,426,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,B,1,0,B,0,4,12,16,19,6,86,83,60,0,0,7,2,1,0,0,0,3,8,0,0,0,1,1,0,1,0,0,310,0,5,315,522,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,C,1,0,C01,0,8,15,8,15,16,89,103,56,0,0,10,4,1,0,0,0,4,7,0,0,0,0,1,0,1,0,0,338,0,8,346,521,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,B,1,0,B,0,2,9,3,18,9,64,61,57,0,0,10,3,2,0,0,0,2,4,2,2,0,0,1,0,2,0,0,251,0,6,257,440,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,C,1,0,C01,0,3,8,15,19,10,52,62,62,0,0,9,0,3,0,0,0,1,5,0,0,0,0,4,0,0,0,1,254,0,11,265,440,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,B,1,0,B,0,0,9,6,24,10,76,64,71,0,0,7,3,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,276,0,12,288,470,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,C,1,0,C01,0,9,16,4,21,12,76,66,66,0,0,7,2,2,0,0,0,1,2,0,0,2,0,2,0,1,0,0,289,0,8,297,469,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,B,1,0,B,0,0,1,0,4,4,13,28,11,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,69,0,8,77,112,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,B,1,0,B,0,0,11,5,20,3,29,22,42,0,0,17,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,152,0,11,163,254,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,B,1,0,B,0,15,20,5,12,13,58,60,24,0,0,55,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,270,0,13,283,396,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,B,1,0,B,0,2,5,4,5,12,42,39,40,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156,0,11,167,228,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,B,1,0,B,0,7,10,0,12,27,115,97,31,0,0,11,3,0,0,0,0,0,5,0,0,0,3,4,0,1,0,0,326,0,21,347,550,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,B,1,0,B,0,8,33,1,14,23,67,44,51,0,0,13,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,257,0,16,273,408,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,C,1,0,C01,0,4,23,4,10,26,61,67,45,0,0,13,2,1,0,0,0,1,2,0,0,0,0,2,0,2,0,3,266,0,19,285,408,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,B,1,0,B,0,1,7,2,14,5,9,12,6,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,2,64,112,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,B,1,0,B,0,2,9,3,7,13,27,41,7,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,114,0,7,121,198,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,B,1,0,B,0,6,25,6,30,101,16,96,21,0,0,18,18,0,0,0,0,3,1,0,2,0,3,0,0,2,0,0,348,0,12,360,634,Recuento_Total,,,
