CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,56,2,2,147,18,14,10,12,57,10,290,61,4,109,6,5,11,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,762,0,51,813,1351
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,58,2,2,171,33,17,19,6,32,16,220,74,11,65,15,13,3,0,0,0,1,2,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,708,0,49,757,1433
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,59,5,5,351,44,16,46,12,85,33,550,133,9,137,32,25,7,1,1,0,1,3,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1500,0,93,1593,3233
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,60,2,2,77,26,9,22,6,21,5,149,37,2,31,7,3,1,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,405,0,19,424,842
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,61,4,4,170,75,39,52,17,130,28,497,217,6,83,36,6,23,0,1,0,2,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1392,0,74,1466,2652
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,62,4,4,300,48,49,99,24,177,30,445,52,13,56,45,12,24,1,0,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1387,0,69,1456,2633
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,63,2,2,41,28,5,31,11,35,14,212,22,5,8,1,1,83,0,0,0,1,0,0,1,36,0,2,0,0,0,0,0,0,0,0,0,0,0,537,0,34,571,1037
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,64,2,2,94,39,11,25,18,37,7,181,30,2,12,8,1,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,30,507,875
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,65,3,3,53,13,5,30,1,30,17,239,107,2,151,12,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,670,0,36,706,1681
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,66,4,4,162,38,18,48,12,45,25,388,116,4,95,13,12,3,7,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,999,0,89,1088,2194
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,67,3,3,230,62,27,36,17,60,26,358,110,3,75,27,18,4,1,0,0,3,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1062,0,64,1126,1989
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,68,4,4,120,13,13,19,11,16,10,294,134,1,40,10,2,127,1,0,0,1,1,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,841,0,58,899,2328
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,69,2,2,154,45,12,36,6,32,9,258,157,2,40,8,8,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,777,0,39,816,1235
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,70,3,3,139,24,20,15,6,44,16,408,95,2,179,7,2,8,0,0,0,3,2,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,987,0,53,1040,1722
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,71,2,2,109,22,16,16,6,32,15,272,73,1,146,9,4,6,0,0,0,1,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,752,0,28,780,1264
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,72,3,3,233,19,23,10,3,90,17,440,65,3,263,4,17,5,0,0,0,9,2,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1220,0,66,1286,1993
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,74,3,3,251,27,41,32,34,53,55,380,161,11,109,31,4,18,4,1,0,4,0,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1228,0,28,1256,2024
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,75,3,3,213,29,12,39,8,48,29,229,227,5,58,11,18,15,1,1,0,3,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,953,0,77,1030,1897
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,76,2,2,209,27,15,24,13,24,21,246,142,4,63,8,8,4,2,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,819,0,37,856,1483
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,77,3,3,468,38,26,42,13,37,35,261,96,3,63,13,24,16,3,0,0,12,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1158,0,45,1203,2110
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,78,1,1,49,12,7,12,1,3,2,27,22,0,4,3,3,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,13,165,238
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,79,2,2,89,10,6,24,2,10,10,246,39,3,35,5,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,490,0,23,513,941
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,80,3,3,285,29,43,26,11,37,27,355,87,9,60,16,3,4,2,0,0,7,6,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1017,0,70,1087,1721
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,81,1,1,40,1,18,6,2,6,2,93,20,0,6,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,8,211,333
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,82,1,1,53,13,6,3,1,0,8,74,52,1,1,5,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,12,238,385
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,83,2,2,209,39,13,23,7,17,10,194,72,0,29,5,8,17,3,0,0,11,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,661,0,29,690,1088
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,84,3,3,214,75,41,26,5,17,17,233,136,5,34,17,20,8,2,2,0,7,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,870,0,63,933,1506
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,85,1,1,130,13,8,17,4,9,21,148,21,1,15,10,7,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,411,0,27,438,704
4,17,MORELOS,8,XOCHITEPEC,5,COATLAN DEL RIO,86,2,2,8,10,7,11,354,110,6,105,12,1,32,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,669,0,31,700,963
4,17,MORELOS,8,XOCHITEPEC,5,COATLAN DEL RIO,87,3,3,15,17,5,12,267,130,9,93,12,1,31,6,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,606,0,16,622,1372
4,17,MORELOS,8,XOCHITEPEC,5,COATLAN DEL RIO,88,1,1,2,5,3,12,137,159,5,49,13,0,47,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,446,0,16,462,665
4,17,MORELOS,8,XOCHITEPEC,5,COATLAN DEL RIO,89,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205
