CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,18,NAYARIT,12,SANTA MARIA DEL ORO,17,TEPIC,3,TEPIC 03,807,4,4,28,76,14,77,25,295,446,23,0,0,42,7,6,2,0,2,9,27,0,1,0,1,13,0,8,0,0,1102,1,53,1156,2408
,18,NAYARIT,12,SANTA MARIA DEL ORO,17,TEPIC,3,TEPIC 03,808,2,2,18,29,8,18,5,92,125,14,0,0,9,4,4,0,0,1,0,5,0,0,0,0,1,0,0,0,0,333,0,27,360,763
,18,NAYARIT,10,TEPIC,17,TEPIC,11,TEPIC 11,809,2,2,34,26,2,32,10,142,164,19,0,0,23,4,3,0,0,0,3,11,0,0,0,0,3,0,1,0,0,477,0,8,485,846
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,6,TUXPAN 06,810,2,2,13,17,7,66,9,77,139,90,0,0,45,3,1,1,0,0,5,6,0,0,0,0,2,0,0,0,0,481,0,27,508,835
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,1,TUXPAN 01,811,1,1,39,32,13,34,16,75,64,80,0,0,11,8,5,0,0,1,0,5,0,0,0,1,1,0,0,0,2,387,0,5,392,581
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,1,TUXPAN 01,812,2,2,16,36,18,84,8,103,85,144,0,0,15,5,7,1,0,1,2,4,0,1,0,1,2,0,1,0,0,534,0,10,544,757
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,1,TUXPAN 01,813,1,1,22,30,8,61,7,50,82,52,0,0,5,2,1,1,0,1,0,3,0,2,0,0,3,0,0,0,0,330,0,12,342,505
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,1,TUXPAN 01,814,1,1,14,38,21,25,6,41,62,161,0,0,6,3,5,1,0,0,2,5,0,0,0,0,0,0,0,0,0,390,0,10,400,560
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,2,TUXPAN 02,815,2,2,14,37,11,73,17,79,154,70,0,0,83,7,1,1,0,0,6,13,1,0,0,0,2,1,2,0,1,573,0,8,581,879
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,2,TUXPAN 02,816,2,2,18,26,7,117,26,141,190,78,0,0,101,15,3,1,2,0,6,6,0,1,0,2,5,2,5,0,1,753,0,18,771,1185
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,1,TUXPAN 01,817,1,1,21,21,9,52,5,39,43,33,0,0,2,3,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,248,0,9,257,330
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,1,TUXPAN 01,818,1,1,11,23,3,38,6,18,54,24,0,0,3,5,4,2,0,0,2,4,1,0,0,0,1,0,0,0,0,199,0,1,200,288
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,3,TUXPAN 03,819,1,1,35,91,17,23,9,24,65,27,0,0,15,1,12,1,0,0,2,1,0,1,0,0,4,0,0,0,0,328,0,0,328,463
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,5,TUXPAN 05,820,1,1,8,30,17,8,4,16,40,33,0,0,45,1,5,2,0,2,3,3,0,0,0,0,1,0,0,0,0,218,0,6,224,340
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,5,TUXPAN 05,821,1,1,49,28,30,25,4,29,70,42,0,0,58,3,9,4,1,0,1,5,0,0,1,1,2,0,0,0,0,362,0,10,372,536
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,5,TUXPAN 05,822,2,2,28,37,58,30,6,58,90,158,0,0,74,3,9,2,1,0,3,7,0,2,0,0,0,0,2,0,0,568,0,14,582,865
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,5,TUXPAN 05,823,2,2,32,47,53,48,9,72,100,113,0,0,99,5,20,2,5,2,3,8,0,2,1,3,1,1,2,0,0,628,0,24,652,1036
,18,NAYARIT,4,SANTIAGO IXCUINTLA,18,TUXPAN,4,TUXPAN 04,824,2,2,21,43,6,47,14,83,117,106,0,0,196,5,4,0,1,0,3,12,1,2,0,2,3,0,1,0,0,667,0,29,696,1038
