CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2574,3,3,178,45,18,36,22,49,6,405,7,9,11,3,0,1,0,5,3,0,1,0,0,13,3,0,1,2,1,27,1,0,0,0,0,2,0,0,0,2,4,0,0,8,0,0,0,0,0,863,0,31,894,1583
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2575,3,3,178,47,31,40,21,61,5,483,9,9,10,5,0,1,0,7,3,0,0,0,1,16,4,1,1,1,0,13,0,0,0,0,0,1,0,0,0,2,7,0,0,9,0,1,1,3,0,971,1,46,1018,1872
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2576,3,3,157,39,32,46,31,57,10,410,4,5,14,23,2,0,0,5,0,0,0,0,0,6,1,0,0,0,1,38,0,1,2,1,0,3,1,0,0,2,2,0,0,11,0,0,0,0,1,905,0,32,937,1808
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2577,3,3,138,30,21,39,31,39,5,369,3,4,10,4,0,0,0,8,0,0,0,0,1,10,6,3,0,1,1,23,0,0,1,0,0,1,1,0,0,2,7,0,1,2,0,0,1,0,0,762,0,32,794,1630
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2578,2,2,160,35,9,38,17,43,5,322,7,7,4,19,1,0,0,2,0,0,0,0,0,4,4,7,4,0,2,11,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,0,1,0,716,2,29,747,1330
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2579,2,2,102,42,11,24,21,31,3,281,3,0,2,8,0,0,0,5,0,0,0,0,0,3,1,0,0,2,1,13,1,0,0,1,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,563,1,32,596,1316
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2580,2,2,133,29,16,63,23,32,2,322,2,4,5,5,1,0,0,5,0,0,1,0,0,11,3,0,0,1,1,19,0,0,1,2,0,0,1,0,0,7,3,1,0,6,0,0,1,1,0,701,1,30,732,1435
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2581,2,2,107,49,9,22,21,25,6,303,2,4,7,11,0,1,0,2,0,0,1,0,0,8,2,1,0,1,1,27,1,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,623,0,27,650,1278
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2582,3,3,113,51,11,22,28,29,5,361,2,2,6,5,0,0,1,8,0,0,0,0,0,6,1,0,0,0,0,14,1,0,0,0,0,1,0,0,0,1,2,0,0,10,0,0,0,1,1,682,0,47,729,1503
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2643,1,1,372,22,8,2,0,7,1,25,1,1,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,2,450,551
