CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,365,C,1,0,C01,0,0,20,1,16,8,76,189,0,3,17,2,0,6,1,2,0,341,0,11,352,482,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0365C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,366,B,1,0,B,0,1,4,1,17,8,143,230,0,1,13,1,0,4,2,1,1,427,0,11,438,626,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0366B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,366,C,1,0,C01,0,2,14,2,25,3,139,237,2,2,23,1,0,7,1,2,0,460,0,10,470,625,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0366C1-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,367,B,1,0,B,0,3,14,0,24,10,141,224,4,6,24,3,2,3,1,3,0,462,0,11,473,630,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0367B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,367,C,1,0,C01,0,4,22,0,15,6,136,202,0,3,17,0,0,5,1,2,2,415,0,18,433,629,Acta del consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0367C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,368,B,1,0,B,0,3,18,1,10,6,132,249,0,2,17,0,1,6,1,1,0,447,0,11,458,590,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0368B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,368,C,1,0,C01,0,1,22,0,12,8,133,235,3,1,23,5,0,11,1,1,0,456,0,12,468,589,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0368C1-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,369,B,1,0,B,0,0,2,0,3,1,179,152,0,1,1,1,0,0,0,2,0,342,0,3,345,405,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0369B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,369,C,1,0,C01,0,0,2,0,3,2,208,137,0,0,1,0,0,4,0,2,0,359,0,0,359,405,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0369C1-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,370,B,1,0,B,0,3,5,1,17,14,221,296,0,0,15,3,0,3,5,2,1,586,0,13,599,712,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0370B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,370,C,1,0,C01,0,2,10,0,14,7,215,303,2,3,10,0,0,8,0,3,0,577,0,14,591,712,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0370C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,371,B,1,0,B,0,3,12,2,8,3,208,183,2,0,12,3,0,7,1,1,0,445,0,3,448,491,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0371B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,371,C,1,0,C01,0,1,16,1,12,5,202,155,2,1,11,1,0,8,0,1,0,416,0,5,421,491,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0371C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,372,B,1,0,B,0,1,6,3,12,10,207,192,14,0,1,2,1,3,2,1,0,455,0,10,465,520,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0372B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,372,C,1,0,C01,0,0,3,1,14,6,220,179,9,0,1,1,1,3,0,2,0,440,0,10,450,519,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0372C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,372,C,2,0,C02,0,1,1,0,3,8,211,201,5,0,1,0,0,1,0,0,0,432,0,6,438,519,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0372C2-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,373,B,1,0,B,0,9,6,1,12,7,236,165,0,2,3,0,0,0,1,1,0,443,0,0,443,548,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0373B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,373,C,1,0,C01,0,5,10,0,12,5,257,163,1,0,9,1,0,7,0,0,0,470,0,8,478,547,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0373C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,374,B,1,0,B,0,1,1,2,7,10,168,110,3,0,4,1,0,2,0,3,0,312,0,4,316,377,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0374B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,375,B,1,0,B,0,1,4,0,9,5,228,118,7,0,2,1,0,2,0,0,0,377,0,8,385,534,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0375B-CIPR.pdf
