CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,TEQUILA,6,AMECA,62,3,3,26,31,6,20,22,406,358,36,8,2,0,0,0,2,1,0,5,0,0,0,1,0,1,0,2,0,1,0,0,0,0,3,0,0,0,2,3,0,0,936,0,31,967,1664
1,14,JALISCO,1,TEQUILA,6,AMECA,63,3,3,20,57,5,27,12,408,396,15,13,7,2,0,0,9,0,2,16,0,0,0,1,2,1,1,9,0,0,0,1,0,2,8,0,0,0,1,1,0,1,1017,0,18,1035,1894
1,14,JALISCO,1,TEQUILA,6,AMECA,64,3,3,21,36,7,18,8,341,338,21,10,3,0,0,0,5,1,1,10,0,0,0,1,1,0,0,5,0,0,0,0,0,2,1,1,0,0,1,0,2,0,834,0,11,845,1554
1,14,JALISCO,1,TEQUILA,6,AMECA,65,2,2,29,54,6,12,12,300,246,14,7,6,2,0,1,5,1,2,6,0,0,0,1,1,0,0,3,0,0,1,1,0,1,3,0,0,0,1,0,1,0,716,0,9,725,1279
1,14,JALISCO,1,TEQUILA,6,AMECA,66,2,2,31,47,3,24,18,281,252,22,8,8,1,2,0,0,1,3,11,1,0,0,2,0,0,0,3,1,0,1,1,0,0,2,0,0,0,1,1,1,0,726,0,17,743,1334
1,14,JALISCO,1,TEQUILA,6,AMECA,69,3,3,34,26,7,23,15,379,453,28,18,5,0,0,0,4,2,1,9,1,0,0,0,0,1,0,2,0,0,0,2,0,0,2,0,0,0,0,7,3,0,1022,9,20,1051,1933
1,14,JALISCO,1,TEQUILA,6,AMECA,70,2,2,7,10,6,24,18,258,280,6,3,0,0,0,0,0,0,2,8,2,0,0,3,1,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,3,1,638,0,25,663,1123
1,14,JALISCO,1,TEQUILA,6,AMECA,71,2,2,18,16,3,18,11,235,356,5,5,0,2,0,0,0,0,3,11,1,1,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,692,0,9,701,1224
1,14,JALISCO,1,TEQUILA,6,AMECA,72,4,4,43,34,12,36,18,584,564,50,17,4,0,0,0,5,0,0,7,1,0,1,3,1,2,1,2,2,3,1,0,2,0,3,0,1,0,0,0,0,2,1399,0,28,1427,2434
1,14,JALISCO,1,TEQUILA,6,AMECA,73,1,1,3,8,4,8,6,122,117,5,6,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,9,295,498
1,14,JALISCO,1,TEQUILA,6,AMECA,74,1,1,2,3,3,7,5,68,79,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,7,177,327
1,14,JALISCO,1,TEQUILA,6,AMECA,75,2,2,11,13,3,27,11,163,190,4,2,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,436,4,13,453,781
