CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1945,B,1,0,B,0,8,7,4,64,6,97,137,4,13,2,0,0,0,1,0,0,4,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,358,0,10,368,696,Acta casilla,,,
1,14,JALISCO,5,PUERTO VALLARTA,69,PUERTO VALLARTA,1945,C,1,0,C01,0,10,8,2,69,6,103,118,12,8,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,4,0,0,0,1,1,1,0,0,0,0,0,1,0,0,351,0,8,359,695,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1677,C,2,0,C02,0,17,17,2,20,1,131,47,4,36,1,0,0,0,1,0,0,1,0,0,1,1,0,9,1,0,1,0,0,0,1,0,0,0,0,0,2,1,2,0,297,0,10,307,508,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1681,B,1,0,B,0,22,6,1,15,0,147,97,11,116,0,0,0,0,2,0,0,2,0,1,1,0,2,1,5,2,1,0,1,1,0,0,0,0,0,0,0,0,4,1,439,0,4,443,704,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1682,B,1,0,B,0,39,10,2,8,3,176,69,3,52,4,1,0,0,6,0,1,2,1,0,0,1,0,0,3,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,387,0,6,393,610,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1684,C,1,0,C01,0,16,11,1,18,3,87,60,6,83,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,0,298,0,19,317,624,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1685,B,1,0,B,0,8,7,2,17,4,63,78,4,38,0,1,0,0,6,1,1,1,1,0,0,0,2,0,2,1,1,0,1,1,0,0,1,0,0,1,2,0,1,1,246,0,12,258,522,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1685,C,2,0,C02,0,11,5,5,18,8,78,74,5,45,1,1,0,0,5,0,4,4,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,271,0,11,282,521,Acta casilla,,,
1,14,JALISCO,17,JOCOTEPEC,52,JOCOTEPEC,1688,C,1,0,C01,0,13,7,2,22,1,76,134,7,66,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,4,1,343,0,12,355,569,Acta casilla,,,
1,14,JALISCO,3,TEPATITLAN DE MORELOS,53,JUANACATLAN,1689,B,1,0,B,0,73,12,5,7,18,125,191,3,1,6,1,1,0,3,0,0,2,0,0,1,2,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,457,1,9,467,720,Acta casilla,,,
1,14,JALISCO,3,TEPATITLAN DE MORELOS,53,JUANACATLAN,1690,B,1,0,B,0,66,15,0,4,21,134,115,1,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,367,0,3,370,544,Acta casilla,,,
1,14,JALISCO,3,TEPATITLAN DE MORELOS,53,JUANACATLAN,1691,C,1,0,C01,0,83,12,2,13,33,120,173,2,4,1,0,0,0,0,0,0,5,0,0,1,1,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,459,0,14,473,741,Acta casilla,,,
1,14,JALISCO,3,TEPATITLAN DE MORELOS,53,JUANACATLAN,1691,C,2,0,C02,0,75,19,2,4,37,154,175,1,1,1,1,0,0,2,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,482,4,8,494,741,Acta casilla,,,
1,14,JALISCO,3,TEPATITLAN DE MORELOS,53,JUANACATLAN,1692,C,1,0,C01,0,78,6,0,5,26,155,147,3,5,1,2,0,0,1,0,2,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,441,0,6,447,671,Acta casilla,,,
