CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,892,1,1,36,5,10,38,9,0,4,80,0,0,1,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,10,204,287
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,893,3,3,85,24,132,267,46,1,10,281,0,0,5,9,0,0,1,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,83,982,1581
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,894,2,2,59,33,49,205,34,10,7,103,0,0,4,6,0,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,39,561,861
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,895,1,1,53,15,10,18,14,3,3,71,0,0,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,23,228,320
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,896,3,3,74,19,102,665,49,6,7,300,0,0,8,7,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,107,1370,1994
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,912,2,2,215,21,1,11,27,41,17,657,10,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,44,1067,1266
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,913,4,4,305,45,12,28,55,58,14,1070,31,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,0,67,1709,2094
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,914,2,2,164,18,3,7,12,42,10,370,31,0,0,3,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,19,690,876
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,915,3,3,200,56,3,14,29,94,9,788,19,0,0,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,45,1269,1550
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,916,2,2,70,31,3,5,26,82,10,444,39,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,0,26,743,912
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,917,3,3,200,30,14,22,33,333,33,781,101,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1563,2,84,1649,2143
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,918,3,3,50,11,8,11,19,48,12,479,468,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,0,61,1174,1551
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,919,2,2,35,14,1,8,20,69,7,501,390,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,56,1106,1435
