ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,25,TLALTETELA,6,22,22,680,1754,107,333,156,521,3466,104,122,69,2,1,122,22,54,24,7537,4,293,7834,12119,
30,VERACRUZ,67,EMILIANO ZAPATA,34,104,104,6261,3571,499,1722,719,3488,15469,2017,642,151,13,12,694,51,190,104,35603,23,892,36518,59781,
30,VERACRUZ,90,JALCOMULCO,4,7,7,237,120,43,80,110,212,1311,33,15,12,1,0,67,18,10,17,2286,0,76,2362,4264,
30,VERACRUZ,127,PASO DE OVEJAS,24,48,48,1267,947,70,452,293,1454,8085,162,108,32,2,3,359,22,110,60,13426,2,356,13784,24938,
30,VERACRUZ,134,PUENTE NACIONAL,15,33,33,1235,421,68,988,193,1207,5654,173,74,19,5,3,213,18,108,43,10422,2,282,10706,17339,
30,VERACRUZ,190,URSULO GALVAN,23,45,45,1243,761,61,413,346,2175,8665,249,106,20,4,9,451,25,112,64,14704,5,334,15043,24317,
30,VERACRUZ,192,VERACRUZ,376,828,828,86109,12467,1826,9166,5218,20520,123481,3686,4871,1255,144,54,8526,450,2042,1092,280907,157,6011,287075,485481,
30,VERACRUZ,29,BOCA DEL RIO,97,214,214,36482,4522,521,1837,965,4020,24404,841,1786,451,72,8,0,0,0,0,75909,26,3206,79141,123208,
30,VERACRUZ,92,JAMAPA,8,15,15,879,409,49,414,84,618,2084,46,72,33,4,0,0,0,0,0,4692,1,339,5032,8647,
30,VERACRUZ,101,MANLIO FABIO ALTAMIRANO,16,35,35,1760,558,84,478,188,531,6360,90,104,33,3,2,0,0,0,0,10191,5,661,10857,17995,
30,VERACRUZ,106,MEDELLIN DE BRAVO,36,100,100,8476,1281,180,9436,389,1539,11026,262,464,138,14,2,0,0,0,0,33207,8,2032,35247,63505,
30,VERACRUZ,7,CAMARON DE TEJEDA,3,9,9,834,225,84,137,56,81,1858,47,58,19,3,1,97,14,25,12,3551,2,131,3684,5167,
30,VERACRUZ,12,ALVARADO,40,80,80,7770,1908,517,2000,530,1167,8993,582,476,132,24,3,513,67,239,81,25002,6,882,25890,44158,
30,VERACRUZ,22,ATOYAC,16,35,35,1521,692,117,382,188,579,5606,89,114,38,5,0,333,36,106,44,9850,2,309,10161,17236,
30,VERACRUZ,32,CARRILLO PUERTO,8,26,26,1399,1117,60,439,211,405,4218,106,61,44,2,0,169,28,58,26,8343,5,231,8579,13827,
30,VERACRUZ,51,COTAXTLA,14,33,33,2639,370,71,576,173,459,5579,100,153,28,8,0,266,44,141,22,10629,1,292,10922,17021,
30,VERACRUZ,55,CUITLAHUAC,17,38,38,1879,1003,140,1511,204,619,5384,127,157,62,4,15,369,60,176,49,11759,2,368,12129,21063,
30,VERACRUZ,77,IGNACIO DE LA LLAVE,16,26,26,1295,1043,61,316,133,280,3138,92,129,41,5,5,124,22,54,15,6753,3,374,7130,13322,
30,VERACRUZ,126,PASO DEL MACHO,14,42,42,3211,1457,468,1366,285,485,5209,168,223,58,28,7,260,43,151,39,13458,4,580,14042,23711,
30,VERACRUZ,149,SOLEDAD DE DOBLADO,17,43,43,2566,1074,98,614,350,557,6154,568,167,77,8,1,335,50,131,51,12801,1,488,13290,22609,
30,VERACRUZ,180,TLALIXCOYAN,27,56,56,4364,691,146,641,345,1667,7229,197,219,85,18,2,348,56,131,55,16194,3,682,16879,28373,
30,VERACRUZ,9,ALPATLAHUAC,5,13,13,894,323,88,144,123,299,1596,85,64,29,5,0,55,17,27,11,3760,3,220,3983,6982,
30,VERACRUZ,30,CALCAHUALCO,5,17,17,425,965,119,321,158,448,2152,149,66,24,2,3,53,26,26,10,4947,1,249,5197,9688,
30,VERACRUZ,45,COMAPA,10,27,27,2132,708,58,528,162,485,4170,243,106,74,2,2,133,33,80,22,8938,3,391,9332,15355,
30,VERACRUZ,49,COSCOMATEPEC,22,67,67,1995,3627,682,844,608,1261,7960,475,398,110,23,15,361,55,116,60,18590,7,1122,19719,40793,
30,VERACRUZ,64,CHOCAMAN,7,23,23,779,683,226,994,187,736,4097,688,134,20,8,2,206,24,95,24,8903,6,400,9309,14920,
30,VERACRUZ,73,HUATUSCO,28,79,79,6315,4050,291,1011,583,3985,7453,379,755,354,19,9,429,52,176,43,25904,16,1048,26968,44787,
30,VERACRUZ,83,IXHUATLAN DEL CAFE,11,32,32,1563,980,192,343,367,655,4303,188,132,33,9,1,203,28,46,35,9078,7,430,9515,17433,
30,VERACRUZ,147,SOCHIAPA,2,5,5,548,191,22,156,25,207,663,22,43,16,1,0,21,4,8,3,1930,0,64,1994,3075,
30,VERACRUZ,161,TENAMPA,3,9,9,368,192,28,115,57,161,1524,437,32,19,1,2,45,13,34,7,3035,2,241,3278,5293,
30,VERACRUZ,164,TEPATLAXCO,3,13,13,874,766,22,495,289,240,1465,73,103,28,6,7,65,16,21,17,4487,0,261,4748,6915,
30,VERACRUZ,178,TLACOTEPEC DE MEJIA,2,6,6,396,164,149,50,42,149,1015,30,31,11,3,0,44,8,15,3,2110,0,61,2171,3445,
30,VERACRUZ,185,TOMATLAN,4,9,9,410,253,42,126,174,430,1839,94,34,12,0,2,81,23,21,23,3564,0,136,3700,5616,
30,VERACRUZ,187,TOTUTLA,10,23,23,1598,634,249,1359,127,975,2439,134,140,60,22,3,84,38,72,10,7944,2,397,8343,13295,
30,VERACRUZ,200,ZENTLA,9,18,18,1580,544,60,260,135,814,2255,147,101,44,4,1,87,20,49,17,6118,1,244,6363,10079,
30,VERACRUZ,14,AMATLAN DE LOS REYES,26,57,57,2112,1234,130,659,409,1377,11444,337,165,47,1,0,427,25,143,95,18605,16,561,19182,32419,
30,VERACRUZ,46,CORDOBA,118,287,287,17479,7551,1086,4427,2022,8551,49160,1829,1221,394,29,20,2693,165,760,408,97795,79,2671,100545,164377,
30,VERACRUZ,196,YANGA,14,28,28,578,1100,65,264,143,470,4990,97,88,38,4,3,189,13,59,21,8122,8,222,8352,13899,
30,VERACRUZ,23,ATZACAN,11,28,28,518,488,233,296,227,4514,3127,324,88,21,6,2,195,39,48,27,10153,3,487,10643,15897,
30,VERACRUZ,70,FORTIN,27,85,85,5911,2264,336,1077,623,3097,15897,751,389,118,15,11,740,43,227,123,31622,18,930,32570,51643,
30,VERACRUZ,87,IXTACZOQUITLAN,32,86,86,3199,3181,520,1222,672,4982,14834,1171,344,73,12,24,688,72,205,122,31321,32,1103,32456,51111,
30,VERACRUZ,119,ORIZABA,98,198,198,11752,8787,1076,2759,1364,9873,26100,3117,1336,254,40,11,1888,111,379,263,69110,77,2109,71296,105978,
30,VERACRUZ,6,ACULTZINGO,14,30,30,529,376,122,857,226,557,5687,266,30,11,9,5,265,33,114,24,9111,4,369,9484,15983,
30,VERACRUZ,19,AQUILA,1,4,4,75,97,6,113,26,139,472,23,5,1,0,0,21,5,6,2,991,0,36,1027,1648,
30,VERACRUZ,31,CAMERINO Z. MENDOZA,16,40,40,1476,1457,361,1251,415,1383,7266,382,167,25,6,6,367,50,104,55,14771,13,657,15441,23682,
30,VERACRUZ,76,HUILOAPAN DE CUAUHTEMOC,4,9,9,263,187,86,402,66,428,1586,67,28,3,3,1,83,3,18,16,3240,0,105,3345,5538,
30,VERACRUZ,85,IXHUATLANCILLO,7,27,27,707,614,557,502,323,904,4530,307,116,23,10,10,304,26,51,50,9034,7,443,9484,16972,
30,VERACRUZ,100,MALTRATA,9,23,23,545,395,98,534,200,863,3481,149,31,20,1,1,210,42,79,24,6673,4,357,7034,12655,
30,VERACRUZ,102,MARIANO ESCOBEDO,16,42,42,1102,1021,1067,687,371,1141,6540,285,209,47,19,19,343,74,108,47,13080,4,546,13630,24426,
30,VERACRUZ,116,NOGALES,19,58,58,1966,1059,486,3146,416,2642,9500,621,182,42,11,3,612,45,221,65,21017,14,736,21767,35356,
30,VERACRUZ,128,LA PERLA,10,27,27,3290,1057,189,311,185,579,2015,134,159,86,21,5,73,7,38,18,8167,1,407,8575,17118,
30,VERACRUZ,139,RIO BLANCO,24,58,58,2418,1474,381,1359,411,2635,11051,727,238,36,23,2,686,41,178,94,21754,17,598,22369,34510,
30,VERACRUZ,20,ASTACINGA,3,9,9,778,251,22,223,117,130,989,45,24,19,3,1,69,11,22,12,2716,2,134,2852,5076,
