CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,10,0,C10,0,6,34,11,15,11,60,143,2,1,10,8,6,9,1,3,5,1,0,0,7,1,0,2,336,1,15,352,711,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,11,0,C11,0,10,41,18,14,9,49,131,1,0,3,2,11,6,4,0,4,0,0,0,7,1,3,0,314,0,15,329,711,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1204,C,12,0,C12,0,10,33,15,12,11,53,122,1,1,4,12,9,6,5,0,7,1,2,0,6,2,0,2,314,0,22,336,711,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1205,B,1,0,B,0,7,22,5,11,10,35,127,1,1,2,4,6,19,4,3,3,0,0,0,7,3,2,0,272,2,10,284,640,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1205,C,1,0,C01,0,11,32,13,12,10,33,121,0,1,7,7,7,10,6,0,5,0,0,0,14,0,2,4,295,1,17,313,639,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1205,C,2,0,C02,0,9,33,15,13,11,44,130,1,1,3,4,6,8,4,2,0,0,0,0,0,0,0,0,284,0,11,295,639,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1205,C,3,0,C03,0,8,21,22,14,11,39,106,2,2,6,10,6,11,3,4,3,0,2,0,6,4,0,3,283,1,20,304,639,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1206,B,1,0,B,0,6,33,5,14,21,37,143,0,2,4,6,11,2,2,0,3,0,0,1,1,2,1,0,294,0,19,313,564,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1206,C,1,0,C01,0,11,38,19,7,11,41,124,0,0,5,10,5,0,5,1,0,0,0,0,9,2,2,1,291,1,17,309,564,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1206,C,2,0,C02,0,7,33,13,13,16,49,90,0,2,2,13,2,1,9,1,1,0,0,1,5,3,1,2,264,1,18,283,563,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1209,B,1,0,B,0,4,19,18,21,11,34,124,1,3,6,7,5,7,3,2,4,0,0,1,5,0,3,2,280,1,16,297,612,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1209,C,1,0,C01,0,6,18,9,17,15,28,128,1,2,1,6,7,4,2,0,3,0,0,0,6,3,1,2,259,1,22,282,611,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,B,1,0,B,0,7,30,22,17,13,38,124,0,1,7,4,4,4,1,0,1,0,0,2,2,2,2,0,281,0,23,304,609,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,C,1,0,C01,0,8,25,21,15,5,26,123,0,2,7,2,4,4,2,3,3,0,0,0,5,1,0,2,258,0,13,271,609,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,C,2,0,C02,0,9,27,9,16,9,58,102,5,0,5,7,7,4,4,3,3,0,0,0,4,3,1,0,276,0,17,293,609,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,C,3,0,C03,0,11,22,12,17,8,22,146,1,0,6,5,3,4,2,2,2,0,0,0,6,0,3,4,276,0,11,287,609,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1210,C,4,0,C04,0,15,26,10,11,8,34,131,0,0,4,9,0,4,10,0,0,0,1,0,3,0,0,1,267,0,19,286,609,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1211,B,1,0,B,0,10,31,17,19,13,38,157,2,2,6,14,3,1,5,0,4,2,0,2,9,1,2,1,339,0,16,355,686,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1211,C,1,0,C01,0,8,20,15,14,12,37,160,1,1,5,8,7,2,4,1,3,0,0,0,5,2,0,0,305,0,16,321,686,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1211,C,2,0,C02,0,4,31,20,11,15,39,164,0,1,4,10,6,2,4,3,1,0,0,0,8,4,1,3,331,0,12,343,686,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1211,C,3,0,C03,0,8,32,14,7,10,28,151,2,2,3,8,10,4,3,1,3,0,0,1,4,0,2,1,294,0,28,322,685,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1212,B,1,0,B,0,16,35,28,21,5,76,148,0,2,7,5,12,6,8,1,7,0,0,1,10,1,4,2,395,0,20,415,750,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1212,C,1,0,C01,0,21,37,25,12,9,66,161,3,1,12,3,5,12,8,2,5,0,0,0,4,1,2,3,392,1,15,408,750,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1212,C,2,0,C02,0,19,39,21,17,16,68,132,0,2,11,8,6,8,9,2,3,0,1,2,7,2,3,0,376,0,21,397,749,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1212,C,3,0,C03,0,9,40,17,13,17,63,162,2,2,11,5,7,4,6,5,3,2,0,0,7,1,1,3,380,0,15,395,749,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1214,B,1,0,B,0,22,44,14,16,8,47,124,0,4,4,5,1,4,9,3,3,0,0,1,6,0,0,7,322,2,22,346,603,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1214,C,1,0,C01,0,16,51,9,10,13,40,154,1,6,5,8,2,1,12,5,6,0,0,0,9,1,0,1,350,4,18,372,603,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1214,C,2,0,C02,0,10,36,9,14,11,48,141,0,2,5,2,3,3,4,2,4,0,0,1,8,1,1,7,312,0,20,332,603,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1215,B,1,0,B,0,29,46,22,7,8,66,121,1,6,7,8,2,5,6,1,6,0,0,0,10,0,2,2,355,1,10,366,578,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1215,C,1,0,C01,0,28,62,17,10,4,64,132,3,3,5,5,1,4,3,3,8,0,0,0,6,0,2,2,362,0,12,374,577,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1215,SMR,1,0,SMR01,0,1,4,1,2,1,5,26,1,0,1,0,1,0,2,1,0,0,0,0,2,1,0,0,49,0,2,51,0,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1216,B,1,0,B,0,14,63,15,17,7,52,167,2,1,4,4,1,1,5,2,4,2,0,0,5,1,2,1,370,0,14,384,719,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1216,C,1,0,C01,0,23,69,20,22,8,72,141,2,2,7,14,3,5,4,4,4,1,0,0,7,0,0,0,408,3,14,425,719,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1216,C,2,0,C02,0,24,57,20,16,16,56,158,1,4,6,14,3,1,2,1,3,1,0,2,10,2,0,1,398,1,18,417,718,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1216,SMR,1,0,SMR01,0,0,6,0,1,1,8,30,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,51,0,3,54,0,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1217,B,1,0,B,0,12,44,18,18,13,46,146,0,3,1,14,11,5,9,2,2,3,0,0,6,1,6,2,362,0,30,392,749,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1217,C,1,0,C01,0,10,31,19,24,13,65,166,5,2,4,14,6,3,5,5,2,1,0,0,11,4,1,3,394,2,21,417,749,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1217,C,2,0,C02,0,11,24,9,19,12,67,173,1,3,7,9,3,4,6,5,4,0,0,0,8,0,3,3,371,0,17,388,748,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1219,B,1,0,B,0,15,36,19,13,11,52,180,0,0,0,12,5,8,9,3,4,1,0,0,14,3,2,1,388,1,30,419,711,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1219,C,1,0,C01,0,11,36,20,12,6,61,164,1,3,14,5,6,4,13,5,3,1,0,0,8,0,0,1,374,0,29,403,711,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1220,B,1,0,B,0,23,73,15,17,10,74,159,1,3,9,4,3,3,4,2,10,0,0,0,7,1,2,2,422,0,15,437,732,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1220,C,1,0,C01,0,24,69,25,13,9,80,145,2,5,6,12,4,8,3,3,7,1,0,0,3,2,1,1,423,2,20,445,732,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1221,B,1,0,B,0,3,49,12,19,5,33,123,0,5,7,3,5,1,16,2,2,0,0,0,4,1,1,4,295,0,19,314,723,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1221,C,1,0,C01,0,8,29,16,10,10,39,127,2,3,5,7,3,6,10,2,5,0,0,0,2,1,1,1,287,1,16,304,723,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1221,C,2,0,C02,0,8,37,18,11,12,40,142,0,3,3,13,3,1,7,2,1,0,0,0,10,0,1,3,315,2,19,336,722,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1221,C,3,0,C03,0,7,29,9,14,15,38,138,0,2,12,4,7,1,7,0,6,0,0,1,2,0,5,1,298,1,19,318,722,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1222,B,1,0,B,0,8,31,11,24,8,43,121,0,2,4,11,4,0,4,1,4,0,0,1,8,0,1,3,289,0,25,314,686,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1222,C,1,0,C01,0,11,22,22,9,10,48,134,0,1,2,8,3,4,9,3,6,0,0,1,6,3,0,1,303,1,17,321,686,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1222,C,2,0,C02,0,11,38,22,14,13,42,124,0,3,1,3,4,4,10,1,4,0,0,1,10,4,1,2,312,0,19,331,685,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1222,C,3,0,C03,0,18,36,24,5,15,50,131,0,0,3,5,3,2,4,2,11,2,0,0,11,1,1,4,328,0,17,345,685,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1223,B,1,0,B,0,17,35,13,9,15,31,142,2,5,4,7,3,3,9,1,6,0,0,1,13,4,3,0,323,1,20,344,668,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1223,C,1,0,C01,0,20,30,16,21,10,54,124,3,4,12,3,1,1,4,4,5,0,0,1,12,1,0,3,329,1,24,354,668,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1224,B,1,0,B,0,12,41,8,11,13,28,96,2,0,6,5,3,2,3,1,4,0,0,0,4,1,1,0,241,1,11,253,429,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1224,C,1,0,C01,0,9,35,18,15,2,28,90,2,2,4,6,2,2,5,1,3,0,0,0,3,0,0,0,227,0,12,239,428,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1225,B,1,0,B,0,28,46,18,10,6,60,101,1,2,11,6,1,3,10,2,7,1,0,0,3,1,3,1,321,0,14,335,535,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1225,C,1,0,C01,0,25,51,14,10,9,49,103,1,2,6,8,1,1,1,2,0,0,0,0,0,0,0,0,283,0,16,299,534,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1225,SMR,1,0,SMR01,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1226,B,1,0,B,0,14,54,18,9,7,50,132,1,2,6,3,1,0,10,0,3,0,0,0,3,0,1,0,314,1,9,324,523,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1226,C,1,0,C01,0,14,38,19,7,5,35,133,0,2,8,7,5,7,10,0,10,0,0,0,12,1,0,5,318,1,14,333,523,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1226,C,2,0,C02,0,12,41,14,12,8,44,132,4,1,8,11,1,2,13,0,2,0,0,0,5,1,1,0,312,0,14,326,523,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1227,B,1,0,B,0,17,57,26,17,12,39,182,2,1,11,13,2,2,9,1,6,1,0,2,9,1,3,5,418,0,18,436,738,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1227,C,1,0,C01,0,15,63,24,17,16,48,171,2,3,5,14,7,0,7,1,5,0,0,0,0,14,1,0,413,0,20,433,738,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1227,C,2,0,C02,0,13,60,17,10,13,57,189,1,2,9,9,1,5,7,3,8,0,0,0,6,0,0,2,412,4,21,437,738,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1230,B,1,0,B,0,31,60,17,23,7,70,132,1,3,6,3,1,1,2,3,7,2,0,0,5,0,3,3,380,0,19,399,598,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1230,C,1,0,C01,0,27,49,15,20,8,74,132,0,2,11,7,4,2,5,5,2,1,0,0,0,6,0,1,371,2,17,390,598,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1231,B,1,0,B,0,27,64,19,6,12,44,97,2,4,6,3,1,5,6,1,4,0,2,1,5,0,1,0,310,1,9,320,455,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1231,C,1,0,C01,0,34,72,16,6,5,62,94,0,1,5,3,1,5,1,1,4,0,0,0,3,0,0,0,313,1,6,320,454,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1232,B,1,0,B,0,7,39,20,19,16,52,163,4,7,5,6,5,12,0,3,7,0,0,0,5,3,2,2,377,1,24,402,707,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1232,C,1,0,C01,0,9,35,17,16,13,44,132,2,4,6,6,5,5,4,2,3,0,0,0,7,1,0,1,312,0,21,333,707,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1232,C,2,0,C02,0,18,38,21,16,10,45,168,5,3,8,6,2,3,8,1,2,0,0,0,5,2,0,3,364,0,11,375,706,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1233,B,1,0,B,0,9,21,9,12,8,31,80,2,1,1,2,1,3,7,0,3,0,0,0,1,0,1,3,195,1,13,209,422,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1233,C,1,0,C01,0,3,18,9,12,12,25,85,0,1,1,3,2,5,4,1,2,0,0,0,3,1,1,3,191,0,15,206,422,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1234,B,1,0,B,0,6,21,7,16,11,54,134,1,2,3,7,1,3,3,3,2,0,0,1,6,4,5,3,293,0,14,307,579,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1234,C,1,0,C01,0,9,32,9,21,11,38,129,1,4,3,4,2,7,2,0,2,1,0,0,2,1,0,4,282,1,8,291,579,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1234,C,2,0,C02,0,5,28,11,15,6,68,99,1,3,4,1,3,7,8,1,1,0,0,0,8,2,4,3,278,0,9,287,579,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1235,B,1,0,B,0,9,24,11,19,11,30,133,2,4,9,8,1,7,3,0,3,0,0,1,5,0,0,1,281,1,18,300,525,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1235,C,1,0,C01,0,9,29,12,5,3,31,141,2,4,9,3,0,5,5,1,2,0,0,0,4,0,1,1,267,2,5,274,525,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1235,C,2,0,C02,0,5,28,15,9,11,42,135,1,1,5,5,2,4,4,1,3,0,0,0,5,0,0,1,277,0,14,291,524,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1236,B,1,0,B,0,15,37,11,11,3,38,139,1,1,8,8,0,3,0,1,2,2,0,0,4,2,0,2,288,2,22,312,581,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1236,C,1,0,C01,0,12,45,14,14,3,58,131,0,0,2,6,1,4,0,2,4,1,0,0,7,2,0,2,308,1,15,324,580,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1237,B,1,0,B,0,36,47,30,8,12,71,97,5,1,2,7,2,3,3,0,10,0,0,0,3,2,0,2,341,1,11,353,567,ACTA LEVANTADA EN CONSEJO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1237,C,1,0,C01,0,18,49,21,10,8,77,99,4,3,10,5,0,5,1,0,3,0,0,0,5,0,0,0,318,2,9,329,567,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1237,C,2,0,C02,0,32,48,17,11,8,63,119,1,1,5,10,2,5,5,1,6,0,0,0,4,0,0,0,338,0,20,358,567,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1237,SMR,1,0,SMR01,0,4,2,4,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,1,26,0,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1238,B,1,0,B,0,37,45,15,9,12,52,101,2,1,8,5,0,3,1,2,5,3,0,0,9,1,0,0,311,0,13,324,558,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1238,C,1,0,C01,0,26,34,14,10,8,54,109,2,2,6,11,2,4,3,2,4,0,0,0,6,0,1,1,299,0,25,324,557,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1238,C,2,0,C02,0,32,34,11,11,6,50,97,0,2,10,10,5,4,4,4,5,1,0,0,4,2,1,0,293,2,16,311,557,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1239,B,1,0,B,0,26,43,20,4,5,57,110,1,3,11,6,1,2,3,0,9,0,0,1,8,0,1,0,311,0,17,328,530,ACTA CASILLA,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1239,C,1,0,C01,0,15,37,13,6,9,65,112,0,0,11,11,3,1,6,1,3,2,0,0,1,0,0,1,297,1,15,313,529,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1250,B,1,0,B,0,12,60,20,14,11,59,150,5,3,9,12,2,0,3,2,7,0,0,0,10,0,3,0,382,0,19,401,634,GRUPO DE RECUENTO,,,
4,12,GUERRERO,1,CHILPANCINGO,29,CHILPANCINGO DE LOS BRAVO,1250,C,1,0,C01,0,11,53,16,11,7,58,152,0,1,3,2,6,1,1,2,4,0,0,0,11,0,0,1,340,1,15,356,633,ACTA CASILLA,,,
