CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,140,1,1,2,5,3,106,13,15,95,1,1,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,35,309,440
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,141,1,1,4,7,2,233,25,27,162,8,5,12,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,512,0,36,548,734
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,142,1,1,5,6,3,62,14,70,73,1,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,39,293,436
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,24,COSOLAPA,143,2,2,13,13,2,346,28,32,178,2,2,24,59,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,707,0,44,751,1078
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,851,3,3,5,38,3,108,15,666,527,1,8,23,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,0,65,1477,1806
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,852,2,2,5,29,5,131,22,468,357,2,6,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,49,1099,1328
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,853,4,4,11,40,4,192,25,798,589,6,2,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,83,1769,2042
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,854,4,4,16,19,5,306,30,916,735,2,2,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057,0,97,2154,2646
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,855,2,2,8,27,3,29,4,353,384,3,1,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,41,883,1050
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,856,5,5,18,82,7,184,9,1023,779,3,8,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166,0,98,2264,2930
